symbol,Price,Trailing P/E,Forward P/E,Price/Sales (ttm),Price/Book (mrq),Price/CashFlow,Quick Ratio,Current Ratio,Total Debt to Equity (mrq),Total Debt to Capital,Return on Equity,Return on Assets,Return on Invested Capital (ttm),Book Value/Market Value,Asset Turnover,Inventory Turnover (ttm),EBITDA,Operating Margin,Profit Margin,Gross Margin ttm,Revenue,Market Cap,Enterprise Value,Enterprise Value/Revenue,Enterprise Value/EBITDA,Date,Forward Price/Sales
SP500 Auto Components Mean ,36.5,18.17,8.47,0.6,1.73,4.865,0.92,1.15,281.81,71.135,12.685,1.575,1.375,58.1,0.53,10.24,12135000000.0,4.765,5.01,9.315,130805000000.0,78330000000.0,168905000000.0,1.29,8.515,2022-02-04,0.0
SP500 Auto Components Mean ,35.45,17.72,8.41,0.585,1.785,4.75,0.92,1.14,289.835,71.135,14.205,1.99,1.375,58.615,0.54,10.24,13395000000.0,5.855,5.315,7.81,132775000000.0,77785000000.0,170500000000.0,1.285,8.42,2022-01-28,0.0
SP500 Auto Components Mean ,38.15,19.69,9.595,0.675,2.025,5.165,0.92,1.14,289.835,71.135,14.205,1.99,1.375,50.65,0.54,10.24,13395000000.0,5.855,5.315,7.81,132775000000.0,89145000000.0,181865000000.0,1.37,8.92,2022-01-21,0.0
SP500 Auto Components Mean ,43.395,19.545,9.675,0.675,2.015,5.9,0.92,1.14,289.835,71.135,14.205,1.99,1.375,50.85,0.54,10.24,13395000000.0,5.855,5.315,7.81,132775000000.0,88745000000.0,181465000000.0,1.37,8.895,2022-01-14,0.0
SP500 Auto Components Mean ,43.665,19.545,9.675,0.675,2.015,5.89,0.92,1.14,289.835,71.135,14.205,1.99,1.375,50.85,0.54,10.24,13395000000.0,5.855,5.315,7.81,132775000000.0,88745000000.0,181465000000.0,1.37,8.895,2022-01-08,0.0
SP500 Auto Components Mean ,39.3,19.545,9.675,0.675,2.015,5.19,0.92,1.14,289.835,71.135,14.205,1.99,1.375,50.85,0.54,10.24,13395000000.0,5.855,5.315,7.81,132775000000.0,88745000000.0,181465000000.0,1.37,8.895,2022-01-01,0.0
SP500 Auto Components Mean,38.11,19.545,9.675,0.675,2.015,5.055,0.92,1.14,289.835,71.135,14.205,1.99,1.375,50.85,0.54,10.24,13395000000,5.855,5.315,7.81,132775000000,88745000000,181465000000,1.37,8.895,2021-12-23 00:00:00,0.0
SP500 Auto Components Mean,39.37,19.545,9.675,0.675,2.015,5.19,0.92,1.14,289.835,71.135,14.205,1.99,1.375,50.85,0.54,10.24,13395000000,5.855,5.315,7.81,132775000000,88745000000,181465000000,1.37,8.895,2021-12-17 00:00:00,0.0
SP500 Auto Components Mean,39.595,13.73,4.755,0.285,1.05,5.16,0.92,1.14,288.065,71.135,14.205,1.99,1.375,23.82,0.54,10.24,13395000000,5.855,5.315,7.81,132775000000,38405000000,88125000000,0.655,5.345,2021-12-10 00:00:00,0.0
SP500 Auto Components Mean,40.445,17.705,8.965,0.62,1.85,0,0.92,0,0,71.135,0,0,1.375,55.01,0,10.24,0,0,0,0.0,0,81800000000,174515000000,1.315,8.53,2021-12-03 00:00:00,0.0
SP500 Auto Components Mean,41.22,18.68,9.45,0.65,1.95,5.36,0.92,1.14,288.065,71.135,14.205,1.99,1.375,52.185,0.54,10.24,13395000000,5.855,5.315,7.81,132775000000,86230000000,178950000000,1.35,8.745,2021-11-28 00:00:00,0.0
SP500 Auto Components Mean,40.945,18.29,9.39,0.65,1.935,5.29,0.92,1.14,288.065,71.135,14.205,1.99,1.375,52.27,0.54,10.24,13395000000,5.855,5.315,7.81,132775000000,85985000000,178700000000,1.345,8.7,2021-11-19 00:00:00,0.0
SP500 Auto Components Mean ,40.685,18.095,9.19,0.635,1.9,5.265,0.92,1.14,288.065,71.135,14.205,1.905,1.375,53.58,0.54,10.24,13045000000.0,5.595,5.315,7.81,132775000000.0,83940000000.0,176655000000.0,1.33,8.625,2021-11-12,0.0
SP500 Auto Components Mean ,39.03,13.79,8.225,0.565,1.735,5.095,0.945,1.14,288.065,72.54,14.205,1.905,1.385,57.165,0.54,10.24,13045000000.0,5.595,5.315,7.81,132775000000.0,74780000000.0,171370000000.0,1.29,8.405,2021-11-05,0.0
SP500 Auto Components Mean ,35.55,13.2,8.08,0.545,1.665,4.195,0.945,1.145,304.185,72.54,15.33,2.18,1.385,59.455,0.545,10.24,14195000000.0,6.425,5.505,7.78,133685000000.0,71890000000.0,168480000000.0,1.26,7.89,2021-10-29,0.0
SP500 Auto Components Mean ,37.48,12.51,8.155,0.535,1.71,3.16,0.945,1.155,309.71,72.54,17.64,2.51,1.385,58.565,0.56,10.24,15400000000.0,7.045,5.82,7.435,138035000000.0,73180000000.0,168145000000.0,1.22,7.585,2021-10-22,0.0
SP500 Auto Components Mean ,36.57,12.235,8.035,0.525,1.685,3.035,0.945,1.155,309.71,72.54,17.64,2.51,1.385,59.385,0.56,10.24,15400000000.0,7.045,5.82,7.435,138035000000.0,72305000000.0,167270000000.0,1.215,7.535,2021-10-15,0.0
SP500 Auto Components Mean ,35.665,11.545,7.565,0.495,1.59,2.955,0.945,1.155,309.71,72.54,17.64,2.51,1.385,63.105,0.56,10.24,15400000000.0,7.045,5.82,7.435,138035000000.0,67990000000.0,162950000000.0,1.18,7.355,2021-10-08,0.0
