symbol,Price,Trailing P/E,Forward P/E,Price/Sales (ttm),Price/Book (mrq),Price/CashFlow,Quick Ratio,Current Ratio,Total Debt to Equity (mrq),Total Debt to Capital,Return on Equity,Return on Assets,Return on Invested Capital (ttm),Book Value/Market Value,Asset Turnover,Inventory Turnover (ttm),EBITDA,Operating Margin,Profit Margin,Gross Margin ttm,Revenue,Market Cap,Enterprise Value,Enterprise Value/Revenue,Enterprise Value/EBITDA,Date,Forward Price/Sales
SP500 Beverages Mean,112.963333333333,25.2716666666667,24.2483333333333,5.71333333333333,8.415,20.1483333333333,1.57333333333333,2.43,109.543333333333,43.8783333333333,24.7733333333333,8.89,11.7566666666667,31.3,0.585,5.235,5953333333.33333,26.4883333333333,13.1316666666667,50.29,23671666666.6667,106913333333.333,119956666666.5,6.15666666666667,28.9983333333333,2022-02-04,0.0
SP500 Beverages Mean ,110.201666666667,24.6933333333333,23.71,5.58166666666667,8.19,19.5633333333333,1.57333333333333,2.43,109.543333333333,43.8783333333333,24.7733333333333,8.89,11.7566666666667,31.7583333333333,0.585,5.235,5953333333.33333,26.4883333333333,13.1316666666667,50.29,23671666666.6667,103683333333.333,116726666666.5,6.02166666666667,28.435,2022-01-28,0.0
SP500 Beverages Mean ,113.353333333333,22.5683333333333,23.71,5.665,8.385,20.0533333333333,1.57333333333333,2.43,109.543333333333,43.8783333333333,24.7733333333333,8.89,11.7566666666667,10.2666666666667,0.585,5.235,5953333333.33333,26.4883333333333,13.1316666666667,50.29,23671666666.6667,104864999999.667,116808333333.333,5.98833333333333,25.1166666666667,2022-01-21,0.0
SP500 Beverages Mean ,115.65,35.6483333333333,24.9233333333333,5.69833333333333,8.275,20.6966666666667,1.48166666666667,2.43,109.543333333333,44.7483333333333,24.7733333333333,8.89,11.755,32.4233333333333,0.585,5.235,5953333333.33333,26.4883333333333,13.1316666666667,50.29,23671666666.6667,101871666666.5,114984999999.833,6.125,24.3833333333333,2022-01-14,0.0
SP500 Beverages Mean ,115.608333333333,35.6483333333333,24.9233333333333,5.69833333333333,8.275,20.8316666666667,1.48166666666667,2.43,109.443333333333,44.7483333333333,24.7733333333333,8.92833333333333,11.755,32.4233333333333,0.585,5.235,5970000000.0,26.68,13.1316666666667,50.29,23671666666.6667,101871666666.5,114984999999.833,6.125,24.3833333333333,2022-01-07,0.0
SP500 Beverages Mean ,115.755,35.6483333333333,24.9233333333333,5.69833333333333,8.275,20.8483333333333,1.48166666666667,2.405,109.82,44.7483333333333,25.9216666666667,8.92333333333333,11.755,32.4233333333333,0.585,5.235,5953333333.33333,26.4333333333333,14.67,50.17,23691666666.6667,101871666666.5,114984999999.833,6.125,24.3833333333333,2022-01-01,0.0
SP500 Beverages Mean,113.581666666667,30.85,20.715,5.18833333333333,5.82166666666667,20.405,1.48166666666667,2.4,112.6,44.7483333333333,26.5266666666667,8.93166666666667,11.755,31.2916666666667,0.581666666666667,5.235,5921666666.66667,26.475,14.735,50.4066666666667,23341666666.6667,62933333333.1667,70313333333.3333,5.54166666666667,21.2683333333333,2021-12-23 00:00:00,0.0
SP500 Beverages Mean,113.566666666667,32.5183333333333,23.175,5.53,8.14833333333333,20.5633333333333,1.48166666666667,2.405,109.82,44.7483333333333,25.9216666666667,8.92333333333333,11.755,10.4433333333333,0.585,5.235,5953333333.33333,26.4333333333333,14.67,50.17,23691666666.6667,100193333333.167,112206666666.5,5.84666666666667,20.2016666666667,2021-12-17 00:00:00,0.0
SP500 Beverages Mean,109.853333333333,35.0816666666667,24.6216666666667,5.60833333333333,8.26833333333333,19.765,1.48166666666667,2.405,109.82,44.7483333333333,25.9216666666667,8.92333333333333,11.755,32.3216666666667,0.585,5.235,5953333333.33333,26.4333333333333,14.67,50.17,23691666666.6667,98805000000,111925000000,6.04166666666667,24.14,2021-12-10 00:00:00,0.0
SP500 Beverages Mean,106.513333333333,34.34,24.0733333333333,5.48166666666667,8.17333333333333,0,1.48166666666667,0,0,44.7483333333333,0,0,11.755,33.8483333333333,0,5.235,0,0,0,0.0,0,98375000000,111498333333.167,5.895,23.5066666666667,2021-12-03 00:00:00,0.0
