symbol,Price,Trailing P/E,Forward P/E,Price/Sales (ttm),Price/Book (mrq),Price/CashFlow,Quick Ratio,Current Ratio,Total Debt to Equity (mrq),Total Debt to Capital,Return on Equity,Return on Assets,Return on Invested Capital (ttm),Book Value/Market Value,Asset Turnover,Inventory Turnover (ttm),EBITDA,Operating Margin,Profit Margin,Gross Margin ttm,Revenue,Market Cap,Enterprise Value,Enterprise Value/Revenue,Enterprise Value/EBITDA,Date,Forward Price/Sales
S&P 500 Building Products Mean ,78.214,16.452,15.168,2.152,5.666,18.86,1.036,1.628,577.874,56.33,75.43,10.078,5.756,13.148,1.254,4.43,1312840000.0,15.464,11.35,34.17,8474000000.0,14924000000.0,16982000000.0,2.286,11.532,2022-02-05,0.0
S&P 500 Building Products Mean ,78.88,23.96,18.368,2.628,5.744,18.81,1.076,1.746,577.682,55.65,75.332,10.196,9.08,12.918,1.25,4.426,1305300000.0,15.552,11.418,32.06,8380000000.0,18172000000.0,20676000000.0,2.792,15.202,2022-01-28,0.0
S&P 500 Building Products Mean ,81.736,26.912,20.808,2.952,6.458,19.546,1.076,1.746,577.682,55.65,75.332,10.196,9.08,11.298,1.25,4.426,1305300000.0,15.552,11.418,32.06,8380000000.0,20856000000.0,23358000000.0,3.108,16.908,2022-01-22,0.0
S&P 500 Building Products Mean ,86.652,26.912,20.808,2.952,6.458,20.814,1.076,1.746,577.682,55.65,75.332,10.196,9.08,11.298,1.25,4.426,1305300000.0,15.552,11.418,32.06,8380000000.0,20856000000.0,23358000000.0,3.108,16.908,2022-01-15,0.0
S&P 500 Building Products Mean,87.832,26.912,20.808,2.952,6.458,21.138,1.076,1.746,577.682,55.65,75.332,10.196,9.08,11.298,1.25,4.426,1305300000,15.552,11.418,32.06,8380000000,20856000000,23358000000,3.108,16.908,2022-01-08 00:00:00,0.0
S&P 500 Building Products Mean,89.172,26.912,20.808,2.952,6.458,21.394,1.076,1.746,577.682,55.65,75.332,10.196,9.08,11.298,1.25,4.426,1305300000,15.552,11.418,32.06,8380000000,20856000000,23358000000,3.108,16.908,2022-01-01 00:00:00,0.0
S&P 500 Building Products Mean,85.658,26.912,20.808,2.952,6.458,20.64,1.076,1.746,577.682,55.65,75.332,10.196,9.08,11.298,1.25,4.426,1305300000,15.552,11.418,32.06,8380000000,20856000000,23358000000,3.108,16.908,2021-12-23 00:00:00,0.0
S&P 500 Building Products Mean,88.51,26.912,20.808,2.952,6.458,21.276,1.076,1.746,577.682,55.65,75.332,10.196,9.08,11.298,1.25,4.426,1305300000,15.552,11.418,32.06,8380000000,20856000000,23358000000,3.108,16.908,2021-12-18 00:00:00,0.0
S&P 500 Building Products Mean ,88.822,26.896,20.788,2.948,6.454,21.488,1.076,1.746,577.682,55.65,75.332,10.196,9.08,11.296,1.25,4.426,1305300000.0,15.552,11.418,32.06,8380000000.0,20898000000.0,23400000000.0,3.102,16.892,2021-12-11,0.0
S&P 500 Building Products Mean ,87.012,26.0,20.048,2.846,6.242,9.712,1.076,0.734,522.7,55.65,53.894,3.506,9.08,11.758,0.624,4.426,782000000.0,4.924,3.368,28.555,5656000000.0,20236000000.0,22736000000.0,3.012,16.408,2021-12-04,0.0
S&P 500 Building Products Mean ,88.758,19.04,17.22,2.494,6.38,21.646,1.076,1.75,340.924,55.65,462.332,11.192,9.08,11.614,1.226,4.426,1373300000.0,16.674,12.346,32.584,8254000000.0,17388000000.0,19439999999.8,2.612,13.152,2021-11-28,0.0
S&P 500 Building Products Mean ,89.92,27.182,21.084,2.994,6.608,21.738,1.076,1.746,577.682,55.65,75.332,10.196,9.08,11.102,1.25,4.426,1305300000.0,15.552,11.418,32.06,8380000000.0,21214000000.0,23716000000.0,3.148,17.094,2021-11-19,0.0
S&P 500 Building Products Mean ,86.856,26.058,20.24,2.878,6.37,20.932,1.076,1.746,577.682,55.65,75.332,10.196,9.08,11.57,1.25,4.426,1305300000.0,15.552,11.418,32.06,8380000000.0,20310000000.0,22807999999.8,3.034,16.468,2021-11-13,0.0
S&P 500 Building Products Mean ,85.648,25.662,20.086,2.83,6.266,20.588,1.128,1.746,577.682,56.08,75.332,10.196,9.226,11.554,1.25,4.426,1305300000.0,15.552,11.418,32.06,8380000000.0,19886000000.0,22388000000.0,2.988,16.228,2021-11-06,0.0
S&P 500 Building Products Mean ,84.142,24.746,19.608,2.752,6.114,19.638,1.2,1.686,815.332,57.2,226.898,10.394,9.042,11.898,1.226,4.426,1316420000.0,15.818,11.872,32.648,8236000000.0,19832000000.0,22358000000.0,2.92,15.682,2021-10-30,0.0
S&P 500 Building Products Mean ,81.94,23.69,19.06,2.754,6.412,18.868,1.2,1.704,816.298,57.2,226.806,10.35,9.042,12.064,1.216,4.426,1304420000.0,15.81,11.862,32.926,8170000000.0,19368000000.0,21952000000.0,2.93,15.44,2021-10-23,0.0
S&P 500 Building Products Mean ,80.862,22.834,18.414,2.664,6.236,18.046,1.2,1.808,819.796,57.2,228.592,10.554,9.042,12.478,1.216,4.426,1309220000.0,15.954,11.874,32.898,8172000000.0,18624000000.0,21204000000.0,2.844,14.846,2021-10-15,0.0
S&P 500 Building Products Mean ,80.418,22.81,18.472,2.67,6.276,17.954,1.2,1.808,819.796,57.2,228.592,10.554,9.042,12.452,1.216,4.426,1309220000.0,15.954,11.874,32.898,8172000000.0,18822000000.0,21403999999.8,2.846,14.844,2021-10-09,0.0
S&P 500 Building Products Mean ,77.996,23.604,19.154,2.772,6.568,17.376,1.2,1.808,819.796,57.2,228.592,10.554,9.042,12.082,1.216,4.426,1309220000.0,15.954,11.874,32.898,8172000000.0,19522000000.0,22103999999.8,2.946,15.336,2021-10-02,0.0
S&P 500 Building Products Mean ,81.294,23.604,19.154,2.772,6.568,18.064,1.2,1.808,819.796,57.2,228.592,10.554,9.042,12.082,1.216,4.426,1309220000.0,15.954,11.874,32.898,8172000000.0,19522000000.0,22103999999.8,2.946,15.336,2021-09-25,0.0
S&P 500 Building Products Mean ,83.242,24.002,19.46,2.82,6.676,18.528,1.2,1.808,819.796,57.2,228.592,10.554,9.042,11.902,1.216,4.426,1309220000.0,15.954,11.874,32.898,8172000000.0,19710000000.0,22292000000.0,2.994,15.578,2021-09-18,0.0
S&P 500 Building Products Mean ,85.246,24.534,19.948,2.896,6.848,19.034,1.2,1.808,819.796,57.2,228.592,10.554,9.042,11.576,1.216,4.426,1309220000.0,15.954,11.874,32.898,8172000000.0,20192000000.0,22771999999.8,3.066,15.928,2021-09-11,0.0
S&P 500 Building Products Mean ,88.044,25.436,21.282,2.988,7.044,19.634,1.2,1.808,819.796,57.2,228.592,10.554,9.042,11.256,1.216,4.426,1309220000.0,15.954,11.874,32.898,8172000000.0,20812000000.0,23392000000.0,3.16,16.428,2021-09-04,0.0
S&P 500 Building Products Mean ,86.164,25.052,22.992,2.932,6.862,19.3,1.2,1.808,819.796,57.2,228.592,10.554,9.042,11.282,1.216,4.426,1309220000.0,15.954,11.874,32.898,8172000000.0,20590000000.0,23171999999.8,3.1,16.174,2021-08-27,0.0
S&P 500 Building Products Mean ,84.636,24.536,22.558,2.876,6.748,18.864,1.2,1.808,819.796,57.2,228.592,10.554,9.042,11.612,1.216,4.426,1309220000.0,15.954,11.874,32.898,8172000000.0,20006000000.0,22583999999.8,3.05,15.888,2021-08-20,0.0
