symbol,Price,Price/Sales (ttm),Price/Book (mrq),Price/CashFlow,Quick Ratio,Current Ratio,Total Debt to Equity (mrq),Total Debt to Capital,Return on Equity,Return on Assets,Return on Invested Capital (ttm),Book Value/Market Value,Asset Turnover,Inventory Turnover (ttm),EBITDA,Operating Margin,Profit Margin,Gross Margin ttm,Revenue,Market Cap,Enterprise Value,Enterprise Value/Revenue,Enterprise Value/EBITDA,Trailing P/E,Forward P/E,Date,Forward Price/Sales
SP500 Communication Equip Mean ,111.95,6.525,4.44,23.0075,1.995,2.41,17.2475,38.825,14.1175,8.4525,14.305,16.6375,0.605,7.8575,4932617500.0,22.715,17.885,54.715,16604999999.75,80340000000.0,77317499999.75,6.15,21.7975,20.52,16.13,2022-02-05,0.0
SP500 Communication Equip Mean ,106.77,6.315,4.2925,21.99,2.0225,2.41,17.2475,38.81,14.1175,8.4175,14.3775,17.79,0.605,8.73,4930642500.0,22.615,17.885,54.715,16604999999.75,79562500000.0,76522500000.0,5.945,22.4975,20.57,16.18,2022-01-28,0.0
SP500 Communication Equip Mean ,113.045,7.0125,4.69,23.075,2.0225,2.4325,17.1875,38.81,13.535,8.4925,14.3775,16.435,0.6025,8.73,4933767500.0,22.77,17.3575,54.05,16584999999.75,86462500000.0,83420000000.0,6.62,24.935,22.03,17.24,2022-01-22,0.0
SP500 Communication Equip Mean ,119.6175,7.0125,4.69,24.5075,2.0225,2.4325,17.1875,38.81,13.535,8.4925,14.3775,16.435,0.6025,8.73,4933767500.0,22.77,17.3575,54.05,16584999999.75,86462500000.0,83420000000.0,6.62,24.935,22.03,17.24,2022-01-15,0.0
SP500 Communication Equip Mean,121.43,7.0125,4.69,24.6875,2.0225,2.4325,17.1875,38.81,13.535,8.4925,14.3775,16.435,0.6025,8.73,4933767500,22.77,17.3575,54.05,16584999999.75,86462500000,83420000000,6.62,24.935,22.03,17.24,2022-01-08 00:00:00,0.0
SP500 Communication Equip Mean,128.31,7.0125,4.69,26.12,2.0225,2.4325,17.1875,38.81,13.535,8.4925,14.3775,16.435,0.6025,8.73,4933767500,22.77,17.3575,54.05,16584999999.75,86462500000,83420000000,6.62,24.935,46.8125,24.8,2022-01-01 00:00:00,0.0
SP500 Communication Equip Mean,124.8725,7.0125,4.69,25.36,2.0225,2.4325,17.1875,38.81,13.535,8.4925,14.3775,16.435,0.6025,8.73,4933767500,22.77,17.3575,54.05,16584999999.75,86462500000,83420000000,6.62,24.935,46.8125,24.8,2021-12-23 00:00:00,0.0
SP500 Communication Equip Mean ,121.42,7.0125,4.69,24.4275,2.0225,2.4325,17.1875,38.81,13.535,8.4925,14.3775,16.435,0.6025,8.73,4933767500.0,22.77,17.3575,54.05,16584999999.75,86462500000.0,83420000000.0,6.62,24.935,46.8125,24.8,2021-12-18,0.0
SP500 Communication Equip Mean ,119.5325,6.835,4.585,23.97,2.0225,2.4325,17.1875,38.81,13.535,8.4925,14.3775,16.975,0.6025,8.73,4933767500.0,22.77,17.3575,54.05,16584999999.75,83940000000.0,80895000000.0,6.45,24.2325,45.36,24.105,2021-12-11,0.0
SP500 Communication Equip Mean ,115.79,6.6075,4.405,0.0,2.0225,0.0,0.0,38.49,0.0,0.0,14.455,17.8,0.0,8.73,0.0,0.0,0.0,0.0,0.0,81017500000.0,77977500000.0,6.1375,23.09,43.7125,23.34,2021-12-04,0.0
SP500 Communication Equip Mean ,119.2575,6.685,4.415,23.7675,2.0225,2.4325,17.1875,38.49,13.535,8.4925,14.455,17.705,0.6025,8.73,4933767500.0,22.77,17.3575,54.05,16584999999.75,80835000000.0,77792500000.0,6.3,23.675,44.2625,23.65,2021-11-29,0.0
SP500 Communication Equip Mean ,118.9525,6.92,2.7025,16.095,2.0,2.4325,16.4925,38.885,13.535,8.5875,14.525,24.175,0.6025,8.73,5081267500.0,23.055,17.3575,54.05,16584999999.75,75637500000.0,72805000000.0,3.785,16.4925,45.6325,24.2525,2021-11-20,0.0
SP500 Communication Equip Mean ,214.425,6.8425,4.63,23.49,2.02,2.4,18.6175,39.3075,13.175,8.4275,14.58,17.12,0.6,8.73,4843767500.0,22.76,17.0625,54.355,16342499999.75,82907500000.0,80077500000.0,6.455,24.2775,45.1075,24.05,2021-11-13,0.0
SP500 Communication Equip Mean ,215.865,3.1125,2.01,24.1575,2.0175,2.3925,18.655,39.3425,12.94,8.315,14.75,14.9275,0.5925,8.73,4824012500.0,22.645,16.9175,55.065,16307499999.75,72080000000.0,70022500000.0,3.1625,14.8,32.325,14.4825,2021-11-06,0.0
SP500 Communication Equip Mean ,185.2775,6.0275,3.985,21.455,2.01,2.4125,18.655,39.4175,12.94,8.2475,14.755,18.5,0.5875,8.73,4806512500.0,22.5975,16.71,55.39,16250000000.0,78587500000.0,75722500000.0,5.665,21.1325,42.115,22.6125,2021-10-30,0.0
SP500 Communication Equip Mean ,181.975,5.955,3.9675,21.1325,2.01,2.3875,18.8075,39.4175,13.2725,8.255,14.755,19.045,0.5875,8.73,4805987500.0,22.6475,17.025,55.54,16237500000.0,78332500000.0,75472500000.0,5.6125,21.595,36.6325,22.18,2021-10-23,0.0
SP500 Communication Equip Mean ,181.235,5.83,3.89,21.1125,2.01,2.3875,18.8075,39.4175,13.2725,8.255,14.755,19.19,0.5875,8.73,4805987500.0,22.6475,17.025,55.54,16237500000.0,77442500000.0,74582500000.0,5.475,21.1475,36.09,21.7575,2021-10-15,0.0
SP500 Communication Equip Mean ,171.155,5.6125,3.7525,20.195,2.01,2.3875,18.8075,39.4175,13.2725,8.255,14.755,19.5475,0.5875,8.73,4805987500.0,22.6475,17.025,55.54,16237500000.0,76552500000.0,73692500000.0,5.27,20.4875,35.1575,21.0975,2021-10-09,0.0
SP500 Communication Equip Mean ,164.4775,5.675,3.81,19.4875,2.01,2.3875,18.8075,39.4175,13.2725,8.255,14.755,19.4475,0.5875,8.73,4805987500.0,22.6475,17.025,55.54,16237500000.0,78917500000.0,76060000000.0,5.3275,20.67,35.4025,21.36,2021-10-02,0.0
SP500 Communication Equip Mean ,170.7425,5.675,3.81,20.1975,2.01,2.3875,18.8075,39.4175,13.2725,8.255,14.755,19.4475,0.5875,8.73,4805987500.0,22.6475,17.025,55.54,16237500000.0,78917500000.0,76060000000.0,5.3275,20.67,35.4025,21.36,2021-09-25,0.0
SP500 Communication Equip Mean ,173.1575,5.735,3.84,20.425,2.01,2.3875,18.8075,40.23,13.2725,8.255,14.555,19.3375,0.5875,8.73,4805987500.0,22.6475,17.025,55.54,16237500000.0,79162500000.0,76302500000.0,5.385,20.87,35.7225,21.575,2021-09-18,0.0
SP500 Communication Equip Mean ,172.2175,5.74,3.8425,20.4075,2.01,2.3875,18.8075,39.9275,13.2725,8.255,14.615,19.255,0.5875,8.73,4805987500.0,22.6475,17.025,55.54,16237500000.0,81027500000.0,78165000000.0,5.3925,20.9325,35.9075,21.6425,2021-09-11,0.0
SP500 Communication Equip Mean ,174.71,5.895,3.9525,20.785,2.01,2.3875,18.1,39.9275,13.2725,8.2575,14.615,18.5725,0.5875,8.73,4838487500.0,22.6475,17.025,55.565,16237500000.0,82500000000.0,79637500000.0,5.545,21.5525,36.955,14.3825,2021-09-04,0.0
SP500 Communication Equip Mean ,175.22,5.9275,3.9825,20.8075,2.0175,2.3875,18.1,39.66,13.2725,8.2575,15.155,18.48,0.5875,8.875,4838487500.0,22.6475,17.025,55.565,16237500000.0,82290000000.0,79435000000.0,5.57,21.5875,36.96,24.29,2021-08-28,0.0
SP500 Communication Equip Mean ,172.635,5.7775,3.885,20.455,2.0175,2.3875,18.1,39.66,13.2725,8.2575,15.155,19.0025,0.5875,8.875,4838487500.0,22.6475,17.025,71.5475,16237500000.0,79560000000.0,76702500000.0,5.4225,21.01,35.945,23.7175,2021-08-21,0.0
SP500 Communication Equip Mean ,170.605,5.765,3.9125,20.36,2.0175,2.3975,18.915,39.66,13.315,8.305,15.155,19.0575,0.585,8.875,4745987500.0,22.675,16.94,55.75,15995000000.0,77855000000.0,75232500000.0,5.415,20.985,35.835,23.5875,2021-08-14,0.0
SP500 Communication Equip Mean ,171.7125,5.8775,3.9625,20.905,1.995,2.35,18.915,40.575,13.315,8.145,16.01,18.7225,0.5775,8.875,4708487500.0,22.4775,16.5875,56.3025,15905000000.0,77767500000.0,75170000000.0,5.5325,21.555,37.2075,23.81,2021-08-07,0.0
SP500 Communication Equip Mean ,171.8175,6.06,4.075,22.0325,1.995,2.365,18.97,40.575,13.275,8.12,16.01,18.7425,0.5675,8.875,4695737500.0,22.465,16.5275,57.275,15862500000.0,77075000000.0,74542500000.0,5.7075,21.2425,37.9325,23.8875,2021-07-31,0.0
SP500 Communication Equip Mean ,171.37,6.05,4.0625,23.03,2.005,2.3775,18.73,40.44,13.27,8.095,15.995,19.205,0.565,8.875,4688962500.0,22.41,16.545,57.5525,15840000000.0,77122500000.0,74595000000.0,5.705,21.86,37.825,23.725,2021-07-27,0.0
SP500 Communication Equip Mean ,168.1,5.9875,4.005,22.71,2.005,2.3775,18.73,40.44,13.27,8.095,15.995,19.34,0.565,8.875,4688962500.0,22.41,16.545,57.5525,15840000000.0,75330000000.0,72805000000.0,5.64,21.6475,37.52,23.5,2021-07-17,0.0
SP500 Communication Equip Mean ,168.245,5.8975,3.92,22.595,2.005,2.3775,18.73,40.44,13.27,8.095,15.995,19.62,0.565,8.875,4688962500.0,22.41,16.545,57.5525,15840000000.0,74845000000.0,72322500000.0,5.555,21.39,37.19,23.2625,2021-07-09,0.0
SP500 Communication Equip Mean ,165.625,5.86,3.92,22.3375,2.005,2.3775,18.73,40.44,13.27,8.095,15.995,19.4725,0.565,8.875,4688962500.0,22.41,16.545,57.5525,15840000000.0,74782500000.0,72257500000.0,5.515,21.2825,37.02,23.1075,2021-07-03,0.0
SP500 Communication Equip Mean ,164.5425,5.8225,3.9125,22.2175,2.005,2.3775,18.73,40.44,13.27,8.095,15.995,19.68,0.565,8.875,4688962500.0,22.41,16.545,57.5525,15840000000.0,74370000000.0,71847500000.0,5.485,21.11,36.6125,22.88,2021-06-26,0.0
SP500 Communication Equip Mean ,165.45,5.86,3.9575,22.3725,2.005,2.3775,18.73,40.44,13.27,8.095,15.995,19.35,0.565,8.875,4688962500.0,22.41,16.545,57.5525,15840000000.0,74560000000.0,72040000000.0,5.52,21.25,36.875,23.0025,2021-06-19,0.0
SP500 Communication Equip Mean ,166.425,5.9225,4.0175,22.7175,2.005,2.3775,18.73,40.44,13.27,8.095,15.995,18.735,0.565,8.875,4688962500.0,22.41,16.545,57.5525,15840000000.0,76407500000.0,73885000000.0,5.5825,21.6025,37.62,23.3775,2021-06-11,0.0
SP500 Communication Equip Mean ,158.495,5.665,3.8325,21.6025,2.005,2.3775,18.73,40.44,13.27,8.095,15.995,19.4475,0.565,8.875,4688962500.0,22.41,16.545,57.5525,15840000000.0,74827500000.0,72307500000.0,5.38,20.855,36.195,22.4275,2021-06-05,0.0
SP500 Communication Equip Mean ,155.0025,5.4825,3.71,21.1675,2.005,2.3775,18.73,40.82,13.27,8.095,15.8925,20.3825,0.565,8.875,4688962500.0,22.41,16.545,57.5525,15840000000.0,72872500000.0,70352500000.0,5.15,19.9725,34.8575,21.6675,2021-05-29,0.0
SP500 Communication Equip Mean ,154.61,5.43,3.6775,21.0625,2.01,2.3975,20.9175,41.0725,13.325,8.09,16.2625,20.06,0.5625,8.875,4683962500.0,22.5375,16.5875,57.83,15635000000.0,72785000000.0,70260000000.0,5.105,19.855,34.725,21.525,2021-05-22,0.0
SP500 Communication Equip Mean ,148.56,5.4575,3.73,20.435,2.01,2.3975,20.9175,41.0725,13.325,8.09,16.2625,19.89,0.5625,8.875,4683962500.0,22.5375,16.5875,57.83,15635000000.0,72750000000.0,69227500000.0,5.1075,19.8725,34.885,21.5425,2021-05-14,0.0
SP500 Communication Equip Mean ,148.685,5.42,3.6875,20.7175,2.0075,2.39,20.9175,41.0725,13.325,7.9025,16.2625,20.37,0.56,8.875,4656462500.0,22.2875,16.4825,58.025,15605000000.0,70025000000.0,66572500000.0,4.925,19.3275,34.56,20.825,2021-05-08,0.0
SP500 Communication Equip Mean ,147.3875,5.495,3.7275,21.0825,2.01,2.365,21.1,41.135,13.06,7.77,16.23,20.61,0.5525,8.875,4644892500.0,22.285,16.4575,58.9325,15570000000.0,70629999999.75,67175000000.0,5.1375,19.45,34.9525,21.1875,2021-05-01,0.0
SP500 Communication Equip Mean ,144.2075,5.4025,3.65,19.995,2.01,2.3375,23.5375,41.135,13.2975,7.73,16.23,21.045,0.55,8.875,4643342500.0,22.33,16.7675,59.155,15552500000.0,70684999999.75,67217500000.0,5.0725,19.165,32.0175,20.875,2021-04-23,0.0
SP500 Communication Equip Mean ,144.805,5.4175,3.6525,20.1325,2.01,2.3375,23.5375,41.135,13.2975,7.73,16.23,21.015,0.55,8.875,4643342500.0,22.33,16.7675,59.155,15552500000.0,70880000000.0,67412500000.0,5.06,19.16,32.24,20.9925,2021-04-10,0.0
SP500 Communication Equip Mean ,141.745,5.3875,3.6475,19.7825,2.01,2.3375,23.5375,41.135,13.2975,7.73,16.23,20.97,0.55,8.875,4643342500.0,22.33,16.7675,59.155,15552500000.0,71372500000.0,67902500000.0,5.0275,19.07,32.0975,21.1325,2021-04-02,0.0
SP500 Communication Equip Mean ,137.91,5.14,3.445,19.325,2.01,2.3375,23.5375,41.135,13.2975,7.73,16.23,21.91,0.55,8.875,4643342500.0,22.33,16.7675,59.155,15552500000.0,68292499999.75,64827500000.0,4.785,18.275,30.955,20.31,2021-03-27,0.0
SP500 Communication Equip Mean ,134.8025,4.91,3.255,18.945,2.01,2.3375,23.5375,41.135,13.2975,7.73,16.23,23.375,0.55,8.875,4643342500.0,22.33,16.7675,59.155,15552500000.0,62950000000.0,59485000000.0,4.56,17.38,29.39,19.3325,2021-03-20,0.0
SP500 Communication Equip Mean ,131.8625,4.9625,3.3575,18.64,2.01,2.3375,23.5375,41.135,13.2975,7.73,16.23,21.92,0.55,8.875,4643342500.0,22.33,16.7675,59.155,15552500000.0,66382499999.75,62912500000.0,4.62,17.735,30.115,19.695,2021-03-13,0.0
SP500 Communication Equip Mean ,128.59,4.8925,3.255,17.94,2.01,2.3375,23.5375,41.135,13.2975,7.73,16.23,23.3575,0.55,8.875,4643342500.0,22.33,16.7675,59.155,15552500000.0,62677500000.0,59212499999.75,4.525,17.23,29.2525,19.245,2021-03-05,0.0
SP500 Communication Equip Mean ,132.435,4.925,3.2775,18.3625,6.755,2.3375,23.5375,34.3725,13.2975,7.73,-104.9925,24.145,1.795,13.43,4643342500.0,22.33,16.7675,59.155,15552500000.0,63217500000.0,59750000000.0,4.58,17.4875,29.6175,19.455,2021-02-26,0.0
SP500 Communication Equip Mean ,152.244,5.348,3.956,19.138,1.958,2.178,25.04,37.252,13.378,7.322,15.984,20.798,0.398,27.424,3815398000.0,21.178,15.88,63.424,12924000000.0,54400000000.0,51506000000.0,4.898,19.608,32.764,20.642,2021-02-20,0.0
SP500 Communication Equip Mean ,155.89,5.416,4.012,18.654,1.958,2.28,24.544,37.252,14.258,7.522,16.476,20.692,0.394,27.374,3813106000.0,21.378,16.816,64.586,12904000000.0,55146000000.0,52228000000.0,5.04,19.98,32.884,20.85,2021-02-14,0.0
