symbol,Price,Trailing P/E,Forward P/E,Price/Sales (ttm),Price/Book (mrq),Price/CashFlow,Quick Ratio,Current Ratio,Total Debt to Equity (mrq),Total Debt to Capital,Return on Equity,Return on Assets,Return on Invested Capital (ttm),Book Value/Market Value,Asset Turnover,Inventory Turnover (ttm),EBITDA,Operating Margin,Profit Margin,Gross Margin ttm,Revenue,Market Cap,Enterprise Value,Enterprise Value/Revenue,Enterprise Value/EBITDA,Date,Forward Price/Sales
S&P 500 Commercial Services & Supplies Mean ,163.546,35.566,31.03,5.914,9.27,17.454,1.23,1.502,84.596,35.78,27.296,10.984,3.712,12.382,0.796,62.8,2376802000.0,23.09,17.09,43.98,8322000000.0,37620000000.0,42582000000.0,6.248,21.404,2022-02-05,0.0
S&P 500 Commercial Services & Supplies Mean ,159.608,35.206,30.71,5.83,9.034,17.106,1.25,1.508,83.348,35.656,27.194,11.108,7.524,12.69,0.81,63.43,2364802000.0,23.228,17.082,43.162,8200000000.0,36988000000.0,41864000000.0,6.074,20.478,2022-01-28,0.0
S&P 500 Commercial Services & Supplies Mean ,164.386,38.426,33.544,6.492,9.82,25.618,1.25,1.52,81.752,35.656,27.104,11.176,7.524,11.558,0.802,63.43,2363996000.0,23.302,17.138,42.154,8188000000.0,40482000000.0,45360000000.0,6.764,22.332,2022-01-22,0.0
S&P 500 Commercial Services & Supplies Mean ,172.976,39.998,35.16,6.754,10.472,27.05,1.232,1.52,81.752,36.114,27.104,11.176,7.524,11.15,0.802,63.43,2363996000.0,23.302,17.138,42.154,8188000000.0,42074000000.0,46990000000.0,7.014,23.304,2022-01-15,0.0
S&P 500 Commercial Services & Supplies Mean,175.06,39.998,35.16,6.754,10.472,27.368,1.232,1.52,81.752,36.114,27.104,11.176,7.524,11.15,0.802,63.43,2363996000,23.302,17.138,42.154,8188000000,42074000000,46990000000,7.014,23.304,2022-01-08 00:00:00,0.0
S&P 500 Commercial Services & Supplies Mean,184.61,32.002,29.242,5.948,8.55,28.582,1.232,1.54,80.992,36.114,26.714,11.09,7.524,9.07,0.796,63.43,2327996000,23.376,17.058,42.482,8028000000,28292000000,30622000000,6.07,19.714,2022-01-01 00:00:00,0.0
S&P 500 Commercial Services & Supplies Mean,180.332,39.998,35.16,6.754,10.472,27.638,1.232,1.52,81.348,36.114,27.104,11.176,7.524,11.15,0.802,63.43,2363996000,23.302,17.138,42.154,8188000000,42074000000,46990000000,7.014,23.304,2021-12-23 00:00:00,0.0
S&P 500 Commercial Services & Supplies Mean,187.822,39.998,35.16,6.754,10.472,28.732,1.232,1.494,83.994,36.114,27.278,11.212,7.524,11.15,0.798,63.43,2357996000,23.314,17.182,42.35,8156000000,42074000000,46990000000,7.014,23.304,2021-12-18 00:00:00,0.0
S&P 500 Commercial Services & Supplies Mean ,185.388,40.09,35.204,6.76,10.504,28.39,1.232,1.494,83.994,36.114,27.278,11.212,7.524,11.15,0.798,63.43,2357996000.0,23.314,17.182,42.35,8156000000.0,41896000000.0,46810000000.0,7.02,23.374,2021-12-11,0.0
S&P 500 Commercial Services & Supplies Mean ,182.242,39.312,35.118,6.646,10.284,11.4,1.232,0.312,42.222,36.114,11.724,4.346,7.524,11.416,0.382,63.43,1091996000.0,7.176,4.966,40.49,3936000000.0,40898000000.0,45810000000.0,6.878,22.818,2021-12-04,0.0
