symbol,Price,Trailing P/E,Forward P/E,Price/Sales (ttm),Price/Book (mrq),Price/CashFlow,Quick Ratio,Current Ratio,Total Debt to Equity (mrq),Total Debt to Capital,Return on Equity,Return on Assets,Return on Invested Capital (ttm),Book Value/Market Value,Asset Turnover,Inventory Turnover (ttm),EBITDA,Operating Margin,Profit Margin,Gross Margin ttm,Revenue,Market Cap,Enterprise Value,Enterprise Value/Revenue,Enterprise Value/EBITDA,Date,Forward Price/Sales
S&P 500 Consumer Finance Mean ,122.63,9.0325,10.62,2.525,2.8975,0.0,11.3075,0.805,84.305,39.09,33.2925,4.105,24.6525,53.815,0.135,0.0,0.0,45.145,34.79,85.96,25007500000.0,64542500000.0,0.0,0.0,0.0,2022-02-05,0.0
S&P 500 Consumer Finance Mean ,117.805,8.9675,10.525,2.5025,2.86,0.8475,10.67,0.805,84.305,36.2425,33.2475,4.11,18.45,55.03,0.13,0.0,0.0,46.36,34.86,76.7875,24950000000.0,62994999999.5,0.0,0.0,0.0,2022-01-28,0.0
S&P 500 Consumer Finance Mean ,118.2875,9.1,10.5025,2.5775,2.745,4.535,10.67,0.735,75.3575,50.8125,32.72,4.1125,5.565,53.32,0.1275,0.0,0.0,46.77,35.295,63.4025,24127500000.0,63082499999.5,0.0,0.0,0.0,2022-01-21,0.0
S&P 500 Consumer Finance Mean ,128.38,9.195,10.54,2.6025,2.7725,6.395,10.67,0.7125,72.545,50.8125,32.52,4.005,5.565,52.5225,0.12,0.0,0.0,49.515,37.095,55.405,23405000000.0,63452499999.75,0.0,0.0,0.0,2022-01-14,0.0
S&P 500 Consumer Finance Mean ,123.5025,9.195,10.54,2.6025,2.7725,6.185,10.67,0.7125,72.545,50.8125,32.52,4.005,5.565,52.5225,0.12,0,0,49.515,37.095,55.405,23405000000,63452499999.75,0,0,0,2022-01-08,0.0
S&P 500 Consumer Finance Mean ,117.935,9.195,10.54,2.6025,2.7725,5.9075,10.67,0.7125,72.545,50.8125,32.52,4.005,5.565,52.5225,0.12,0,0,49.515,37.095,55.405,23405000000,63452499999.75,0,0,0,2022-01-01,0.0
S&P 500 Consumer Finance Mean ,116.7525,6.0525,6.405,1.2825,1.82,5.91,10.67,0.7125,72.545,50.8125,32.52,4.005,5.565,18.0225,0.12,0,0,49.515,37.095,55.405,23405000000,38892500000,0,0,0,2021-12-23,0.0
S&P 500 Consumer Finance Mean ,118.59,9.195,10.54,2.6025,2.7725,5.935,10.67,0.7125,72.545,50.8125,32.52,4.005,5.565,52.5225,0.12,0,0,49.515,37.095,55.405,23405000000,63452499999.75,0,0,0,2021-12-18,0.0
S&P 500 Consumer Finance Mean ,120.0925,9.16,10.4975,2.59,2.7625,6.0175,10.67,0.7125,72.545,50.8125,32.52,4.005,5.565,52.85,0.12,0,0,49.515,37.095,55.405,23405000000,63200000000,0,0,0,2021-12-10,0.0
S&P 500 Consumer Finance Mean ,113.965,8.64,9.9625,2.4775,2.6025,0,10.67,0,0,50.8125,0,0,5.565,54.1375,0,0,0,0,0,0.0,0,59450000000,0,0,0,2021-12-03,0.0
S&P 500 Consumer Finance Mean ,124.185,9.2625,10.59,2.605,2.7925,6.215,10.67,0.7125,72.545,50.8125,32.52,4.005,5.565,52.845,0.12,0,0,49.515,37.095,55.405,23405000000,64019999999.75,0,0,0,2021-11-29,0.0
S&P 500 Consumer Finance Mean ,123.325,7.8225,8.815,2.21,2.3725,6.2975,10.67,0.7125,72.545,50.8125,30.915,3.78,5.565,38.755,0.1175,0.0,0.0,48.095,35.92,57.2825,23160000000.0,59402500000.0,0.0,0.0,0.0,2021-11-19,0.0
S&P 500 Consumer Finance Mean ,126.515,9.72,11.1375,2.7275,2.9275,6.3525,10.67,0.7125,72.545,50.8125,32.52,4.005,5.565,50.455,0.12,0.0,0.0,49.515,37.095,55.405,23405000000.0,67312500000.0,0.0,0.0,0.0,2021-11-12,0.0
S&P 500 Consumer Finance Mean ,122.115,9.335,10.7625,2.6275,2.8125,4.7875,10.67,0.7125,72.545,50.8125,32.52,4.005,5.565,52.1375,0.12,0.0,0.0,49.585,37.095,55.405,23405000000.0,64879999999.75,0.0,0.0,0.0,2021-11-05,0.0
S&P 500 Consumer Finance Mean ,122.1525,10.0925,11.1925,2.7525,2.7675,3.4625,12.5725,0.735,72.545,50.6575,32.52,4.005,5.465,52.51,0.12,0.0,0.0,48.9675,36.6825,54.9825,23512500000.0,66612499999.75,0.0,0.0,0.0,2021-10-29,0.0
S&P 500 Consumer Finance Mean ,129.2725,10.3825,11.5925,2.885,2.86,4.5675,15.2175,0.7325,73.3975,48.4975,31.42,3.8525,5.675,48.235,0.1175,0.0,0.0,48.79,36.355,56.5775,22472500000.0,69620000000.0,0.0,0.0,0.0,2021-10-22,0.0
S&P 500 Consumer Finance Mean ,128.4775,10.9,11.72,2.89,2.935,7.08,15.2175,0.6875,75.2225,48.4975,29.4525,3.595,5.675,47.87,0.115,0.0,0.0,47.8375,35.5075,59.5625,21962500000.0,69385000000.0,0.0,0.0,0.0,2021-10-15,0.0
S&P 500 Consumer Finance Mean ,129.7675,11.0375,11.8775,2.93,2.9675,7.1525,15.2175,0.6875,75.2225,48.4975,29.4525,3.595,5.675,47.1075,0.115,0.0,0.0,47.9725,35.5075,59.5625,21962500000.0,70217500000.0,0.0,0.0,0.0,2021-10-08,0.0
S&P 500 Consumer Finance Mean ,125.3075,10.315,11.1125,2.7575,2.7825,6.9475,15.2175,0.6875,75.2225,48.4975,29.4525,3.595,5.675,50.13,0.115,0.0,0.0,47.9725,35.5075,59.5625,21962500000.0,65987500000.0,0.0,0.0,0.0,2021-10-01,0.0
