symbol,Price,Trailing P/E,Forward P/E,Price/Sales (ttm),Price/Book (mrq),Price/CashFlow,Quick Ratio,Current Ratio,Total Debt to Equity (mrq),Total Debt to Capital,Return on Equity,Return on Assets,Return on Invested Capital (ttm),Book Value/Market Value,Asset Turnover,Inventory Turnover (ttm),EBITDA,Operating Margin,Profit Margin,Gross Margin ttm,Revenue,Market Cap,Enterprise Value,Enterprise Value/Revenue,Enterprise Value/EBITDA,Date,Forward Price/Sales
SP500 Construction Materials Mean ,279.13,34.995,26.73,4.705,3.745,22.175,3.26,4.31,79.705,44.125,11.275,4.925,6.975,26.74,0.45,6.445,1395000000.0,19.705,13.925,25.65,4955000000.0,23930000000.0,27695000000.0,5.42,19.375,2022-02-05,0.0
SP500 Construction Materials Mean ,278.1,34.63,26.46,4.655,3.705,22.035,3.26,4.31,79.705,44.125,11.275,4.895,6.975,27.03,0.45,6.445,1390000000.0,19.585,13.925,25.65,4955000000.0,23675000000.0,27445000000.0,5.37,19.195,2022-01-29,0.0
SP500 Construction Materials Mean ,289.835,39.905,29.1,5.37,4.275,22.86,3.26,4.31,79.705,44.125,11.275,4.895,6.975,23.39,0.45,6.445,1390000000.0,19.585,13.925,25.65,4955000000.0,27340000000.0,31105000000.0,6.09,21.755,2022-01-22,0.0
SP500 Construction Materials Mean ,304.98,39.905,29.1,5.37,4.275,24.095,3.26,4.31,79.705,44.125,11.275,4.895,6.975,23.39,0.45,6.445,1390000000.0,19.585,13.925,25.65,4955000000.0,27340000000.0,31105000000.0,6.09,21.755,2022-01-14,0.0
SP500 Construction Materials Mean,323.52,39.905,29.1,5.37,4.275,25.515,3.26,4.31,79.705,44.125,11.275,4.895,6.975,23.39,0.45,6.445,1390000000,19.585,13.925,25.65,4955000000,27340000000,31105000000,6.09,21.755,2022-01-08 00:00:00,0.0
SP500 Construction Materials Mean,322.415,39.905,29.1,5.37,4.275,25.33,3.26,4.31,79.705,44.125,11.275,4.895,6.975,23.39,0.45,6.445,1390000000,19.585,13.925,25.65,4955000000,27340000000,31105000000,6.09,21.755,2022-01-01 00:00:00,0.0
SP500 Construction Materials Mean,320.7,39.905,29.1,5.37,4.275,25.195,3.26,4.31,79.705,44.125,11.275,4.895,6.975,23.39,0.45,6.445,1390000000,19.585,13.925,25.65,4955000000,27340000000,31105000000,6.09,21.755,2021-12-23 00:00:00,0.0
SP500 Construction Materials Mean ,322.86,39.905,29.1,5.37,4.275,25.305,3.26,4.31,79.705,44.125,11.275,4.895,6.975,23.39,0.45,6.445,1390000000.0,19.585,13.925,25.65,4955000000.0,27340000000.0,31105000000.0,6.09,21.755,2021-12-18,0.0
SP500 Construction Materials Mean ,314.305,38.885,28.335,5.235,4.165,24.685,3.26,4.31,79.705,44.125,11.275,4.895,6.975,24.01,0.45,6.445,1390000000.0,19.585,13.925,25.65,4955000000.0,26635000000.0,30400000000.0,5.95,21.26,2021-12-11,0.0
SP500 Construction Materials Mean ,304.86,37.28,27.18,5.01,3.99,12.74,3.26,0.98,36.12,44.125,5.26,2.275,6.975,25.455,0.225,6.445,670000000.0,8.985,6.32,25.0,2560000000.0,25125000000.0,28890000000.0,5.655,20.205,2021-12-04,0.0
SP500 Construction Materials Mean ,312.425,38.495,28.075,5.175,4.12,24.605,3.26,4.31,79.705,44.125,11.275,4.895,6.975,24.285,0.45,6.445,1390000000.0,19.585,13.925,25.65,4955000000.0,26335000000.0,30100000000.0,5.895,21.055,2021-11-29,0.0
SP500 Construction Materials Mean ,309.42,38.88,28.285,5.235,4.165,24.32,3.26,4.31,79.705,44.125,11.275,4.895,6.975,24.025,0.45,6.445,1390000000.0,19.585,13.925,25.65,4955000000.0,26615000000.0,30380000000.0,5.945,21.25,2021-11-20,0.0
SP500 Construction Materials Mean ,306.63,38.185,27.805,5.135,4.085,24.195,4.025,4.31,79.705,40.305,11.275,4.895,7.515,24.205,0.45,6.445,1390000000.0,19.585,13.925,25.65,4955000000.0,26135000000.0,29905000000.0,5.855,20.91,2021-11-13,0.0
SP500 Construction Materials Mean ,303.555,36.825,29.06,5.165,4.07,23.58,1.905,5.165,69.59,33.73,11.615,5.115,8.55,24.07,0.44,6.445,1380000000.0,19.94,14.425,26.185,4850000000.0,25795000000.0,28560000000.0,5.71,19.885,2021-11-06,0.0
SP500 Construction Materials Mean ,291.25,33.775,27.33,4.965,3.89,23.01,1.905,2.9,52.98,33.73,12.215,5.37,8.55,25.685,0.43,6.445,1355000000.0,20.14,15.23,26.82,4740000000.0,24180000000.0,26990000000.0,5.52,18.62,2021-10-30,0.0
SP500 Construction Materials Mean ,283.07,33.015,26.74,4.85,3.81,22.395,1.905,2.9,52.98,33.73,12.215,5.37,8.55,26.275,0.43,6.445,1355000000.0,20.14,15.23,26.82,4740000000.0,23635000000.0,26445000000.0,5.415,18.245,2021-10-23,0.0
SP500 Construction Materials Mean ,269.77,31.21,25.25,4.585,3.595,21.36,1.905,2.9,52.98,33.73,12.215,5.37,8.55,27.815,0.43,6.445,1355000000.0,20.14,15.23,26.82,4740000000.0,22330000000.0,25150000000.0,5.145,17.345,2021-10-15,0.0
SP500 Construction Materials Mean ,268.625,30.855,24.945,4.53,3.555,21.31,1.905,2.9,52.98,33.73,12.215,5.37,8.55,28.125,0.43,6.445,1355000000.0,20.14,15.23,26.82,4740000000.0,22085000000.0,24900000000.0,5.095,17.175,2021-10-09,0.0
SP500 Construction Materials Mean ,255.42,30.7,24.815,4.505,3.535,20.305,1.905,2.9,52.98,33.73,12.215,5.37,8.55,28.29,0.43,6.445,1355000000.0,20.14,15.23,26.82,4740000000.0,21960000000.0,24770000000.0,5.07,17.09,2021-10-02,0.0
SP500 Construction Materials Mean ,267.35,30.7,24.815,4.505,3.535,21.315,1.905,2.9,52.98,33.73,12.215,5.37,8.55,28.29,0.43,6.445,1355000000.0,20.14,15.23,26.82,4740000000.0,21960000000.0,24770000000.0,5.07,17.09,2021-09-25,0.0
SP500 Construction Materials Mean ,263.31,31.47,25.43,4.63,3.63,20.865,1.905,2.9,52.98,33.73,12.215,5.37,8.55,27.54,0.43,6.445,1355000000.0,20.14,15.23,26.82,4740000000.0,22550000000.0,25360000000.0,5.19,17.495,2021-09-18,0.0
SP500 Construction Materials Mean ,271.895,32.5,26.26,4.775,3.75,21.465,1.905,2.9,52.98,33.73,12.215,5.37,8.55,26.69,0.43,6.445,1355000000.0,20.14,15.23,26.82,4740000000.0,23270000000.0,26080000000.0,5.335,17.99,2021-09-11,0.0
SP500 Construction Materials Mean ,281.215,33.48,27.06,4.92,3.86,22.24,1.905,2.9,52.98,33.73,12.215,5.37,8.55,25.905,0.43,6.445,1355000000.0,20.14,15.23,26.82,4740000000.0,23975000000.0,26785000000.0,5.48,18.48,2021-09-04,0.0
SP500 Construction Materials Mean ,286.055,34.34,35.71,5.045,3.96,22.67,1.905,2.9,52.98,33.73,12.215,5.37,8.55,25.28,0.43,6.445,1355000000.0,20.14,15.23,26.82,4740000000.0,24570000000.0,27380000000.0,5.6,18.895,2021-08-28,0.0
SP500 Construction Materials Mean ,278.12,33.335,34.65,4.9,3.84,22.08,1.905,2.9,52.98,33.73,12.215,5.37,8.55,26.035,0.43,6.445,1355000000.0,20.14,15.23,26.82,4740000000.0,23855000000.0,26665000000.0,5.455,18.395,2021-08-21,0.0
SP500 Construction Materials Mean ,290.65,34.9,36.25,5.125,4.02,23.1,1.905,2.9,52.98,33.73,12.215,5.37,8.55,24.89,0.43,6.445,1355000000.0,20.14,15.23,26.82,4740000000.0,24960000000.0,27770000000.0,5.68,19.16,2021-08-14,0.0
SP500 Construction Materials Mean ,270.19,32.285,33.37,4.745,3.72,21.435,2.335,2.9,52.625,34.295,12.215,5.355,8.735,26.1,0.43,6.445,1355000000.0,20.07,15.23,26.82,4740000000.0,23105000000.0,25915000000.0,5.3,17.875,2021-08-07,0.0
SP500 Construction Materials Mean ,274.995,32.5,33.96,4.87,3.88,20.49,2.335,3.625,52.26,34.295,12.655,5.56,8.735,25.775,0.425,6.445,1360000000.0,20.585,15.545,27.24,4670000000.0,23395000000.0,26005000000.0,5.4,17.99,2021-07-31,0.0
SP500 Construction Materials Mean ,267.185,31.865,33.275,4.775,3.8,19.93,2.335,3.625,52.26,34.295,12.655,5.56,8.735,26.31,0.425,6.445,1360000000.0,20.585,15.545,27.24,4670000000.0,22925000000.0,25540000000.0,5.3,17.67,2021-07-26,0.0
SP500 Construction Materials Mean ,266.645,31.63,32.85,4.74,3.77,19.855,2.335,3.625,52.26,34.295,12.655,5.56,8.735,26.5,0.425,6.445,1360000000.0,20.585,15.545,27.24,4670000000.0,22760000000.0,25375000000.0,5.27,17.555,2021-07-17,0.0
SP500 Construction Materials Mean ,262.065,31.15,32.37,4.67,3.72,19.495,2.335,3.625,52.26,34.295,12.655,5.56,8.735,26.9,0.425,6.445,1360000000.0,20.585,15.545,27.24,4670000000.0,22420000000.0,25035000000.0,5.2,17.315,2021-07-09,0.0
SP500 Construction Materials Mean ,263.17,31.32,32.53,4.695,3.735,19.585,2.335,3.625,52.26,34.295,12.655,5.56,8.735,26.755,0.425,6.445,1360000000.0,20.585,15.545,27.24,4670000000.0,22540000000.0,25150000000.0,5.22,17.4,2021-07-03,0.0
SP500 Construction Materials Mean ,267.43,31.76,32.995,4.76,3.79,19.88,2.335,3.625,52.26,34.295,12.655,5.56,8.735,26.375,0.425,6.445,1360000000.0,20.585,15.545,27.24,4670000000.0,22865000000.0,25475000000.0,5.29,17.62,2021-06-26,0.0
SP500 Construction Materials Mean ,251.285,29.885,31.065,4.48,3.565,18.7,2.335,3.625,52.26,34.295,12.655,5.56,8.735,27.775,0.425,6.445,1360000000.0,20.585,15.545,27.24,4670000000.0,21710000000.0,24320000000.0,5.05,16.825,2021-06-19,0.0
SP500 Construction Materials Mean ,261.575,14.38,32.38,4.66,1.845,19.475,2.335,3.625,52.26,34.295,12.655,5.56,8.735,13.56,0.425,6.445,1360000000.0,20.585,15.545,27.24,4670000000.0,10915000000.0,25010000000.0,2.605,8.865,2021-06-11,0.0
SP500 Construction Materials Mean ,271.275,32.7,33.955,4.895,3.9,20.3,2.335,3.625,52.26,34.295,12.655,5.56,8.735,25.655,0.425,6.445,1360000000.0,20.585,15.545,27.24,4670000000.0,23520000000.0,26130000000.0,5.425,18.085,2021-06-05,0.0
SP500 Construction Materials Mean ,277.875,32.915,34.225,4.93,3.93,20.735,2.335,3.625,52.26,34.295,12.655,5.56,8.735,25.47,0.425,6.445,1360000000.0,20.585,15.545,27.24,4670000000.0,23680000000.0,26290000000.0,5.46,18.195,2021-05-29,0.0
SP500 Construction Materials Mean ,273.345,32.735,34.04,4.9,3.9,20.465,2.19,3.625,52.26,34.395,12.655,5.56,8.745,25.57,0.425,6.445,1360000000.0,20.585,15.545,27.24,4670000000.0,23545000000.0,26150000000.0,5.43,18.095,2021-05-22,0.0
SP500 Construction Materials Mean ,282.26,33.58,34.89,5.03,4.005,21.11,2.19,3.625,52.26,34.395,12.655,5.56,8.745,24.905,0.425,6.445,1360000000.0,20.585,15.545,27.24,4670000000.0,24160000000.0,26770000000.0,5.555,18.525,2021-05-14,0.0
SP500 Construction Materials Mean ,281.885,33.795,35.385,5.06,4.025,21.125,1.72,3.625,52.26,34.595,12.655,5.56,8.795,24.555,0.425,6.445,1360000000.0,20.585,15.545,27.24,4670000000.0,24305000000.0,26915000000.0,5.59,18.625,2021-05-08,0.0
SP500 Construction Materials Mean ,270.375,36.16,34.01,4.86,3.9,21.925,1.72,2.755,57.325,34.595,11.46,5.375,8.795,25.665,0.425,6.445,1320000000.0,19.95,14.15,27.39,4645000000.0,23245000000.0,25930000000.0,5.41,19.435,2021-05-01,0.0
