symbol,Price,Trailing P/E,Forward P/E,Price/Sales (ttm),Price/Book (mrq),Price/CashFlow,Quick Ratio,Current Ratio,Total Debt to Equity (mrq),Total Debt to Capital,Return on Equity,Return on Assets,Return on Invested Capital (ttm),Book Value/Market Value,Asset Turnover,Inventory Turnover (ttm),EBITDA,Operating Margin,Profit Margin,Gross Margin ttm,Revenue,Market Cap,Enterprise Value,Enterprise Value/Revenue,Enterprise Value/EBITDA,Date,Forward Price/Sales
SP500 Diversified Telecom Mean ,52.935,19.905,15.35,1.3225,1.785,5.6725,0.3775,0.945,187.425,49.5325,9.965,4.145,1.14,42.0425,0.47,66.535,33652500000.0,18.5675,7.085,56.6175,100637500000.0,141217500000.0,261892500000.0,2.5875,8.1725,2022-02-05,0.0
SP500 Diversified Telecom Mean ,48.305,61.45,13.865,1.2175,1.67,5.1475,0.5675,0.94,187.3975,63.615,10.1,4.1775,3.835,68.4525,0.4,57.7625,33760000000.0,18.6125,7.195,55.2025,100525000000.0,132635000000.0,254102500000.0,2.5025,7.53,2022-01-28,0.0
SP500 Diversified Telecom Mean ,49.1325,59.69,14.2475,1.2425,1.7325,5.295,0.5675,0.9875,192.645,63.615,7.86,4.4325,3.835,68.685,0.4025,57.7625,34652500000.0,19.3375,4.3675,55.135,101867500000.0,132390000000.0,252145000000.0,2.49,8.1225,2022-01-21,0.0
SP500 Diversified Telecom Mean,50.6775,59.69,14.2475,1.2425,1.7325,5.43,0.5675,0.9875,192.645,63.615,7.86,4.4325,3.835,68.685,0.4025,57.7625,34652500000,19.3375,4.3675,55.135,101867500000,132390000000,252145000000,2.49,8.1225,2022-01-14 00:00:00,0.0
SP500 Diversified Telecom Mean,51.8275,59.69,14.2475,1.2425,1.7325,5.5125,0.5675,0.9875,192.645,63.615,7.86,4.4325,3.835,68.685,0.4025,57.7625,34652500000,19.3375,4.3675,55.135,101867500000,132390000000,252145000000,2.49,8.1225,2022-01-07 00:00:00,0.0
SP500 Diversified Telecom Mean,51.57,59.69,14.2475,1.2425,1.7325,5.4625,0.5675,0.9875,192.645,63.615,7.86,4.4325,3.835,68.685,0.4025,57.7625,34652500000,19.3375,4.3675,55.135,101867500000,132390000000,252145000000,2.49,8.1225,2022-01-01 00:00:00,0.0
SP500 Diversified Telecom Mean,52.7175,59.69,14.2475,1.2425,1.7325,5.5675,0.5675,0.9875,192.645,63.615,7.86,4.4325,3.835,68.685,0.4025,57.7625,34652500000,19.3375,4.3675,55.135,101867500000,132390000000,252145000000,2.49,8.1225,2021-12-23 00:00:00,0.0
SP500 Diversified Telecom Mean,52.3425,59.69,14.2475,1.2425,1.7325,5.50317214403059,0.885372376289725,0.9875,192.645,171.5,0.0786,0.044325,8.55003947210657,66.3648053771338,0.3875,39.3725,34652500000,0.193375,0.043675,56.05,97290250000,132390000000,252145000000,2.49,8.1225,2021-12-17 00:00:00,0.0
SP500 Diversified Telecom Mean ,49.79,59.6925,14.1675,1.235,1.73,5.25,0.5675,0.9875,192.645,63.615,7.86,4.4325,3.835,68.3475,0.4025,57.7625,34652500000.0,19.3375,4.3675,55.135,101867500000.0,131975000000.0,251727500000.0,2.4875,8.11,2021-12-11,0.0
SP500 Diversified Telecom Mean ,49.79,59.6925,14.1675,1.235,1.73,5.25,0.5675,0.9875,192.645,63.615,7.86,4.4325,3.835,68.3475,0.4025,57.7625,34652500000.0,19.3375,4.3675,55.135,101867500000.0,131975000000.0,251727500000.0,2.4875,8.11,2021-12-10,0.0
SP500 Diversified Telecom Mean ,49.1075,61.65,14.435,1.265,1.7775,0.0,0.5675,0.0,0.0,63.615,0.0,0.0,3.835,66.0375,0.0,57.7625,0.0,0.0,0.0,0.0,0.0,135590000000.0,255345000000.0,2.5175,8.215,2021-12-03,0.0
SP500 Diversified Telecom Mean ,51.055,62.4875,14.6425,0.8375,1.815,5.4225,0.5675,0.9875,192.645,63.615,7.86,4.4325,3.835,64.145,0.4025,57.7625,34652500000.0,19.3375,4.3675,55.135,101867500000.0,137192500000.0,256947500000.0,2.5425,8.295,2021-11-28,0.0
SP500 Diversified Telecom Mean ,51.5525,63.49,15.2125,1.3,1.815,5.445,0.5675,0.9875,192.645,63.615,7.86,4.4325,3.835,63.7675,0.4025,57.7625,34652500000.0,19.3375,4.3675,55.135,101867500000.0,137685000000.0,257437500000.0,2.5475,8.315,2021-11-19,0.0
SP500 Diversified Telecom Mean ,52.5275,64.145,15.44,1.32,1.845,5.5575,0.5975,0.9875,192.5575,63.0125,7.86,4.4325,3.84,63.475,0.4025,57.7625,34652500000.0,19.3375,4.3675,55.135,101867500000.0,139422500000.0,259177500000.0,2.5675,8.38,2021-11-12,0.0
SP500 Diversified Telecom Mean ,53.255,65.0725,15.515,1.3325,1.8525,5.6025,0.6225,0.7775,191.53,63.145,7.5225,4.255,3.84,63.49,0.405,57.7625,33765000000.0,18.48,4.1625,54.9225,101940000000.0,141037500000.0,260792500000.0,2.575,8.4125,2021-11-05,0.0
SP500 Diversified Telecom Mean ,51.5625,62.4475,14.9075,1.295,1.815,5.6125,0.595,0.795,193.2975,63.81,7.7625,4.285,3.8225,64.3125,0.4025,57.7625,33845000000.0,18.5925,4.3425,54.9775,101852500000.0,139115000000.0,259017500000.0,2.56,8.2625,2021-10-29,0.0
SP500 Diversified Telecom Mean ,52.125,19.14,14.985,1.3,1.8275,5.6825,0.5675,0.7925,193.0125,64.1,7.7625,4.3175,3.84,63.82,0.4025,57.7625,34012500000.0,18.7175,4.3425,54.9775,101852500000.0,141205000000.0,263285000000.0,2.5825,8.34,2021-10-22,0.0
SP500 Diversified Telecom Mean ,52.255,19.315,14.945,1.2975,1.85,5.685,0.5675,0.7925,197.25,64.1,6.9375,4.2875,3.84,63.6425,0.405,57.7625,34397500000.0,18.6175,3.555,54.945,102112500000.0,140397500000.0,264065000000.0,2.5875,8.525,2021-10-15,0.0
SP500 Diversified Telecom Mean ,54.2175,20.08,15.8675,1.3725,1.95,5.9075,0.5675,0.7925,197.25,64.1,6.9375,4.2875,3.84,60.2325,0.405,57.7625,34397500000.0,18.6175,3.555,54.945,102112500000.0,147930000000.0,271595000000.0,2.6625,8.7675,2021-10-08,0.0
SP500 Diversified Telecom Mean ,55.2925,20.2725,15.985,1.3775,1.96,6.0025,0.5675,0.7925,197.25,64.1,6.9375,4.2875,3.84,59.8725,0.405,57.7625,34397500000.0,18.6175,3.555,54.945,102112500000.0,148832500000.0,272500000000.0,2.67,8.8025,2021-10-01,0.0
SP500 Diversified Telecom Mean ,56.32,20.2725,15.985,1.3775,1.96,6.1075,0.5675,0.7925,197.25,64.1,6.9375,4.2875,3.84,59.8725,0.405,57.7625,34397500000.0,18.6175,3.555,54.945,102112500000.0,148832500000.0,272500000000.0,2.67,8.8025,2021-09-25,0.0
SP500 Diversified Telecom Mean ,55.92,20.35,16.06,1.3875,1.9625,6.0775,0.5675,0.7925,197.25,64.1,6.9375,4.2875,3.84,60.065,0.405,57.7625,34397500000.0,18.6175,3.555,54.945,102112500000.0,149290000000.0,272955000000.0,2.6775,8.81,2021-09-18,0.0
SP500 Diversified Telecom Mean ,56.415,20.81,16.405,1.4025,1.99,6.1125,0.5675,0.7925,197.25,64.1,6.9375,4.2875,3.84,60.31,0.405,57.7625,34397500000.0,18.6175,3.555,54.945,102112500000.0,151145000000.0,274810000000.0,2.695,8.8625,2021-09-11,0.0
SP500 Diversified Telecom Mean ,57.8525,21.0875,16.205,1.4175,2.005,6.25,0.5675,0.7925,196.6725,64.1,6.9375,4.2875,3.84,60.3025,0.405,57.7625,34397500000.0,18.6175,3.555,54.945,102112500000.0,152132500000.0,275800000000.0,2.7075,8.9025,2021-09-03,0.0
SP500 Diversified Telecom Mean ,57.7775,21.0375,20.4675,1.4075,1.99,6.22,0.5675,0.7925,196.6725,64.1,6.9375,4.28,3.84,60.755,0.405,57.7625,34392500000.0,18.5825,3.555,54.945,102112500000.0,151032500000.0,274697500000.0,2.6975,8.8725,2021-08-27,0.0
