symbol,Price,Trailing P/E,Forward P/E,Price/Sales (ttm),Price/Book (mrq),Price/CashFlow,Quick Ratio,Current Ratio,Total Debt to Equity (mrq),Total Debt to Capital,Return on Equity,Return on Assets,Return on Invested Capital (ttm),Book Value/Market Value,Asset Turnover,Inventory Turnover (ttm),EBITDA,Operating Margin,Profit Margin,Gross Margin ttm,Revenue,Market Cap,Enterprise Value,Enterprise Value/Revenue,Enterprise Value/EBITDA,Date,Forward Price/Sales
S&P 500 Electric Equipment Mean ,190.368,30.568,23.376,4.444,7.47,22.354,0.802,1.528,80.448,40.246,26.914,8.11,13.44,16.216,0.776,4.666,2216876000.0,18.14,14.526,34.192,10868000000.0,40464000000.0,44554000000.0,4.784,20.642,2022-02-05,0.0
S&P 500 Electric Equipment Mean ,184.496,29.158,23.022,4.422,7.594,31.04,0.802,1.552,77.518,41.148,26.162,8.058,13.092,16.488,0.768,4.666,2176876000.0,18.01,14.058,33.518,10744000000.0,39840000000.0,43914000000.0,4.764,19.59,2022-01-28,0.0
S&P 500 Electric Equipment Mean ,197.838,33.132,26.582,5.056,8.842,25.784,0.802,1.358,78.91,41.148,30.986,8.1,13.092,15.058,0.762,4.666,2168876000.0,18.06,15.178,33.848,10686000000.0,43738000000.0,47812000000.0,5.386,22.162,2022-01-22,0.0
S&P 500 Electric Equipment Mean ,210.574,33.132,26.582,5.056,8.842,27.41,0.802,1.358,78.91,41.148,30.986,8.1,13.092,15.058,0.762,4.666,2168876000.0,18.06,15.178,33.848,10686000000.0,43738000000.0,47812000000.0,5.386,22.162,2022-01-15,0.0
S&P 500 Electric Equipment Mean,212.658,33.132,26.582,5.056,8.842,27.604,0.802,1.358,78.91,41.148,30.986,8.1,13.092,15.058,0.762,4.666,2168876000,18.06,15.178,33.848,10686000000,43738000000,47812000000,5.386,22.162,2022-01-08 00:00:00,0.0
S&P 500 Electric Equipment Mean,222.07,33.132,26.582,5.056,8.842,28.61,0.802,1.358,78.91,41.148,30.986,8.1,13.092,15.058,0.762,4.666,2168876000,18.06,15.178,33.848,10686000000,43738000000,47812000000,5.386,22.162,2022-01-01 00:00:00,0.0
S&P 500 Electric Equipment Mean,217.582,33.132,26.582,5.056,8.842,27.972,0.802,1.358,78.91,41.148,30.986,8.1,13.092,15.058,0.762,4.666,2168876000,18.06,15.178,33.848,10686000000,43738000000,47812000000,5.386,22.162,2021-12-23 00:00:00,0.0
S&P 500 Electric Equipment Mean,221.09,33.132,26.582,5.056,8.842,28.436,0.802,1.358,78.91,41.148,30.986,8.1,13.092,15.058,0.762,4.666,2168876000,18.06,15.178,33.848,10686000000,43738000000,47812000000,5.386,22.162,2021-12-18 00:00:00,0.0
S&P 500 Electric Equipment Mean,221.776,33.086,26.502,5.052,8.842,28.452,0.802,1.358,78.91,41.148,30.986,8.1,13.092,15.206,0.762,4.666,2168876000,18.06,15.178,33.848,10686000000,43300000000,47376000000,5.382,22.148,2021-12-11 00:00:00,0.0
S&P 500 Electric Equipment Mean ,229.2,33.596,26.72,5.114,8.968,15.08,0.802,0.728,59.026,41.148,21.088,4.164,13.092,15.246,0.426,4.666,1708000000.0,9.18,8.528,36.9333333333333,8952000000.0,43326000000.0,47402000000.0,5.456,22.52,2021-12-04,0.0
S&P 500 Electric Equipment Mean ,238.066,34.796,27.638,5.302,9.314,30.352,0.802,1.358,78.91,41.148,30.986,8.1,13.092,14.896,0.762,4.666,2168876000.0,18.06,15.178,33.848,10686000000.0,44363999999.8,48440000000.0,5.628,23.232,2021-11-28,0.0
S&P 500 Electric Equipment Mean ,235.166,35.006,27.854,5.328,9.34,30.034,0.942,1.358,77.766,41.006,30.986,8.164,12.85,14.688,0.764,4.792,2226875999.8,18.192,15.178,33.848,10686000000.0,44929999999.8,49004000000.0,5.66,23.36,2021-11-19,0.0
S&P 500 Electric Equipment Mean ,236.9,35.33,28.246,5.37,9.422,30.262,0.924,1.358,77.652,42.722,30.986,8.166,12.486,14.352,0.778,4.74,2226875999.8,18.196,15.178,33.848,10686000000.0,45012000000.0,48988000000.0,5.696,23.542,2021-11-13,0.0
S&P 500 Electric Equipment Mean ,240.692,35.454,28.752,5.394,9.458,30.686,0.79,1.566,78.276,41.788,30.986,8.166,13.1,13.918,0.83,4.724,2228875999.8,18.196,15.178,33.848,10686000000.0,45341999999.8,49318000000.0,5.716,23.62,2021-11-06,0.0
S&P 500 Electric Equipment Mean ,243.338,35.216,27.86,5.556,9.86,27.688,0.79,1.374,72.318,41.788,35.038,8.474,13.1,14.514,0.794,4.724,2156078000.0,18.636,15.97,33.762,10370000000.0,43846000000.0,48196000000.0,5.878,23.95,2021-10-30,0.0
S&P 500 Electric Equipment Mean ,235.74,34.536,27.374,5.444,9.672,26.888,0.79,1.374,72.318,41.788,35.038,8.474,13.1,14.696,0.794,4.724,2156078000.0,18.636,15.97,33.762,10370000000.0,43288000000.0,47636000000.0,5.772,23.514,2021-10-23,0.0
S&P 500 Electric Equipment Mean ,225.326,32.542,25.886,5.126,9.078,25.814,0.79,1.374,72.318,41.788,35.038,8.474,13.1,15.37,0.794,4.724,2156078000.0,18.636,15.97,33.762,10370000000.0,41268000000.0,45620000000.0,5.456,22.234,2021-10-15,0.0
S&P 500 Electric Equipment Mean ,219.84,32.446,25.952,5.114,9.044,25.22,0.79,1.374,72.318,41.788,35.038,8.474,13.1,15.356,0.794,4.724,2156078000.0,18.636,15.97,33.762,10370000000.0,41288000000.0,45638000000.0,5.442,22.166,2021-10-09,0.0
S&P 500 Electric Equipment Mean ,214.046,33.922,27.134,5.354,9.488,24.582,0.79,1.374,72.318,41.788,35.038,8.474,13.1,14.87,0.794,4.724,2156078000.0,18.636,15.97,33.762,10370000000.0,42620000000.0,46970000000.0,5.68,23.118,2021-10-02,0.0
S&P 500 Electric Equipment Mean ,228.474,33.922,27.134,5.354,9.488,26.16,0.79,1.374,71.76,41.788,35.038,8.474,13.1,14.87,0.794,4.724,2156078000.0,18.636,15.97,33.762,10370000000.0,42620000000.0,46970000000.0,5.68,23.118,2021-09-25,0.0
S&P 500 Electric Equipment Mean ,229.632,34.29,27.482,5.408,9.606,26.32,0.79,1.374,72.642,41.788,35.038,8.474,13.1,14.656,0.794,4.724,2156078000.0,18.636,15.97,33.762,10370000000.0,43378000000.0,47729999999.8,5.734,23.346,2021-09-18,0.0
S&P 500 Electric Equipment Mean ,232.728,34.832,27.958,5.488,9.734,26.656,0.79,1.374,72.642,41.788,35.038,8.474,13.1,14.504,0.794,4.724,2156078000.0,18.636,15.97,33.762,10370000000.0,43884000000.0,48231999999.8,5.812,23.688,2021-09-11,0.0
S&P 500 Electric Equipment Mean ,237.958,35.522,31.766,5.584,9.886,27.322,0.79,1.374,72.642,41.788,35.038,8.474,13.1,13.97,0.794,4.724,2156078000.0,18.636,15.97,33.762,10370000000.0,45389999999.8,49739999999.8,5.91,24.096,2021-09-04,0.0
S&P 500 Electric Equipment Mean ,231.348,35.044,31.33,5.502,9.672,26.696,0.79,1.374,72.642,41.788,35.038,8.474,13.1,14.094,0.794,4.724,2156078000.0,18.636,15.97,33.762,10370000000.0,44790000000.0,49144000000.0,5.792,23.642,2021-08-27,0.0
S&P 500 Electric Equipment Mean ,221.758,33.846,30.282,5.31,9.332,25.692,0.79,1.374,72.642,41.788,35.038,8.474,13.1,14.348,0.794,4.724,2156078000.0,18.636,15.97,33.762,10370000000.0,43892000000.0,48242000000.0,5.636,22.998,2021-08-20,0.0
S&P 500 Electric Equipment Mean ,229.594,34.96,31.324,5.492,9.668,26.536,0.782,1.374,72.642,41.788,35.038,8.474,13.1,14.092,0.794,4.724,2156078000.0,18.636,15.97,33.762,10370000000.0,44786000000.0,49139999999.8,5.82,23.724,2021-08-13,0.0
S&P 500 Electric Equipment Mean ,223.462,34.048,30.704,5.36,9.422,25.854,1.026,1.374,72.642,39.864,35.038,8.474,13.452,14.088,0.794,4.724,2156078000.0,18.636,15.97,33.762,10370000000.0,43696000000.0,48047999999.8,5.686,23.15,2021-08-07,0.0
S&P 500 Electric Equipment Mean ,224.084,37.548,30.518,5.59,9.52,25.844,1.152,1.676,69.938,41.4,33.94,8.192,14.126,5.984,0.772,4.724,1986078000.0,18.218,15.466,35.106,9863999999.8,18836000000.0,47163999999.8,5.852,24.618,2021-07-31,0.0
S&P 500 Electric Equipment Mean ,228.386,39.294,30.98,5.956,10.706,26.962,1.152,1.806,73.672,41.4,37.33,7.904,14.126,13.864,0.734,4.724,1942512000.0,18.022,15.938,36.446,9699999999.8,43280000000.0,46891999999.8,6.208,25.806,2021-07-26,0.0
S&P 500 Electric Equipment Mean ,222.96,38.88,30.682,5.89,10.586,26.374,1.152,1.806,73.672,41.4,37.33,7.904,14.126,14.068,0.734,4.724,1942512000.0,18.022,15.938,36.446,9699999999.8,42694000000.0,46373999999.8,6.15,25.534,2021-07-17,0.0
S&P 500 Electric Equipment Mean ,218.746,37.818,29.852,5.726,10.284,25.862,1.152,1.806,73.672,41.4,37.33,7.904,14.126,14.354,0.734,4.724,1942512000.0,18.022,15.938,36.446,9699999999.8,41765999999.8,45384000000.0,5.982,24.882,2021-07-09,0.0
S&P 500 Electric Equipment Mean ,215.948,37.146,29.408,5.634,10.1,25.61,1.152,1.806,73.672,41.4,37.33,7.904,14.126,14.54,0.734,4.724,1942512000.0,18.022,15.938,36.446,9699999999.8,41198000000.0,44809999999.8,5.89,24.464,2021-07-03,0.0
S&P 500 Electric Equipment Mean ,210.552,36.388,28.86,5.524,9.922,25.008,1.152,1.806,73.672,41.4,37.33,7.904,14.126,14.7,0.734,4.724,1942512000.0,18.022,15.938,36.446,9699999999.8,40696000000.0,44311999999.8,5.786,23.986,2021-06-26,0.0
S&P 500 Electric Equipment Mean ,204.112,35.368,28.044,5.35,9.52,24.354,1.152,1.806,73.672,41.4,37.33,7.904,14.126,14.936,0.734,4.724,1942512000.0,18.022,15.938,36.446,9699999999.8,39776000000.0,43393999999.6,5.616,23.314,2021-06-19,0.0
S&P 500 Electric Equipment Mean ,201.37,35.414,28.172,5.348,9.538,24.172,1.152,1.806,73.672,41.4,37.33,7.904,14.126,14.638,0.734,4.724,1942512000.0,18.022,15.938,36.446,9699999999.8,40622000000.0,44236000000.0,5.61,23.302,2021-06-11,0.0
S&P 500 Electric Equipment Mean ,194.318,34.636,27.524,5.21,9.236,23.482,1.152,1.806,73.672,41.4,37.33,7.904,14.126,14.682,0.734,4.724,1942512000.0,18.022,15.938,36.446,9699999999.8,40368000000.0,43984000000.0,5.524,22.972,2021-06-05,0.0
S&P 500 Electric Equipment Mean ,192.746,33.814,28.076,5.076,8.936,23.268,1.152,1.806,73.672,41.4,37.33,7.904,14.126,15.078,0.734,4.724,1942512000.0,18.022,15.938,36.446,9699999999.8,39172000000.0,42788000000.0,5.344,22.248,2021-05-29,0.0
S&P 500 Electric Equipment Mean ,187.266,33.286,27.556,4.976,8.762,22.662,1.172,1.806,73.672,41.348,37.33,7.904,14.2,15.104,0.734,4.724,1942512000.0,18.022,15.938,36.446,9699999999.8,38874000000.0,42490000000.0,5.242,21.892,2021-05-22,0.0
S&P 500 Electric Equipment Mean ,186.386,33.03,27.624,4.952,8.804,22.61,1.172,1.806,73.672,41.248,37.33,7.904,14.224,15.222,0.734,4.724,1942512000.0,18.022,15.938,36.446,9699999999.8,38726000000.0,42341999999.8,5.222,21.76,2021-05-14,0.0
S&P 500 Electric Equipment Mean ,192.532,34.108,29.092,5.132,9.064,23.252,1.476,1.806,73.672,40.694,37.33,7.904,14.374,14.806,0.734,4.724,1942512000.0,18.022,15.938,36.446,9699999999.8,39302000000.0,42920000000.0,5.396,22.452,2021-05-08,0.0
S&P 500 Electric Equipment Mean ,195.97,37.218,30.252,5.44,9.56,23.85,1.154,1.814,78.06,42.688,34.468,7.87,14.512,14.442,0.726,4.724,1900512000.0,17.862,15.344,36.692,9644000000.0,39474000000.0,42800000000.0,5.688,23.896,2021-05-01,0.0
S&P 500 Electric Equipment Mean ,190.632,37.02,29.542,5.308,9.896,25.092,1.154,1.81,78.088,42.688,33.12,7.41,14.512,14.762,0.704,4.724,1874836000.0,17.424,14.934,37.598,9578000000.0,38756000000.0,42085999999.8,5.576,23.918,2021-04-23,0.0
S&P 500 Electric Equipment Mean ,191.4,37.32,29.806,5.354,9.99,25.194,1.154,1.81,78.088,42.688,33.12,7.41,14.512,14.782,0.704,4.724,1874836000.0,17.424,14.934,37.598,9578000000.0,38708000000.0,42042000000.0,5.608,24.06,2021-04-17,0.0
S&P 500 Electric Equipment Mean ,190.842,36.894,29.474,5.274,9.832,25.106,1.154,1.81,78.088,42.688,33.12,7.41,14.512,14.844,0.704,4.724,1874836000.0,17.424,14.934,37.598,9578000000.0,38504000000.0,41834000000.0,5.532,23.778,2021-04-10,0.0
S&P 500 Electric Equipment Mean ,189.824,35.892,29.196,5.15,9.732,24.91,1.154,1.81,78.088,42.688,33.12,7.41,14.512,15.16,0.704,4.724,1874836000.0,17.424,14.934,37.598,9578000000.0,37960000000.0,41293999999.8,5.406,23.194,2021-04-02,0.0
S&P 500 Electric Equipment Mean ,182.748,34.902,28.32,5.008,9.442,23.938,1.154,1.81,78.088,42.688,33.12,7.41,14.512,15.738,0.704,4.724,1874836000.0,17.424,14.934,37.598,9578000000.0,36550000000.0,39886000000.0,5.264,22.6,2021-03-27,0.0
S&P 500 Electric Equipment Mean ,183.072,35.724,28.616,5.092,9.544,24.002,1.154,1.81,78.088,42.688,33.12,7.41,14.512,15.488,0.704,4.724,1874836000.0,17.424,14.934,37.598,9578000000.0,37192000000.0,40526000000.0,5.338,22.992,2021-03-20,0.0
S&P 500 Electric Equipment Mean ,154.12,30.59,27.08,4.4025,8.575,20.3275,1.04,1.6125,81.32,43.2425,34.5925,6.6925,14.22,17.3575,0.67,5.2125,2205000000.0,16.8975,15.14,37.32,11350000000.0,42252500000.0,46315000000.0,4.7075,19.8075,2021-03-13,0.0
S&P 500 Electric Equipment Mean ,147.35,29.86,26.39,4.3,8.26,19.5625,1.04,1.6125,81.32,43.2425,34.5925,6.6925,14.22,17.8275,0.67,5.2125,2205000000.0,16.8975,15.14,37.32,11350000000.0,40852500000.0,44915000000.0,4.5575,19.195,2021-03-05,0.0
S&P 500 Electric Equipment Mean ,145.55,29.46,26.05,4.24,8.155,19.3225,2.8725,1.6125,0.0,40.565,34.5925,6.6925,-87.8325,17.9475,0.57,5.975,2205000000.0,16.8975,15.14,37.32,11350000000.0,40675000000.0,44740000000.0,4.545,21.505,2021-02-26,0.0
