symbol,Price,Trailing P/E,Forward P/E,Price/Sales (ttm),Price/Book (mrq),Price/CashFlow,Quick Ratio,Current Ratio,Total Debt to Equity (mrq),Total Debt to Capital,Return on Equity,Return on Assets,Return on Invested Capital (ttm),Book Value/Market Value,Asset Turnover,Inventory Turnover (ttm),EBITDA,Operating Margin,Profit Margin,Gross Margin ttm,Revenue,Market Cap,Enterprise Value,Enterprise Value/Revenue,Enterprise Value/EBITDA,Date,Forward Price/Sales
SP500 Energy Equip & Svc Mean ,28.41,12.095,32.3125,1.64,2.63,12.8775,1.3175,1.9575,84.3725,42.2925,6.675,2.3025,-1.8775,48.835,0.5675,4.595,2428500000.0,5.815,1.555,14.29,16022500000.0,28370000000.0,33827500000.0,1.975,-3.6975,2022-02-05,0.0
SP500 Energy Equip & Svc Mean ,28.3975,12.085,31.5375,1.6275,2.615,12.72,1.3175,1.9575,84.3725,42.97,6.675,2.3025,-10.46,49.1775,0.555,4.395,2428500000.0,5.815,1.555,14.29,16022500000.0,28080000000.0,33535000000.0,1.945,-2.92,2022-01-28,0.0
SP500 Energy Equip & Svc Mean ,26.995,29.855,26.6875,1.3525,2.4125,12.9825,1.3225,1.99,95.2525,45.6875,2.1,1.9825,-37.9375,53.7425,0.4925,4.3325,2391000000.0,5.2375,-0.32,11.7125,15590000000.0,23090000000.0,29012500000.0,1.7275,-2.185,2022-01-21,0.0
SP500 Energy Equip & Svc Mean ,26.645,29.855,26.6875,1.3525,2.4125,13.335,1.3225,1.9775,95.135,45.6875,2.9875,2.0675,-37.9375,53.7425,0.4925,4.3325,2448500000.0,5.4725,0.1175,10.975,15582500000.0,23090000000.0,29012500000.0,1.7275,-2.185,2022-01-14,0.0
SP500 Energy Equip & Svc Mean ,25.095,29.855,26.6875,1.3525,2.4125,12.4975,1.3225,1.9775,95.135,45.6875,2.9875,2.0675,-37.9375,53.7425,0.4925,4.3325,2448500000.0,5.4725,0.1175,10.975,15582500000.0,23090000000.0,29012500000.0,1.7275,-2.185,2022-01-08,0.0
SP500 Energy Equip & Svc Mean,22.43,29.855,26.6875,1.3525,2.4125,11.2125,1.3225,1.9775,95.135,45.6875,2.9875,2.0675,-37.9375,53.7425,0.4925,4.3325,2448500000,5.4725,0.1175,10.975,15582500000,23090000000,29012500000,1.7275,-2.185,2022-01-01 00:00:00,0.0
SP500 Energy Equip & Svc Mean,22.4325,29.855,26.6875,1.3525,2.4125,11.175,1.3225,1.9775,95.135,45.6875,2.9875,2.0675,-37.9375,53.7425,0.4925,4.3325,2448500000,5.4725,0.1175,10.975,15582500000,23090000000,29012500000,1.7275,-2.185,2021-12-18 00:00:00,0.0
SP500 Energy Equip & Svc Mean,23.125,29.375,24.645,1.3025,2.3375,11.515,1.3225,1.9775,95.135,45.6875,2.9875,2.0675,-37.9375,57.94,0.4925,4.3325,2448500000,5.4725,0.1175,10.975,15582500000,22430000000,28352500000,1.6725,-1.025,2021-12-10 00:00:00,0.0
SP500 Energy Equip & Svc Mean,21.8825,27.735,24.61,1.25,2.2325,0,1.3225,0,0,45.6875,0,0,-37.9375,58.9325,0,4.3325,0,0,0,0.0,0,21097500000,27022500000,1.605,-1.9625,2021-12-03 00:00:00,0.0
SP500 Energy Equip & Svc Mean,22.905,27.7475,25.21,1.2875,2.285,11.33,1.3225,1.9775,95.135,45.6875,2.9875,2.0675,-37.9375,57.3325,0.4925,4.3325,2448500000,5.4725,0.1175,10.975,15582500000,22137500000,28060000000,1.66,-2.07,2021-11-28 00:00:00,0.0
