symbol,Price,Trailing P/E,Forward P/E,Price/Sales (ttm),Price/Book (mrq),Price/CashFlow,Quick Ratio,Current Ratio,Total Debt to Equity (mrq),Total Debt to Capital,Return on Equity,Return on Assets,Return on Invested Capital (ttm),Book Value/Market Value,Asset Turnover,Inventory Turnover (ttm),EBITDA,Operating Margin,Profit Margin,Gross Margin ttm,Revenue,Market Cap,Enterprise Value,Enterprise Value/Revenue,Enterprise Value/EBITDA,Date,Forward Price/Sales
SP500 Entertainment Mean ,160.240909090909,31.88,28.06,3.80727272727273,6.50363636363636,57.7809090909091,1.51818181818182,1.70181818181818,406.482727272727,48.5609090909091,-7.04818181818182,4.70272727272727,4.88727272727273,42.5072727272727,0.459090909090909,37.7436363636364,5202196363.63636,15.9381818181818,9.86818181818182,45.3345454545454,21887272727.2727,69172727272.7273,86005454545.4545,4.18636363636364,-2.27818181818182,2022-02-05,0.0
SP500 Entertainment Mean ,151.241818181818,29.1963636363636,26.6145454545454,3.62636363636364,6.12545454545455,55.6863636363636,1.49909090909091,1.71272727272727,397.490909090909,47.9690909090909,-7.28909090909091,4.75,4.69454545454546,46.5145454545454,0.456363636363636,37.7436363636364,5157650909.09091,15.9981818181818,10.0345454545455,45.1127272727273,21823636363.6364,63957272727.1818,80610909090.9091,4.00090909090909,-2.71181818181818,2022-01-28,0.0
SP500 Entertainment Mean ,167.89,27.9090909090909,25.8345454545455,3.26090909090909,5.98727272727273,48.2345454545455,1.53727272727273,1.73272727272727,397.94,48.51,-7.16454545454545,4.82090909090909,4.69454545454546,42.4509090909091,0.462727272727273,37.7436363636364,5184014545.45455,16.1709090909091,10.0718181818182,44.4127272727273,21726363636.3636,61810909090.8182,70880000000.0,3.54727272727273,-5.02545454545455,2022-01-21,0.0
SP500 Entertainment Mean,171.605454545455,32.4509090909091,28.9736363636364,3.95090909090909,6.82545454545455,48.6127272727273,1.53727272727273,1.73272727272727,397.94,48.51,-7.16454545454545,4.82090909090909,4.69454545454546,47.1454545454545,0.462727272727273,37.7436363636364,5184014545.45455,16.1709090909091,10.0718181818182,44.4127272727273,21726363636.3636,76719999999.9091,93250000000,4.30909090909091,-3.04,2022-01-14 00:00:00,0.0
SP500 Entertainment Mean,176.010909090909,32.4509090909091,28.9736363636364,3.95090909090909,6.82545454545455,50.8036363636364,1.53727272727273,1.73272727272727,397.94,48.51,-7.16454545454545,4.82090909090909,4.69454545454546,47.1454545454545,0.462727272727273,37.7436363636364,5184014545.45455,16.1709090909091,10.0718181818182,44.4127272727273,21726363636.3636,76719999999.9091,93250000000,4.30909090909091,-3.04,2022-01-07 00:00:00,0.0
SP500 Entertainment Mean,185.440909090909,32.4509090909091,28.9736363636364,3.95090909090909,6.82545454545455,54.7909090909091,1.53727272727273,1.73272727272727,397.94,48.51,-7.16454545454545,4.82090909090909,4.69454545454546,47.1454545454545,0.462727272727273,37.7436363636364,5184014545.45455,16.1709090909091,10.0718181818182,44.4127272727273,21726363636.3636,76719999999.9091,93250000000,4.30909090909091,-3.04,2022-01-01 00:00:00,0.0
SP500 Entertainment Mean,182.174545454545,32.4509090909091,28.9736363636364,3.95090909090909,6.82545454545455,54.4272727272727,1.53727272727273,1.73272727272727,397.94,48.51,-7.16454545454545,4.82090909090909,4.69454545454546,47.1454545454545,0.462727272727273,37.7436363636364,5184014545.45455,16.1709090909091,10.0718181818182,44.4127272727273,21726363636.3636,76719999999.9091,93250000000,4.30909090909091,-3.04,2021-12-23 00:00:00,0.0
SP500 Entertainment Mean,176.768181818182,32.4509090909091,28.9736363636364,3.95090909090909,6.82545454545455,52.3816614620228,1.64495581557009,1.73272727272727,397.94,93,-0.0716454545454545,0.0482090909090909,7.84900902342849,43.2422647030532,0.409090909090909,19.4836363636364,5184014545.45455,0.161709090909091,0.100718181818182,49.8918181818182,20143676454.5455,76720000000,93250000000,4.30909090909091,-3.04,2021-12-17 00:00:00,0.0
SP500 Entertainment Mean ,176.962727272727,32.7418181818182,29.0072727272727,3.95818181818182,6.88272727272727,53.7181818181818,1.53727272727273,1.73272727272727,397.94,48.3754545454546,-7.16454545454545,4.82090909090909,4.69909090909091,46.3109090909091,0.462727272727273,37.7436363636364,5184014545.45455,16.1709090909091,10.0718181818182,44.4127272727273,21726363636.3636,77718181818.0909,94245454545.3636,4.31363636363636,-2.83909090909091,2021-12-11,0.0
SP500 Entertainment Mean ,176.962727272727,32.7418181818182,29.0072727272727,3.95818181818182,6.88272727272727,53.7181818181818,1.53727272727273,1.73272727272727,397.94,48.3754545454546,-7.16454545454545,4.82090909090909,4.69909090909091,46.3109090909091,0.462727272727273,37.7436363636364,5184014545.45455,16.1709090909091,10.0718181818182,44.4127272727273,21726363636.3636,77718181818.0909,94245454545.3636,4.31363636363636,-2.83909090909091,2021-12-10,0.0
