symbol,Price,Trailing P/E,Forward P/E,Price/Sales (ttm),Price/Book (mrq),Price/CashFlow,Quick Ratio,Current Ratio,Total Debt to Equity (mrq),Total Debt to Capital,Return on Equity,Return on Assets,Return on Invested Capital (ttm),Book Value/Market Value,Asset Turnover,Inventory Turnover (ttm),EBITDA,Operating Margin,Profit Margin,Gross Margin ttm,Revenue,Market Cap,Enterprise Value,Enterprise Value/Revenue,Enterprise Value/EBITDA,Date,Forward Price/Sales
SP500 Food Products Mean ,80.0869230769231,22.9,17.8046153846154,2.17615384615385,5.96538461538462,14.8253846153846,0.636923076923077,1.99538461538462,152.263076923077,48.6215384615385,23.2592307692308,6.33076923076923,9.31461538461538,36.3492307692308,0.917692307692308,6.89538461538462,3111115384.61539,14.9853846153846,9.73769230769231,29.9669230769231,21399230769.1539,32885384615.3077,32926153846.0769,2.73461538461539,15.2369230769231,2022-02-04,0.0
SP500 Food Products Mean ,78.6523076923077,22.26,19.7338461538462,2.17769230769231,5.90538461538462,15.7161538461538,0.59,2.03692307692308,152.24,49.1823076923077,23.4830769230769,6.32,8.97,36.8015384615385,0.796153846153846,6.28230769230769,3093423076.92308,14.8861538461538,9.71923076923077,29.66,21388461538.3846,32113076923.0769,40309230769.2308,2.68615384615385,14.9784615384615,2022-01-28,0.0
SP500 Food Products Mean ,79.15,21.0861538461538,18.4461538461538,2.08923076923077,5.70461538461538,16.0361538461539,0.59,1.23538461538462,152.96,49.1823076923077,23.5515384615385,6.28923076923077,8.97,34.0723076923077,0.786923076923077,6.28230769230769,3080346153.84615,14.9469230769231,9.81153846153846,29.2138461538461,20954615384.5385,28331538461.5385,36045384615.3846,2.57307692307692,14.1992307692308,2022-01-21,0.0
SP500 Food Products Mean ,79.9176923076923,19.4269230769231,18.23,2.05461538461538,5.17153846153846,16.1984615384615,0.601538461538461,1.23538461538462,152.96,49.5438461538462,23.5515384615385,6.28923076923077,8.94076923076923,34.5430769230769,0.805384615384616,6.25384615384615,3080346153.84615,14.9469230769231,9.81153846153846,29.2138461538461,20954615384.5385,27956923076.9231,35696153846.1538,2.53846153846154,13.7715384615385,2022-01-14,0.0
SP500 Food Products Mean ,79.1030769230769,20.2030769230769,19.1223076923077,2.10461538461538,5.30461538461538,15.9623076923077,0.601538461538461,1.23769230769231,152.643076923077,49.5438461538462,23.6692307692308,6.31307692307692,8.94076923076923,38.9861538461538,0.805384615384616,6.25384615384615,3090361538.46154,15.0315384615385,9.88692307692308,29.2253846153846,20949999999.9231,30316923076.9231,38582307692.3077,2.6,14.2792307692308,2022-01-07,0.0
SP500 Food Products Mean ,76.6438461538462,20.2030769230769,19.1223076923077,2.10461538461538,5.30461538461538,15.4423076923077,0.601538461538461,1.25230769230769,144.911538461538,49.5438461538462,25.0484615384615,6.34923076923077,8.94076923076923,38.9861538461538,0.803076923076923,6.25384615384615,3095315384.61539,15.1369230769231,10.0292307692308,29.2730769230769,20941538461.4615,30316923076.9231,38582307692.3077,2.6,14.2792307692308,2022-01-01,0.0
SP500 Food Products Mean,75.1884615384615,20.2030769230769,19.1223076923077,2.10461538461538,5.30461538461538,15.1376923076923,0.601538461538461,1.25230769230769,144.911538461538,49.5438461538462,25.0484615384615,6.34923076923077,8.94076923076923,38.9861538461538,0.803076923076923,6.25384615384615,3095315384.61539,15.1369230769231,10.0292307692308,29.2730769230769,20941538461.4615,30316923076.9231,38582307692.3077,2.6,14.2792307692308,2021-12-23 00:00:00,0.0
SP500 Food Products Mean,76.8761538461539,20.2030769230769,19.1223076923077,2.10461538461538,5.30461538461538,15.5461538461538,0.601538461538461,1.24692307692308,144.934615384615,49.5438461538462,25.1069230769231,6.37461538461538,8.94076923076923,38.9861538461538,0.802307692307692,6.25384615384615,3104546153.84615,15.2038461538462,10.0830769230769,29.3184615384615,20917692307.6154,30316923076.9231,38582307692.3077,2.6,14.2792307692308,2021-12-17 00:00:00,0.0
SP500 Food Products Mean,72.7569230769231,19.6815384615385,18.6669230769231,2.05384615384615,5.19692307692308,15.4730769230769,0.589230769230769,1.25230769230769,144.851538461538,49.4130769230769,25.0784615384615,6.38923076923077,8.96769230769231,39.6053846153846,0.793076923076923,6.25384615384615,3103776923.07692,15.2807692307692,10.1092307692308,29.4138461538462,20837692307.6154,29760769230.7692,38045384615.3846,2.57076923076923,14.0838461538461,2021-12-10 00:00:00,0.0
SP500 Food Products Mean,70.6738461538462,19.1276923076923,18.1161538461538,2.00230769230769,4.97307692307692,0,0.589230769230769,0,0,49.4130769230769,0,0,8.96769230769231,40.3169230769231,0,6.25384615384615,0,0,0,0.0,0,28988461538.4615,37272307692.2308,2.51076923076923,13.7307692307692,2021-12-03 00:00:00,0.0
