symbol,Price,Trailing P/E,Forward P/E,Price/Sales (ttm),Price/Book (mrq),Price/CashFlow,Quick Ratio,Current Ratio,Total Debt to Equity (mrq),Total Debt to Capital,Return on Equity,Return on Assets,Return on Invested Capital (ttm),Book Value/Market Value,Asset Turnover,Inventory Turnover (ttm),EBITDA,Operating Margin,Profit Margin,Gross Margin ttm,Revenue,Market Cap,Enterprise Value,Enterprise Value/Revenue,Enterprise Value/EBITDA,Date,Forward Price/Sales
SP500 Food&Staples Mean ,167.32,38.866,21.696,0.628,9.332,17.734,0.458,0.994,230.362,56.872,23.42,5.234,11.004,24.432,2.548,12.562,12696000000.0,3.402,2.134,19.534,220314000000.0,147976000000.0,167844000000.0,0.744,15.968,2022-02-04,0.0
SP500 Food&Staples Mean ,158.084,37.416,20.83,0.602,8.974,17.054,0.458,0.994,230.362,56.872,23.42,5.234,11.004,25.0,2.548,12.562,12696000000.0,3.402,2.134,19.534,220314000000.0,141208000000.0,161076000000.0,0.718,15.358,2022-01-28,0.0
SP500 Food&Staples Mean ,160.504,39.024,22.352,0.648,9.322,17.434,0.458,0.994,230.362,56.872,23.42,5.234,11.004,23.806,2.548,12.562,12696000000.0,3.402,2.134,19.534,220314000000.0,151043999999.8,171174000000.0,0.756,17.56,2022-01-21,0.0
SP500 Food&Staples Mean ,169.288,41.768,22.242,0.644,9.336,18.144,0.438,0.994,230.362,58.064,23.42,5.234,11.02,23.232,2.548,12.562,12696000000.0,3.402,2.134,19.534,220314000000.0,150309999999.8,170066000000.0,0.752,18.906,2022-01-14,0.0
SP500 Food&Staples Mean ,174.51,41.768,22.242,0.644,9.336,18.202,0.438,0.972,235.378,58.064,20.806,5.248,11.02,23.232,2.542,12.562,12636000000.0,3.374,1.566,19.61,219821999999.8,150309999999.8,170066000000.0,0.752,18.906,2022-01-07,0.0
SP500 Food&Staples Mean ,176.442,41.768,22.242,0.644,9.336,18.102,0.438,0.972,235.378,58.064,20.806,5.248,11.02,23.232,2.542,12.562,12636000000.0,3.374,1.566,19.61,219821999999.8,150309999999.8,170066000000.0,0.752,18.906,2022-01-01,0.0
SP500 Food&Staples Mean,171.734,41.768,22.242,0.644,9.336,12.462,0.438,0.972,235.378,58.064,20.806,5.224,11.02,23.232,2.542,12.562,12616000000,3.364,1.566,19.61,219821999999.8,150309999999.8,170066000000,0.752,18.906,2021-12-23 00:00:00,0.0
SP500 Food&Staples Mean,173.03,41.768,22.242,0.644,9.336,9.156,0.438,1.026,283.17,58.064,8.98,4.642,11.02,23.232,2.434,12.562,12394000000,3.048,1.21,20.762,217431999999.8,150309999999.8,170066000000,0.752,18.906,2021-12-17 00:00:00,0.0
SP500 Food&Staples Mean,165.91,39.996,21.62,0.626,9.132,17.448,0.442,0.97,237.35,58.31,20.218,5.292,10.998,23.648,2.516,12.562,12554000000,3.364,1.57,19.702,218391999999.8,145701999999.8,165586000000,0.74,17.3,2021-12-10 00:00:00,0.0
SP500 Food&Staples Mean,164.086,39.398,21.526,0.618,8.87,0,0.442,0,0,58.31,0,0,10.998,24.542,0,12.562,0,0,0,0.0,0,148240000000,168126000000,0.738,18.478,2021-12-03 00:00:00,0.0
SP500 Food&Staples Mean,172.352,41.174,22.258,0.644,9.45,18.29,0.442,0.968,239.338,58.31,20.58,5.388,10.998,23.572,2.508,12.562,12702000000,3.438,1.594,19.776,217963999999.8,151934000000,171822000000,0.76,19.066,2021-11-28 00:00:00,0.0
SP500 Food&Staples Mean,167.336,38.234,21.674,0.628,9.272,17.89,0.482,0.97,240.762,58.832,21.182,5.43,10.986,23.84,2.504,12.562,12644000000,3.436,1.67,19.826,216799999999.8,147746000000,166944000000,0.746,18.632,2021-11-19 00:00:00,0.0
SP500 Food&Stap,165.954,42.378,21.776,0.646,9.734,18.144,0.482,0.97,240.762,58.832,21.182,5.43,10.986,23.198,2.504,12.562,12644000000,3.436,1.67,19.826,216799999999.8,150206000000,169194000000,0.762,18.604,2021-11-12,0.0
SP500 Food&Staples Mean ,167.508,41.8,21.388,0.636,9.588,15.104,0.482,0.988,249.998,58.832,19.71,5.32,10.986,23.436,2.462,12.562,12598000000.0,3.406,1.63,20.132,215863999999.8,149168000000.0,168160000000.0,0.754,17.07,2021-11-05,0.0
SP500 Food&Staples Mean ,160.482,41.904,21.252,0.634,9.65,14.548,0.482,0.988,249.998,58.832,19.71,5.32,10.986,23.56,2.462,12.562,12598000000.0,3.406,1.63,20.132,215863999999.8,147850000000.0,166836000000.0,0.752,17.018,2021-10-29,0.0
SP500 Food&Staples Mean ,158.422,41.536,20.786,0.622,9.698,14.596,0.482,0.988,249.998,58.832,19.71,5.32,10.986,24.21,2.462,12.562,12598000000.0,3.406,1.63,20.132,215863999999.8,141748000000.0,160736000000.0,0.738,16.758,2021-10-22,0.0
