symbol,Price,Trailing P/E,Forward P/E,Price/Sales (ttm),Price/Book (mrq),Price/CashFlow,Quick Ratio,Current Ratio,Total Debt to Equity (mrq),Total Debt to Capital,Return on Equity,Return on Assets,Return on Invested Capital (ttm),Book Value/Market Value,Asset Turnover,Inventory Turnover (ttm),EBITDA,Operating Margin,Profit Margin,Gross Margin ttm,Revenue,Market Cap,Enterprise Value,Enterprise Value/Revenue,Enterprise Value/EBITDA,Date,Forward Price/Sales
S&P 500 Freight & Logistics Mean ,169.16,14.955,15.1175,1.155,6.9625,42.3675,1.4275,1.57,112.5025,44.625,44.245,10.4825,6.5125,19.59,2.7,56.175,6345000000.0,8.14,5.975,13.4925,55425000000.0,73985000000.0,85370000000.0,1.265,10.35,2022-02-05,0.0
S&P 500 Freight & Logistics Mean ,162.5825,18.8525,15.64,1.14,7.3375,29.615,1.4275,1.55,119.4675,44.625,43.39,10.385,6.5125,19.5625,2.6025,56.175,6320000000.0,8.155,5.9625,13.1325,54937500000.0,67442500000.0,78822500000.0,1.2425,12.1925,2022-01-28,0.0
S&P 500 Freight & Logistics Mean ,168.78,19.8475,16.5825,1.21,7.6825,30.5625,1.4275,1.55,119.4675,44.625,43.39,10.385,6.5125,18.5325,2.6025,56.175,6320000000.0,8.155,5.9625,13.1325,54937500000.0,69515000000.0,80890000000.0,1.3125,12.845,2022-01-22,0.0
S&P 500 Freight & Logistics Mean ,175.1175,19.9025,16.7875,1.2275,7.8125,31.7475,1.43,1.55,119.4675,45.095,43.39,10.385,6.4775,18.385,2.6025,56.175,6320000000.0,8.155,5.9625,13.1325,54937500000.0,70742500000.0,81990000000.0,1.3325,12.985,2022-01-15,0.0
S&P 500 Freight & Logistics Mean ,180.1825,19.9025,16.7875,1.2275,7.8125,32.6925,1.43,1.55,119.4675,45.095,43.39,10.385,6.4775,18.385,2.6025,56.175,6320000000,8.155,5.9625,13.1325,54937500000,70742500000,81990000000,1.3325,12.985,2022-01-08,0.0
S&P 500 Freight & Logistics Mean ,178.2375,19.9025,16.7875,1.2275,7.8125,32.13,1.43,1.55,119.4675,45.095,43.39,10.385,6.4775,18.385,2.6025,56.175,6320000000,8.155,5.9625,13.1325,54937500000,70742500000,81990000000,1.3325,12.985,2022-01-01,0.0
S&P 500 Freight & Logistics Mean ,172.1925,19.9025,16.7875,1.2275,7.8125,30.695,1.43,1.55,119.4675,45.095,43.39,10.385,6.4775,18.385,2.6025,56.175,6320000000.0,8.155,5.9625,13.1325,54937500000.0,70742500000.0,81990000000.0,1.3325,12.985,2021-12-23,0.0
S&P 500 Freight & Logistics Mean ,171.625,19.9025,16.7875,1.2275,7.8125,31.555,1.43,1.55,119.4675,45.095,43.39,10.385,6.4775,18.385,2.6025,56.175,6320000000.0,8.155,5.9625,13.1325,54937500000.0,70742500000.0,81990000000.0,1.3325,12.985,2021-12-18,0.0
S&P 500 Freight & Logistics Mean ,169.985,19.38,16.3275,1.1925,7.6075,30.3525,1.43,1.555,119.8875,45.095,43.8675,10.4425,6.4775,18.755,2.5925,56.175,6310000000.0,8.235,6.06,13.355,54210000000.0,69377499999.75,80622500000.0,1.3025,12.6575,2021-12-11,0.0
S&P 500 Freight & Logistics Mean ,163.005,18.76,16.4125,1.16,7.365,2.815,1.43,0.37,53.095,45.095,18.2575,1.9425,6.4775,19.7925,0.3925,56.175,2717500000.0,2.1075,1.7075,12.17,23602500000.0,65742500000.0,76990000000.0,1.245,12.105,2021-12-04,0.0
S&P 500 Freight & Logistics Mean ,169.3075,14.5525,11.4825,0.82,5.9825,28.5525,1.43,1.5775,127.8425,45.095,44.5625,10.115,6.4775,14.87,2.41,56.175,6065000000.0,7.9825,5.8725,13.9725,52957500000.0,64102499999.75,75690000000.0,0.9575,9.4575,2021-11-28,0.0
S&P 500 Freight & Logistics Mean ,168.1475,19.2875,16.8575,1.1975,7.5775,29.1,1.43,1.555,119.8875,45.095,43.8675,10.4425,6.4775,18.845,2.5925,56.175,6310000000.0,8.235,6.06,13.355,54210000000.0,70059999999.75,81305000000.0,1.305,12.575,2021-11-19,0.0
S&P 500 Freight & Logistics Mean ,170.9275,19.385,16.8675,1.2025,7.6425,28.9975,1.425,1.555,119.8875,45.095,43.8675,10.4425,6.4775,18.86,2.5925,56.175,6310000000.0,8.235,6.06,13.355,54210000000.0,71227499999.75,82475000000.0,1.3125,12.61,2021-11-13,0.0
S&P 500 Freight & Logistics Mean ,170.6275,19.3325,16.91,1.2125,7.6025,29.7375,1.465,1.555,119.865,45.3425,43.8675,10.45,6.4775,18.645,2.5925,56.175,6320000000.0,8.245,6.06,13.355,54210000000.0,69822499999.75,81067500000.0,1.31,12.5425,2021-11-06,0.0
S&P 500 Freight & Logistics Mean ,167.5775,20.2,17.5675,1.26,7.93,30.0125,1.4625,1.59,120.185,46.115,43.5375,10.4225,6.605,18.645,2.48,56.175,6262500000.0,8.1925,6.0375,13.68,53717500000.0,71400000000.0,82680000000.0,1.365,13.245,2021-10-30,0.0
S&P 500 Freight & Logistics Mean ,162.815,20.105,16.665,1.2025,7.8,49.58,1.4625,1.5875,123.565,46.115,44.3325,10.1275,6.605,19.2925,2.3675,56.175,6073110000.0,8.025,5.925,13.8925,52722500000.0,65487500000.0,76987500000.0,1.3175,13.14,2021-10-23,0.0
S&P 500 Freight & Logistics Mean ,157.745,19.285,16.04,1.155,7.445,47.45,1.4625,1.5875,123.565,46.115,44.3325,10.1275,6.605,19.93,2.3675,56.175,6073110000.0,8.025,5.925,13.8925,52722500000.0,62202500000.0,73700000000.0,1.27,12.67,2021-10-15,0.0
S&P 500 Freight & Logistics Mean ,152.415,19.0325,15.8325,1.145,7.3375,45.4725,1.4625,1.5875,123.565,46.115,44.3325,10.1275,6.605,20.0,2.3675,56.175,6073110000.0,8.025,5.925,13.8925,52722500000.0,61805000000.0,73302500000.0,1.2575,12.505,2021-10-09,0.0
S&P 500 Freight & Logistics Mean ,151.88,20.03,16.635,1.225,7.74,44.67,1.4625,1.5875,123.565,46.115,44.3325,10.1275,6.605,18.42,2.3675,56.175,6073110000.0,8.025,5.925,13.8925,52722500000.0,66480000000.0,77952500000.0,1.3425,13.0925,2021-10-02,0.0
S&P 500 Freight & Logistics Mean ,157.2875,20.03,16.635,1.225,7.74,45.7175,1.465,1.5875,123.565,46.1725,44.3325,10.1275,6.6075,18.365,2.3675,56.175,6073110000.0,8.025,5.925,13.8925,52722500000.0,66480000000.0,77952500000.0,1.3425,13.0925,2021-09-25,0.0
S&P 500 Freight & Logistics Mean ,167.085,20.23,16.8225,1.23,7.8075,46.7125,1.465,1.5875,123.945,46.1725,44.67,10.1825,6.6075,18.19,2.3575,56.175,6090610000.0,8.13,6.0125,14.11,52052500000.0,66605000000.0,78080000000.0,1.3475,13.225,2021-09-18,0.0
S&P 500 Freight & Logistics Mean ,164.74,20.1575,13.64,1.2325,7.7575,45.3175,1.465,1.5875,123.945,46.1725,44.67,10.1825,6.6075,17.99,2.3575,56.175,6090610000.0,8.13,6.0125,14.11,52052500000.0,66997500000.0,78465000000.0,1.3475,13.1525,2021-09-11,0.0
S&P 500 Freight & Logistics Mean ,170.0175,20.6775,17.1225,1.2625,8.005,46.865,1.465,1.5875,123.945,46.1725,44.67,10.1825,6.6075,17.76,2.3575,56.175,6090610000.0,8.13,6.0125,14.11,52052500000.0,69092500000.0,80567500000.0,1.375,13.455,2021-09-04,0.0
S&P 500 Freight & Logistics Mean ,168.1675,20.51,17.15,1.25,7.9,46.4175,1.465,1.5875,123.945,46.1725,44.67,10.1825,6.6075,17.725,2.3575,56.175,6090610000.0,8.13,6.0125,14.11,52052500000.0,68170000000.0,79642500000.0,1.3625,13.3175,2021-08-27,0.0
S&P 500 Freight & Logistics Mean ,167.625,20.48,17.1125,1.245,7.9025,45.535,1.465,1.5875,123.945,46.1725,44.67,10.1825,6.6075,17.7775,2.3575,56.175,6090610000.0,8.13,6.0125,14.11,52052500000.0,68237500000.0,79712500000.0,1.36,13.335,2021-08-20,0.0
S&P 500 Freight & Logistics Mean ,170.8125,20.53,17.165,1.25,7.8975,46.94,1.46,1.5875,123.945,46.1725,44.67,10.1825,6.6075,17.5,2.3575,56.175,6090610000.0,8.13,6.0125,14.11,52052500000.0,68532500000.0,80007500000.0,1.365,13.36,2021-08-13,0.0
S&P 500 Freight & Logistics Mean ,170.03,20.4775,17.17,1.255,7.8525,46.3875,1.485,1.5875,123.92,46.34,44.67,10.19,6.6075,17.2825,2.3575,56.175,6100610000.0,8.14,6.0125,14.11,52052500000.0,68080000000.0,79555000000.0,1.3725,13.3225,2021-08-07,0.0
S&P 500 Freight & Logistics Mean ,172.4825,21.5925,17.7775,1.3075,8.08,45.305,1.44,1.5975,124.135,48.405,43.9575,10.0,7.115,16.425,2.295,56.175,6058537500.0,8.035,5.9125,14.3375,51777500000.0,68967500000.0,80410000000.0,1.4225,13.975,2021-07-31,0.0
S&P 500 Freight & Logistics Mean ,182.9875,24.5075,18.79,1.4125,10.835,19.585,1.4525,1.5825,157.585,48.6225,48.3325,9.6425,7.115,15.62,2.185,56.175,5771062500.0,7.8425,5.7375,14.61,50560000000.0,74507500000.0,86560000000.0,1.54,15.4575,2021-07-26,0.0
S&P 500 Freight & Logistics Mean ,182.5775,24.4775,18.78,1.4125,10.8,19.5275,1.4525,1.5825,157.585,48.6225,48.3325,9.6425,7.115,15.6175,2.185,56.175,5771062500.0,7.8425,5.7375,14.61,50560000000.0,74225000000.0,86272500000.0,1.5325,15.7925,2021-07-17,0.0
S&P 500 Freight & Logistics Mean ,180.9875,24.2225,18.53,1.4,10.7375,19.28,1.4525,1.5825,157.585,48.6225,48.3325,9.6425,7.115,15.8825,2.185,56.175,5771062500.0,7.8425,5.7375,14.61,50560000000.0,73932500000.0,85985000000.0,1.5175,15.625,2021-07-09,0.0
S&P 500 Freight & Logistics Mean ,182.7075,24.2575,18.605,1.4025,10.69,19.525,1.4875,1.5825,157.585,49.44,48.3325,9.6425,7.13,15.015,2.185,56.175,5771062500.0,7.8425,5.7375,14.61,50560000000.0,73527500000.0,85575000000.0,1.515,15.6625,2021-07-03,0.0
S&P 500 Freight & Logistics Mean ,182.11,20.2725,15.0125,1.1525,9.7925,19.59,1.4875,1.605,163.73,49.44,45.8825,9.0425,6.3025,8.12,2.225,52.5275,4981062500.0,7.01,5.1425,12.89,49257500000.0,53272500000.0,57975000000.0,1.1825,12.7975,2021-06-26,0.0
S&P 500 Freight & Logistics Mean ,175.7525,26.4675,18.6225,1.375,10.48,19.2875,1.4875,1.605,163.73,49.44,45.8825,9.0425,6.3025,15.22,2.225,52.5275,4981062500.0,7.01,5.1425,12.89,49257500000.0,71492500000.0,83625000000.0,1.505,15.92,2021-06-19,0.0
S&P 500 Freight & Logistics Mean ,180.1625,26.9225,19.14,1.4,10.675,19.915,1.4875,1.605,163.73,49.44,45.8825,9.0425,6.3025,15.0175,2.225,52.5275,4981062500.0,7.01,5.1425,12.89,49257500000.0,72237500000.0,84370000000.0,1.5275,16.22,2021-06-11,0.0
S&P 500 Freight & Logistics Mean ,184.615,27.51,19.4,1.4275,10.9275,19.8025,1.4875,1.605,163.73,49.44,45.8825,9.0425,6.3025,14.6475,2.225,52.5275,4981062500.0,7.01,5.1425,12.89,49257500000.0,75417500000.0,87547500000.0,1.555,16.4,2021-06-05,0.0
S&P 500 Freight & Logistics Mean ,187.5,27.6475,19.505,1.435,11.025,19.99,1.4875,1.605,163.73,49.44,45.8825,9.0425,6.3025,14.65,2.225,52.5275,4981062500.0,7.01,5.1425,12.89,49257500000.0,75852500000.0,87987500000.0,1.5625,16.495,2021-05-29,0.0
S&P 500 Freight & Logistics Mean ,184.9925,27.4325,19.325,1.4225,11.01,19.74,1.495,1.605,163.73,49.6175,45.8825,9.0425,6.3025,14.6025,2.225,52.5275,4981062500.0,7.01,5.1425,12.89,49257500000.0,75712500000.0,87845000000.0,1.5525,16.375,2021-05-22,0.0
S&P 500 Freight & Logistics Mean ,184.195,26.9775,19.135,1.395,10.88,19.825,1.495,1.605,163.73,49.6175,45.8825,9.0425,6.3025,14.91,2.225,52.5275,4981062500.0,7.01,5.1425,12.89,49257500000.0,74452500000.0,86585000000.0,1.52,16.145,2021-05-14,0.0
S&P 500 Freight & Logistics Mean ,184.85,27.31,20.77,1.4075,10.92,19.62,1.495,1.605,163.6925,49.6175,45.8825,9.0175,6.3025,14.58,2.225,52.5275,4956290000.0,6.9825,5.1425,12.89,49257500000.0,75422500000.0,87552500000.0,1.5325,16.255,2021-05-08,0.0
S&P 500 Freight & Logistics Mean ,177.0175,27.5025,20.4675,1.4075,10.555,20.54,1.5,1.615,163.9375,54.51,44.2825,8.36,7.645,14.32,2.14,52.5275,4900640000.0,6.7875,5.0025,13.27,48895000000.0,71790000000.0,83985000000.0,1.5325,16.5075,2021-05-01,0.0
S&P 500 Freight & Logistics Mean ,165.8775,48.8325,20.525,1.38,63.43,18.665,1.5,1.62,1104.6325,54.51,35.0175,6.9175,7.645,14.4775,2.0675,52.5275,3612445000.0,5.3175,3.86,13.56,47427500000.0,65810000000.0,78620000000.0,1.5125,20.665,2021-04-23,0.0
S&P 500 Freight & Logistics Mean ,170.675,48.9375,20.56,1.3775,63.7575,18.965,1.5,1.62,1104.6325,54.51,35.0175,6.9175,7.645,14.475,2.0675,52.5275,3612445000.0,5.3175,3.86,13.56,47427500000.0,66170000000.0,78982500000.0,1.51,20.645,2021-04-17,0.0
S&P 500 Freight & Logistics Mean ,165.615,47.21,20.065,1.3375,60.92,18.3525,1.5,1.62,1104.6325,54.51,35.0175,6.9175,7.645,14.7975,2.0675,52.5275,3612445000.0,5.3175,3.86,13.56,47427500000.0,63685000000.0,76495000000.0,1.4725,20.1125,2021-04-10,0.0
S&P 500 Freight & Logistics Mean ,164.2875,46.75,19.9875,1.33,59.73,18.175,1.5,1.62,1104.6325,54.51,35.0175,6.9175,7.645,14.72,2.0675,52.5275,3612445000.0,5.3175,3.86,13.56,47427500000.0,63120000000.0,75930000000.0,1.465,19.9675,2021-04-02,0.0
S&P 500 Freight & Logistics Mean ,159.29,44.57,19.1025,1.2725,56.865,17.765,1.5,1.62,1104.6325,54.51,35.0175,6.9175,7.645,15.385,2.0675,52.5275,3612445000.0,5.3175,3.86,13.56,47427500000.0,59942500000.0,72752500000.0,1.4075,19.265,2021-03-27,0.0
S&P 500 Freight & Logistics Mean ,155.765,45.94,19.1325,1.28,57.1575,17.8625,1.5325,1.62,1104.6325,54.825,35.0175,6.9175,7.6525,15.1675,2.0675,52.5275,3612445000.0,5.3175,3.86,13.56,47427500000.0,59822500000.0,72735000000.0,1.4125,19.3025,2021-03-20,0.0
S&P 500 Freight & Logistics Mean ,157.325,46.7825,19.0325,1.2725,59.2475,17.865,1.5325,1.6575,1106.46,54.825,34.395,6.7975,7.6525,15.24,2.0525,52.5275,3439945000.0,5.185,3.7175,13.8475,46422500000.0,61405000000.0,74315000000.0,1.4225,19.6175,2021-03-13,0.0
S&P 500 Freight & Logistics Mean ,148.5975,45.025,18.43,1.2325,56.8925,17.0375,1.5325,1.6575,1106.46,54.825,34.395,6.7975,7.6525,15.8425,2.0525,52.5275,3439945000.0,5.185,3.7175,13.8475,46422500000.0,58754999999.75,71667500000.0,1.38,19.0475,2021-03-05,0.0
S&P 500 Freight & Logistics Mean ,148.425,44.6175,18.115,1.2175,56.68,16.82,22.445,1.6575,0.0,53.5875,34.395,6.7975,-135.89,16.09,1.7775,67.275,3439945000.0,5.185,3.7175,13.8475,46422500000.0,58482500000.0,71390000000.0,1.3625,18.7975,2021-02-26,0.0
S&P 500 Freight & Logistics Mean ,150.5475,43.9425,18.715,1.2775,50.9925,17.115,1.5675,1.6575,0.0,53.705,35.08,7.205,13.41,15.535,1.4875,63.6725,3838100000.0,5.65,3.7425,20.1325,46422500000.0,59205000000.0,72130000000.0,1.38,18.775,2021-02-20,0.0
S&P 500 Freight & Logistics Mean ,150.715,44.705,19.1275,1.305,51.7925,16.9525,1.5675,1.705,0.0,53.705,34.6475,7.045,12.875,15.285,1.435,63.6725,3812270000.0,5.6575,3.7875,20.0375,46140000000.0,59950000000.0,72875000000.0,1.45,19.5675,2021-02-14,0.0
S&P 500 Freight & Logistics Mean ,147.2575,42.6,18.7125,1.225,50.4325,16.4175,1.5675,1.705,0.0,53.705,34.6475,7.045,12.875,16.6825,1.435,63.6725,3812270000.0,5.6575,3.7875,20.0375,46140000000.0,56865000000.0,69790000000.0,1.375,18.6375,2021-02-05,0.0
S&P 500 Freight & Logistics Mean ,145.5125,27.815,20.31,1.3275,10.145,16.1075,1.6175,1.73,0.0,49.9875,37.47,7.9025,14.9475,16.925,1.4525,51.9425,4554770000.0,6.655,4.7925,14.605,45057500000.0,56407499999.75,70327500000.0,1.4375,16.2275,2021-01-30,0.0
S&P 500 Freight & Logistics Mean ,151.505,27.75,19.85,1.305,10.2375,16.31,1.62,1.735,0.0,50.0625,36.79,7.6925,15.095,16.45,1.4625,51.9425,4533180000.0,6.5925,4.7525,14.8875,44867500000.0,58252500000.0,70712500000.0,1.4525,16.6275,2021-01-22,0.0
S&P 500 Freight & Logistics Mean ,152.8875,27.91,19.9825,1.31,10.2775,16.3675,1.62,1.735,0.0,50.0625,36.79,7.6925,15.095,16.3675,1.4625,51.9425,4533180000.0,6.5925,4.7525,14.8875,44867500000.0,58327500000.0,70785000000.0,1.4575,16.73,2021-01-16,0.0
S&P 500 Freight & Logistics Mean ,148.8325,27.43,19.6475,1.2975,10.1875,16.1275,1.62,1.735,0.0,50.0625,36.79,7.6925,15.095,16.7525,1.4625,51.9425,4533180000.0,6.5925,4.7525,14.8875,44867500000.0,57595000000.0,70050000000.0,1.4425,16.4725,2021-01-09,0.0
S&P 500 Freight & Logistics Mean ,153.4575,28.4225,20.265,1.345,10.635,16.18,1.62,1.735,0.0,50.0625,36.79,7.6925,15.095,16.15,1.4625,51.9425,4533180000.0,6.5925,4.7525,14.8875,44867500000.0,60810000000.0,73267500000.0,1.49,16.94,2021-01-02,0.0
S&P 500 Freight & Logistics Mean ,157.9125,28.7925,20.825,1.36,10.7975,16.4025,1.62,1.735,0.0,50.0625,36.79,7.6925,15.095,15.9025,1.4625,51.9425,4533180000.0,6.5925,4.7525,14.8875,44867500000.0,62207500000.0,74662500000.0,1.5075,17.07,2020-12-26,0.0
S&P 500 Freight & Logistics Mean ,163.2675,32.06,20.9125,1.365,10.9775,16.455,1.62,1.735,0.0,50.0625,36.79,7.6925,15.095,15.7775,1.4625,51.9425,4533180000.0,6.5925,4.7525,14.8875,44867500000.0,63087500000.0,76390000000.0,1.51,17.25,2020-12-19,0.0
S&P 500 Freight & Logistics Mean ,159.1,31.48,20.5525,1.345,10.535,16.36,1.6025,1.72,0.0,50.4625,36.075,7.545,14.83,15.16,1.4525,50.9775,4318180000.0,6.3675,4.5575,15.145,44057500000.0,61552500000.0,74252500000.0,1.495,17.315,2020-12-12,0.0
S&P 500 Freight & Logistics Mean ,160.44,31.6775,20.63,1.35,10.6575,16.39,1.6025,1.72,0.0,50.4625,36.075,7.545,14.83,15.125,1.4525,50.9775,4318180000.0,6.3675,4.5575,15.145,44057500000.0,62522500000.0,75225000000.0,1.5025,17.3575,2020-12-07,0.0
S&P 500 Freight & Logistics Mean ,160.5325,31.705,20.78,1.3625,10.7775,16.52,1.6025,1.72,0.0,50.4625,36.075,7.545,14.83,15.1575,1.4525,50.9775,4318180000.0,6.3675,4.5575,15.145,44057500000.0,62755000000.0,75452500000.0,1.5125,17.4575,2020-11-28,0.0
S&P 500 Freight & Logistics Mean ,157.595,30.965,20.3525,1.33,10.55,16.4325,1.6025,1.72,0.0,50.4625,36.075,7.545,14.83,15.5275,1.4525,50.9775,4318180000.0,6.3675,4.5575,15.145,44057500000.0,61052500000.0,73750000000.0,1.4875,17.1625,2020-11-21,0.0
S&P 500 Freight & Logistics Mean ,152.145,53.4325,20.0175,2.63,10.33,15.91,1.6025,1.72,0.0,50.4625,36.075,7.545,14.83,15.9275,1.4525,50.9775,4318180000.0,6.3675,4.5575,15.145,44057500000.0,59577500000.0,72275000000.0,1.46,16.835,2020-11-13,0.0
S&P 500 Freight & Logistics Mean ,154.71,54.03,20.38,2.655,10.55,15.8975,1.6025,1.72,0.0,0.505,36.075,7.545,14.83,15.7075,1.4525,50.9775,4318180000.0,6.3675,4.5575,15.145,44057500000.0,60222500000.0,72992500000.0,1.4875,17.1575,2020-11-08,0.0
S&P 500 Freight & Logistics Mean,160.605,14.71,14.6125,1.13,6.815,41.7897000907765,0.365,1.57,112.5025,965.832146278461,44.245,10.4825,15.2775700424758,20.7914454902419,2.3875,11.445,6345000000,8.14,5.975,13.4931284306676,55425000000,71462500000,82847500000,1.2375,10.185,2022-02-12 00:00:00,0.0
S&P 500 Freight & Logistics Mean,157.4475,14.2825,14.2,1.095,6.63,42.0399954343876,0.365,1.555,112.5025,965.832146278461,69.1325,12.725,22.3269036282388,21.4961564919231,2.44,11.445,8777500000,10.5675,7.58,17.6969250071173,56145000000,69062500000,80445000000,1.205,9.9425,2022-02-19 00:00:00,0.0
S&P 500 Freight & Logistics Mean,158.2025,14.105,14.0325,1.075,6.545,42.3859784644255,0.365,1.5325,112.5325,81.8353786421862,70.8225,12.8725,25.1551139299096,21.5767837714971,2.545,11.445,8517500000,10.425,7.74,18.631394095191,56615000000,67592500000,78980000000,1.1475,9.415,2022-02-26 00:00:00,0.0
S&P 500 Freight & Logistics Mean,157.7325,13.5725,13.71,1.045,6.57,45.0480623698594,0.365,1.5325,112.5325,81.8353786421862,70.8225,12.8725,25.1551139299096,21.8386369172202,2.545,11.445,8512500000,10.425,7.74,18.631394095191,56615000000,67742500000,79152500000,1.1525,9.4975,2022-03-05 00:00:00,0.0
