symbol,Price,Trailing P/E,Forward P/E,Price/Sales (ttm),Price/Book (mrq),Price/CashFlow,Quick Ratio,Current Ratio,Total Debt to Equity (mrq),Total Debt to Capital,Return on Equity,Return on Assets,Return on Invested Capital (ttm),Book Value/Market Value,Asset Turnover,Inventory Turnover (ttm),EBITDA,Operating Margin,Profit Margin,Gross Margin ttm,Revenue,Market Cap,Enterprise Value,Enterprise Value/Revenue,Enterprise Value/EBITDA,Date,Forward Price/Sales
SP500 Health Provider and Svc Mean ,213.603333333333,19.328,14.2706666666667,0.819333333333333,11.482,11.272,0.784666666666667,1.28466666666667,363.738666666667,62.6333333333333,374.985333333333,6.292,8.24133333333334,28.3246666666667,1.95533333333333,16.384,7309333333.33333,8.87666666666667,6.18066666666667,21.7153333333333,123380000000.0,74053999999.9333,89036000000.0,1.012,8.45066666666667,2022-02-05,0.0
SP500 Health Provider and Svc Mean ,204.849333333333,17.8066666666667,13.7046666666667,0.803333333333333,11.5433333333333,11.7446666666667,0.793333333333333,1.29133333333333,315.219333333333,62.7606666666667,43.7,6.34266666666667,8.12466666666667,28.9966666666667,1.94266666666667,16.384,7309333333.26667,9.02266666666667,6.07533333333333,21.092,122076666666.667,71467333333.3333,86264000000.0,0.989333333333333,6.698,2022-01-28,0.0
SP500 Health Provider and Svc Mean ,207.806666666667,18.2426666666667,13.956,0.838666666666667,11.1126666666667,11.72,0.770666666666667,1.29266666666667,315.388,58.6373333333333,43.584,6.30466666666667,6.098,29.85,1.94733333333333,16.384,7222666666.6,8.99733333333333,6.05666666666667,21.0453333333333,121759333333.333,72298666666.6667,87162000000.0,1.026,6.93666666666667,2022-01-22,0.0
SP500 Health Provider and Svc Mean ,211.928666666667,18.4946666666667,14.1686666666667,0.846666666666667,11.154,11.8906666666667,0.770666666666667,1.288,315.573333333333,58.6373333333333,43.442,6.26933333333333,7.052,29.4766666666667,1.894,18.6266666666667,7031333333.26667,8.96533333333334,6.024,21.03,121207333333.333,72968666666.6667,87832000000.0,1.034,6.93666666666667,2022-01-14,0.0
SP500 Health Provider an,208.812666666667,18.4946666666667,14.1686666666667,0.846666666666667,11.154,11.724,0.770666666666667,1.288,315.573333333333,58.6373333333333,43.442,6.26933333333333,7.052,29.4766666666667,1.894,18.6266666666667,7031333333.26667,8.96533333333334,6.024,21.03,121207333333.333,72968666666.6667,87832000000,1.034,6.93666666666667,2022-01-08,0.0
SP500 Health Provider an,223.693333333333,18.4946666666667,14.1686666666667,0.846666666666667,11.154,12.3806666666667,0.770666666666667,1.288,315.573333333333,58.6373333333333,43.442,6.26933333333333,7.052,29.4766666666667,1.894,18.6266666666667,7031333333.26667,8.96533333333334,6.024,21.03,121207333333.333,72968666666.6667,87832000000,1.034,6.93666666666667,2022-01-01,0.0
SP500 Health Provider an,217.454666666667,14.7106666666667,10.9986666666667,0.708,10.5913333333333,12.182,0.770666666666667,1.28866666666667,315.764666666667,58.6373333333333,43.416,6.26733333333333,7.052,21.6533333333333,1.892,18.6266666666667,7019333333.26667,8.96866666666667,6.01933333333333,21.0573333333333,120761333333.333,59617333333.3333,69478666666.6667,0.87,5.436,2021-12-23,0.0
SP500 Health Provider an,216.686,18.4946666666667,14.1686666666667,0.846666666666667,11.154,11.992,0.770666666666667,1.288,315.573333333333,58.6373333333333,43.442,6.26933333333333,7.052,29.4766666666667,1.894,18.6266666666667,7031333333.26667,8.96533333333334,6.024,21.03,121207333333.333,72968666666.6667,87832000000,1.034,6.93666666666667,2021-12-18,0.0
SP500 Health Provider an,207.982666666667,17.5786666666667,13.6986666666667,0.818666666666667,48.4026666666667,11.5326666666667,0.771333333333333,1.288,363.51,58.7886666666667,32.0586666666667,6.28466666666667,2.33,30.49,1.93866666666667,18.6646666666667,7029999999.93333,8.97066666666667,5.854,20.9886666666667,120562666666.667,69250666666.6667,84142000000,1.00866666666667,5.532,2021-12-10,0.0
SP500 Health Provider an,198.800666666667,17.17,13.314,0.796,48.2953333333333,1.40733333333333,0.771333333333333,0.142,141.230666666667,58.7953333333333,-10.2433333333333,0.707333333333333,2.32933333333333,31.6273333333333,0.391333333333333,18.6646666666667,344000000,0.872666666666667,0.446,19.985,14451333333.3333,68352000000,83242000000,0.983333333333333,5.39466666666667,2021-12-03,0.0
SP500 Health Provider and ,204.357333333333,17.5886666666667,13.7213333333333,0.811333333333333,48.4106666666667,11.3553333333333,0.771333333333333,1.288,363.51,58.7953333333333,32.0586666666667,6.28466666666667,2.32933333333333,30.474,1.93866666666667,18.6646666666667,7029999999.93333,8.97066666666667,5.854,20.9886666666667,120562666666.667,69122666666.6667,84011333333.3333,1,5.534,2021-11-28,0.0
SP500 Health Provider and ,205.951333333333,17.8513333333333,13.8606666666667,0.818666666666667,48.4373333333333,11.446,0.772,1.288,363.51,58.6073333333333,32.0586666666667,6.28333333333333,2.234,30.2893333333333,1.93866666666667,18.6646666666667,7029333333.26667,8.97,5.854,20.9886666666667,120562666666.667,69926000000,84815333333.3333,1.008,5.59333333333333,2021-11-19,0.0
SP500 Health Provider and Svc Mean ,207.277333333333,18.6906666666667,13.974,0.826666666666667,48.3333333333333,11.5366666666667,0.790666666666667,1.288,363.51,62.014,32.0586666666667,6.28333333333333,3.936,28.8773333333333,1.93866666666667,18.6646666666667,7029333333.26667,8.97,5.854,20.9886666666667,120562666666.667,70698666666.6667,85562666666.6,1.016,6.012,2021-11-12,0.0
SP500 Health Provider and Svc Mean ,206.126,17.5526666666667,13.07,0.8,48.144,11.5646666666667,0.797333333333333,1.29333333333333,361.363333333333,61.9353333333333,28.894,6.278,4.364,25.05,1.92733333333333,18.6646666666667,7009999999.93333,8.978,5.82666666666667,21.0433333333333,119565333333.333,62331333333.3333,72716666666.5333,0.974,5.23,2021-11-06,0.0
SP500 Health Provider and Svc Mean ,207.023333333333,18.7846666666667,13.7606666666667,0.830666666666667,46.54,12.6373333333333,0.778666666666667,1.302,359.640666666667,61.5246666666667,29.4513333333333,6.44533333333333,4.446,29.052,1.914,18.6646666666667,7038914666.66667,9.146,5.87866666666667,21.1413333333333,119030666666.667,69704000000.0,84526666666.6,1.022,6.00333333333333,2021-10-30,0.0
SP500 Health Provider and Svc Mean ,206.765333333333,18.4393333333333,13.4286666666667,0.827333333333333,46.458,12.4353333333333,0.785333333333333,1.292,361.118666666667,61.65,29.9693333333333,6.556,4.44,29.82,1.90666666666667,18.6646666666667,7027581333.33333,9.24,5.71866666666667,21.2953333333333,118686000000.0,67415333333.3333,82133333333.3333,1.01533333333333,5.88933333333333,2021-10-23,0.0
SP500 Health Provider and Svc Mean ,196.625333333333,18.476,13.1306666666667,0.809333333333333,47.896,12.174,0.765333333333333,1.29266666666667,361.306666666667,57.5913333333333,29.7266666666667,6.54,2.99,31.7146666666667,1.90266666666667,18.6646666666667,6998914666.66667,9.234,5.662,21.356,118375333333.333,64595333333.2667,79530666666.6,0.999333333333333,5.84533333333333,2021-10-15,0.0
SP500 Health Provider and Svc Mean ,193.446,18.3726666666667,13.0273333333333,0.808666666666667,46.51,12.21,0.765333333333333,1.28866666666667,361.495333333333,57.5913333333333,29.668,6.51933333333333,2.99,31.8633333333333,1.9,18.6646666666667,6922914666.66667,9.222,5.64933333333333,21.398,117894000000.0,63505333333.3333,78438666666.6667,0.998,5.86933333333333,2021-10-09,0.0
SP500 Health Provider and Svc Mean ,191.238,19.0246666666667,13.69,0.852,48.4366666666667,12.054,0.765333333333333,1.28866666666667,361.495333333333,57.5913333333333,29.668,6.51933333333333,2.99,30.6366666666667,1.9,18.6646666666667,6922914666.66667,9.222,5.64933333333333,21.398,117894000000.0,66505333333.3333,81440000000.0,1.04266666666667,6.10533333333333,2021-10-01,0.0
SP500 Health Provider and Svc Mean ,197.746666666667,19.0246666666667,13.69,0.852,48.4366666666667,12.4533333333333,0.765333333333333,1.28866666666667,361.495333333333,57.5913333333333,29.668,6.51933333333333,2.99,30.6366666666667,1.9,18.6646666666667,6922914666.66667,9.222,5.64933333333333,21.398,117894000000.0,66505333333.3333,81440000000.0,1.04266666666667,6.10533333333333,2021-09-25,0.0
