symbol,Price,Trailing P/E,Forward P/E,Price/Sales (ttm),Price/Book (mrq),Price/CashFlow,Quick Ratio,Current Ratio,Total Debt to Equity (mrq),Total Debt to Capital,Return on Equity,Return on Assets,Return on Invested Capital (ttm),Book Value/Market Value,Asset Turnover,Inventory Turnover (ttm),EBITDA,Operating Margin,Profit Margin,Gross Margin ttm,Revenue,Market Cap,Enterprise Value,Enterprise Value/Revenue,Enterprise Value/EBITDA,Date,Forward Price/Sales
SP500 HealthCare Equip Supps Mean ,254.9415,36.104,28.8065,7.266,8.862,28.32,2.0135,2.766,49.145,26.7235,24.042,8.3995,13.885,17.1445,0.661,3.645,3098272000.0,23.1735,21.6455,56.3175,10391500000.0,56386500000.0,59738000000.0,7.286,26.845,2022-02-05,0.0
SP500 HealthCare Equip Supps Mean ,238.4,44.2865,32.1645,8.0035,9.0315,26.731,1.95,2.777,48.9285,28.854,25.3475,8.5655,13.483,21.0975,0.667,3.318,3083926500.0,23.226,21.9775,55.476,10428682000.0,60555499999.95,64674999999.95,8.0805,29.757,2022-01-28,0.0
SP500 HealthCare Equip Supps Mean ,253.5635,50.965,37.768,9.519,10.993,31.289,1.95,2.896,49.746,28.854,25.418,9.097,13.483,19.739,0.664,3.318,3110426500.0,23.6255,21.97,53.1395,10292182000.0,69023500000.0,73363500000.0,9.6265,35.4185,2022-01-22,0.0
SP500 HealthCare Equip Supps Mean ,263.426,50.965,37.768,9.519,10.993,35.0405,1.9495,2.755,49.746,28.854,25.446,9.1105,12.146,19.739,0.6395,3.4325,3108426499.95,23.6575,22.0165,52.2765,10281182000.0,69023500000.0,73363500000.0,9.6265,35.4185,2022-01-14,0.0
SP500 HealthCare Equip Supps Mean,272.7155,43.076,27.8225,7.544,9.0215,36.2545,1.9495,2.755,49.746,28.854,25.446,9.1105,12.146,19.18,0.6395,3.4325,3108426499.95,23.6575,22.0165,52.2765,10281182000,62474500000,66911000000,7.725,26.73,2022-01-08 00:00:00,0.0
SP500 HealthCare Equip Supps Mean,294.4555,43.101,33.864,8.675,10.1875,39.0375,1.9495,2.755,49.746,28.854,25.446,9.1105,12.146,17.9185,0.6395,3.4325,3108176499.95,23.6575,22.0165,52.2765,10281182000,65970000000,70113500000,8.707,31.891,2022-01-01 00:00:00,0.0
SP500 HealthCare Equip Supps Mean,289.4335,50.965,37.768,9.519,10.993,38.584,1.9495,2.755,49.746,28.854,25.446,9.1105,12.146,19.739,0.6395,3.4325,3108176499.95,23.6575,22.0165,52.2765,10281182000,69023500000,73363500000,9.6265,35.4185,2021-12-23 00:00:00,0.0
SP500 HealthCare Equip Supps Mean,277.018,50.965,37.768,9.519,10.993,36.8165,1.9495,2.755,49.746,28.88,25.446,9.1105,12.1465,19.7225,0.6395,3.4325,3108176499.95,23.6575,22.0165,52.2765,10281182000,69023500000,73363500000,9.6265,35.4185,2021-12-18 00:00:00,0.0
SP500 HealthCare Equip Supps Mean,285.228,50.5275,36.697,9.4255,10.871,36.315,1.8845,2.6955,49.713,29.0205,25.506,9.123,12.39,19.6605,0.6425,3.4455,3104814999.95,23.6105,22.076,52.421,10279263000,67974000000,72321500000,9.544,34.8475,2021-12-10 00:00:00,0.0
SP500 HealthCare Equip Supps Mean,275.9005,49.409,36.1985,9.279,10.747,6.5265,1.8845,0.6025,3.7105,28.997,2.833,1.621,12.3925,20.6055,0.107,3.4455,94442500,3.713,2.7535,49.93,318763000,66401499999.95,70756500000,9.425,34.209,2021-12-03 00:00:00,0.0
