symbol,Price,Trailing P/E,Forward P/E,Price/Sales (ttm),Price/Book (mrq),Price/CashFlow,Quick Ratio,Current Ratio,Total Debt to Equity (mrq),Total Debt to Capital,Return on Equity,Return on Assets,Return on Invested Capital (ttm),Book Value/Market Value,Asset Turnover,Inventory Turnover (ttm),EBITDA,Operating Margin,Profit Margin,Gross Margin ttm,Revenue,Market Cap,Enterprise Value,Enterprise Value/Revenue,Enterprise Value/EBITDA,Date,Forward Price/Sales
SP500 Household Products Mean ,130.346,33.036,27.646,3.926,55.166,21.32,0.396,0.774,532.442,67.796,112.154,10.572,21.57,5.652,0.94,5.93,6284000000.0,18.776,12.452,45.788,25526000000.0,110084000000.0,119088000000.0,4.184,20.246,2022-02-04,0.0
SP500 Household Products Mean ,128.688,30.794,26.49,3.854,56.51,22.214,0.418,0.802,528.636,67.79,120.736,10.482,27.224,5.934,0.968,6.044,6260000000.0,18.466,13.056,45.35,25496000000.0,107836000000.0,116834000000.0,4.144,19.972,2022-01-28,0.0
SP500 Household Products Mean ,132.874,30.866,26.172,3.846,56.39,23.14,0.418,0.792,549.006,69.398,138.016,10.71,26.592,6.048,0.966,6.044,6322000000.0,18.726,13.258,46.398,25470000000.0,109148000000.0,118148000000.0,4.14,19.79,2022-01-21,0.0
SP500 Household Products Mean ,133.996,30.826,25.942,3.826,56.278,23.246,0.418,0.792,547.148,69.398,137.766,10.748,26.592,6.126,0.964,6.044,6356000000.0,18.854,13.22,46.554,25228000000.0,106726000000.0,115338000000.0,4.104,19.654,2022-01-14,0.0
SP500 Household Products Mean ,134.372,30.826,25.942,3.826,56.278,23.334,0.418,0.792,547.148,69.398,137.766,10.748,26.592,6.126,0.964,6.044,6356000000.0,18.854,13.22,46.554,25228000000.0,106726000000.0,115338000000.0,4.104,19.654,2022-01-07,0.0
SP500 Household Products Mean ,132.524,30.826,25.942,3.826,56.278,23.046,0.418,0.792,547.148,69.398,137.766,10.748,26.592,6.126,0.964,6.044,6356000000.0,18.854,13.22,46.554,25228000000.0,106726000000.0,115338000000.0,4.104,19.654,2022-01-01,0.0
SP500 Household Products Mean,130.234,30.826,25.942,3.826,56.278,22.62,0.418,0.792,547.148,69.398,137.766,10.748,26.592,6.126,0.964,6.044,6356000000,18.854,13.22,46.554,25228000000,106726000000,115338000000,4.104,19.654,2021-12-23 00:00:00,0.0
SP500 Household Products Mean,133.318,30.826,25.942,3.826,56.278,23.138,0.418,0.792,547.148,69.398,137.766,10.748,26.592,6.126,0.964,6.044,6356000000,18.854,13.22,46.554,25228000000,106726000000,115338000000,4.104,19.654,2021-12-17 00:00:00,0.0
SP500 Household Products Mean,125.878,30.556,25.726,3.788,55.99,21.802,0.418,0.792,547.148,69.398,137.766,10.748,26.592,6.198,0.964,6.044,6356000000,18.854,13.22,46.554,25228000000,105090000000,113704000000,4.066,19.494,2021-12-10 00:00:00,0.0
SP500 Household Products Mean,122.612,29.658,24.89,3.656,54.058,0,0.418,0,0,69.398,0,0,26.592,6.462,0,6.044,0,0,0,0.0,0,100984000000,109596000000,3.93,18.922,2021-12-03 00:00:00,0.0
