symbol,Price,Trailing P/E,Forward P/E,Price/Sales (ttm),Price/Book (mrq),Price/CashFlow,Quick Ratio,Current Ratio,Total Debt to Equity (mrq),Total Debt to Capital,Return on Equity,Return on Assets,Return on Invested Capital (ttm),Book Value/Market Value,Asset Turnover,Inventory Turnover (ttm),EBITDA,Operating Margin,Profit Margin,Gross Margin ttm,Revenue,Market Cap,Enterprise Value,Enterprise Value/Revenue,Enterprise Value/EBITDA,Date,Forward Price/Sales
S&P 500 Industrial Conglomerates Mean ,228.9775,20.8925,23.955,4.1475,5.1275,14.6725,0.8425,1.2675,92.87,46.5525,18.2125,5.3275,1.7075,22.53,0.4775,5.51,6472500000.0,18.0025,11.005,42.7325,37432500000.0,95910000000.0,105075000000.0,4.605,-1.58,2022-02-05,0.0
S&P 500 Industrial Conglomerates Mean ,221.0475,20.7625,22.3575,3.8575,5.135,14.425,0.85,1.2775,99.36,52.9725,18.655,5.725,6.845,22.815,0.4775,5.5375,6820000000.0,18.6675,10.405,39.4525,37617500000.0,94512500000.0,103780000000.0,4.305,-0.919999999999999,2022-01-28,0.0
S&P 500 Industrial Conglomerates Mean ,230.12,40.7225,23.77,4.1425,5.6,20.675,0.85,1.4075,124.0525,52.9725,22.6625,5.78,6.845,21.11,0.4825,5.5375,7090000000.0,18.3775,12.5925,37.07,38715000000.0,100722500000.0,116475000000.0,4.6725,19.415,2022-01-22,0.0
S&P 500 Industrial Conglomerates Mean ,239.6625,40.7225,23.77,4.1425,5.6,21.565,0.85,1.4075,124.0525,52.9725,22.6625,5.78,6.845,21.11,0.4825,5.5375,7090000000.0,18.3775,12.5925,37.07,38715000000.0,100722500000.0,116475000000.0,4.6725,19.415,2022-01-15,0.0
S&P 500 Industrial Conglomerates Mean,239.9125,40.7225,23.77,4.1425,5.6,21.3175,0.85,1.4075,124.0525,52.9725,22.6625,5.78,6.845,21.11,0.4825,5.5375,7090000000,18.3775,12.5925,37.07,38715000000,100722500000,116475000000,4.6725,19.415,2022-01-08 00:00:00,0.0
S&P 500 Industrial Conglomerates Mean,242.1525,40.7225,23.77,4.1425,5.6,21.13,0.85,1.4075,124.0525,52.9725,22.6625,5.78,6.845,21.11,0.4825,5.5375,7090000000,18.3775,12.5925,37.07,38715000000,100722500000,116475000000,4.6725,19.415,2022-01-01 00:00:00,0.0
S&P 500 Industrial Conglomerates Mean,235.1275,40.7225,23.77,4.1425,5.6,20.5825,0.85,1.4075,124.0525,52.9725,22.6625,5.78,6.845,21.11,0.4825,5.5375,7090000000,18.3775,12.5925,37.07,38715000000,100722500000,116475000000,4.6725,19.415,2021-12-23 00:00:00,0.0
S&P 500 Industrial Conglomerates Mean ,241.85,40.7225,23.77,4.1425,5.6,21.0525,0.85,1.4075,124.0525,52.9725,22.6625,5.78,6.845,21.11,0.4825,5.5375,7090000000.0,18.3775,12.5925,37.07,38715000000.0,100722500000.0,116475000000.0,4.6725,19.415,2021-12-18,0.0
S&P 500 Industrial Conglomerates Mean ,236.8975,40.825,23.725,4.125,5.57,20.9775,0.85,1.4075,124.0525,52.9725,22.6625,5.78,6.845,21.0675,0.4825,5.5375,7090000000.0,18.3775,12.5925,37.07,38715000000.0,100437500000.0,116190000000.0,4.6575,19.3925,2021-12-11,0.0
S&P 500 Industrial Conglomerates Mean ,234.19,28.6625,15.395,2.0525,4.3175,16.015,0.85,0.93,83.0325,52.9725,21.35,5.7125,6.845,16.0975,0.4025,5.5375,5252500000.0,17.735,12.5875,44.58,18990000000.0,84449999999.75,98207500000.0,2.275,12.7225,2021-12-04,0.0
