symbol,Price,Trailing P/E,Forward P/E,Price/Sales (ttm),Price/Book (mrq),Price/CashFlow,Quick Ratio,Current Ratio,Total Debt to Equity (mrq),Total Debt to Capital,Return on Equity,Return on Assets,Return on Invested Capital (ttm),Book Value/Market Value,Asset Turnover,Inventory Turnover (ttm),EBITDA,Operating Margin,Profit Margin,Gross Margin ttm,Revenue,Market Cap,Enterprise Value,Enterprise Value/Revenue,Enterprise Value/EBITDA,Date,Forward Price/Sales
S&P 500 Insurance Mean ,124.844444444445,13.3816666666667,13.4194444444444,1.72944444444445,1.86111111111111,5.59722222222222,3.44166666666667,2.42722222222222,40.3044444444444,26.9972222222222,14.0072222222222,2.49222222222222,8.41388888888889,67.5994444444444,0.293333333333333,0.0,4172222222.16667,17.0933333333333,13.8077777777778,28.1572222222222,22342777777.7778,32628888888.8889,38569444444.4444,1.88222222222222,2.41,2022-02-05,0.0
S&P 500 Insurance Mean ,120.168888888889,12.885,13.3777777777778,1.67166666666667,1.87166666666667,8.11333333333333,2.735,2.46888888888889,40.92,27.2261111111111,14.0327777777778,2.60666666666667,8.09277777777778,74.1077777777778,0.298333333333333,0.0,4054444444.44445,16.8427777777778,13.69,26.9027777777778,22796666666.6667,31320000000.0,36819444444.3889,1.79222222222222,2.385,2022-01-28,0.0
S&P 500 Insurance Mean ,122.768333333333,13.4544444444444,13.4655555555556,1.74777777777778,1.95111111111111,10.3661111111111,2.73666666666667,2.50722222222222,41.2122222222222,27.2516666666667,14.2311111111111,2.86722222222222,7.94833333333333,83.9388888888889,0.293888888888889,0.0,4106111111.11111,17.1744444444445,13.7905555555556,26.2244444444444,22620000000.0,31908333333.3333,37867222222.2222,1.90722222222222,2.61166666666667,2022-01-21,0.0
S&P 500 Insurance Mean ,125.518888888889,13.4544444444444,13.4655555555556,1.74777777777778,1.95111111111111,10.7011111111111,2.73666666666667,2.50722222222222,41.2122222222222,27.2516666666667,14.2311111111111,2.86722222222222,7.94833333333333,83.9388888888889,0.293888888888889,0.0,4106111111.11111,17.1744444444445,13.7905555555556,26.2244444444444,22620000000.0,31908333333.3333,37867222222.2222,1.90722222222222,2.61166666666667,2022-01-14,0.0
S&P 500 Insurance Mean,123.752222222222,12.42,12.5894444444444,1.62166666666667,1.86666666666667,10.5611111111111,2.73666666666667,2.50722222222222,41.2122222222222,27.2516666666667,14.2311111111111,2.86722222222222,7.94833333333333,66.2022222222222,0.293888888888889,0,4106111111.11111,17.1744444444445,13.7905555555556,26.2244444444444,22620000000,31120000000,36791666666.6667,1.75055555555556,2.61166666666667,2022-01-08 00:00:00,0.0
S&P 500 Insurance Mean,122.058333333333,13.0383333333333,12.2116666666667,1.63111111111111,1.86333333333333,10.4261111111111,2.73666666666667,2.50666666666667,41.2394444444444,27.2516666666667,14.705,2.99722222222222,7.94833333333333,80.4305555555556,0.296111111111111,0,4145000000,17.3994444444444,13.9572222222222,26.1355555555555,22667777777.7778,30866666666.6667,36835555555.5556,1.79277777777778,2.61166666666667,2022-01-01 00:00:00,0.0
S&P 500 Insurance Mean,119.642777777778,13.4544444444444,13.4655555555556,1.74777777777778,1.95111111111111,10.1683333333333,2.73666666666667,2.50722222222222,41.2122222222222,27.2516666666667,14.2311111111111,2.86722222222222,7.94833333333333,83.9388888888889,0.293888888888889,0,4106111111.11111,17.1744444444445,13.7905555555556,26.2244444444444,22620000000,31908333333.3333,37867222222.2222,1.90722222222222,2.61166666666667,2021-12-23 00:00:00,0.0
S&P 500 Insurance Mean,121.654444444444,13.4544444444444,13.4655555555556,1.74777777777778,1.95111111111111,10.2894444444444,2.73666666666667,2.50722222222222,41.2122222222222,27.2516666666667,14.2311111111111,2.86722222222222,7.94833333333333,83.9388888888889,0.293888888888889,0,4106111111.11111,17.1744444444445,13.7905555555556,26.2244444444444,22620000000,31908333333.3333,37867222222.2222,1.90722222222222,2.61166666666667,2021-12-18 00:00:00,0.0
S&P 500 Insurance Mean ,120.154444444444,13.0688888888889,13.1711111111111,1.72,1.91888888888889,10.28,2.73666666666667,2.32111111111111,41.2388888888889,27.2516666666667,14.19,2.86111111111111,7.94833333333333,71.8266666666667,0.293888888888889,0.0,4100000000.0,17.1238888888889,13.7494444444444,26.2227777777778,22621111111.1111,31426666666.6667,37199444444.4444,1.86611111111111,2.60611111111111,2021-12-10,0.0
S&P 500 Insurance Mean ,118.089444444444,12.9438888888889,12.9561111111111,1.67888888888889,1.87666666666667,0.364444444444444,2.73666666666667,0.0261111111111111,2.64666666666667,27.2516666666667,0.520555555555556,0.115555555555556,7.94833333333333,87.6727777777778,0.0105555555555556,0.0,189444444.444444,1.01388888888889,0.617777777777778,25.97,815000000.0,30407222222.2222,36366111111.1111,1.82666666666667,2.50611111111111,2021-12-03,0.0
