symbol,Price,Trailing P/E,Forward P/E,Price/Sales (ttm),Price/Book (mrq),Price/CashFlow,Quick Ratio,Current Ratio,Total Debt to Equity (mrq),Total Debt to Capital,Return on Equity,Return on Assets,Return on Invested Capital (ttm),Book Value/Market Value,Asset Turnover,Inventory Turnover (ttm),EBITDA,Operating Margin,Profit Margin,Gross Margin ttm,Revenue,Market Cap,Enterprise Value,Enterprise Value/Revenue,Enterprise Value/EBITDA,Date,Forward Price/Sales
SP500 Interactive Media Mean ,1496.7625,22.53,23.66,6.6275,6.0375,11.8725,3.415,3.275,26.9775,18.1575,23.205,12.14,4.93,18.125,0.73,49.06,59448982500.0,27.05,22.1575,60.9075,159502500000.0,1113685000000.0,1049662500000.0,6.085,38.4225,2022-02-05,0.0
SP500 Interactive Media Mean ,1372.75,23.2025,23.24,6.96,5.9825,12.26,3.415,3.57,27.2175,18.1575,22.855,12.05,4.93,17.845,0.685,49.06,56483982500.0,27.46,22.7875,48.0975,148887500000.0,1071617500000.0,999767500000.0,6.365,38.0175,2022-01-28,0.0
SP500 Interactive Media Mean ,1422.53,24.2325,26.375,7.7975,6.6125,13.115,3.415,3.57,27.2175,18.1575,22.855,12.05,4.93,15.465,0.685,49.06,56483982500.0,27.46,22.7875,48.0975,148887500000.0,1123430000000.0,1056580000000.0,7.2,48.8225,2022-01-21,0.0
SP500 Interactive Media Mean,1479.885,25.6725,27.7,8.225,7.015,13.605,3.415,3.57,27.2175,18.1575,22.855,12.05,4.93,14.76,0.685,49.06,56483982500,27.46,22.7875,48.0975,148887500000,1223430000000,1151580000000,7.61,49.8325,2022-01-14 00:00:00,0.0
SP500 Interactive Media Mean,1469.505,25.6725,27.7,8.225,7.015,13.7475,3.415,3.57,27.2175,18.1575,22.855,12.05,4.93,14.76,0.685,49.06,56483982500,27.46,22.7875,48.0975,148887500000,1223430000000,1151580000000,7.61,49.8325,2022-01-07 00:00:00,0.0
SP500 Interactive Media Mean,1558.22,25.6725,27.7,8.225,7.015,14.825,3.415,3.57,27.2175,18.1575,22.855,12.05,4.93,14.76,0.685,49.06,56483982500,27.46,22.7875,48.0975,148887500000,1223430000000,1151580000000,7.61,49.8325,2022-01-01 00:00:00,0.0
SP500 Interactive Media Mean,1560.4075,25.6725,27.7,8.225,7.015,14.6175,3.415,3.57,27.2175,18.1575,22.855,12.05,4.93,14.76,0.685,49.06,56483982500,27.46,22.7875,48.0975,148887500000,1223430000000,1151580000000,7.61,49.8325,2021-12-23 00:00:00,0.0
SP500 Interactive Media Mean,1540.925,25.6725,27.7,8.225,7.015,14.4910763011761,3.89545855744352,3.57,27.2175,16.25,0.22855,0.1205,11.8371861222331,15.1351769708604,0.5225,49.065,56483982500,0.2746,0.227875,64.5325,113683837250,1223430000000,1151580000000,7.61,49.8325,2021-12-17 00:00:00,0.0
SP500 Interactive Media Mean ,1572.7925,25.6425,27.82,8.2525,7.0325,14.995,3.415,3.57,27.2175,18.1575,22.855,12.05,4.93,14.69,0.685,49.06,56483982500.0,27.46,22.7875,48.0975,148887500000.0,1219172500000.0,1152322500000.0,7.6425,50.5725,2021-12-11,0.0
SP500 Interactive Media Mean ,1572.7925,25.6425,27.82,8.2525,7.0325,14.995,3.415,3.57,27.2175,18.1575,22.855,12.05,4.93,14.69,0.685,49.06,56483982500.0,27.46,22.7875,48.0975,148887500000.0,1219172500000.0,1152322500000.0,7.6425,50.5725,2021-12-10,0.0
