symbol,Price,Trailing P/E,Forward P/E,Price/Sales (ttm),Price/Book (mrq),Price/CashFlow,Quick Ratio,Current Ratio,Total Debt to Equity (mrq),Total Debt to Capital,Return on Equity,Return on Assets,Return on Invested Capital (ttm),Book Value/Market Value,Asset Turnover,Inventory Turnover (ttm),EBITDA,Operating Margin,Profit Margin,Gross Margin ttm,Revenue,Market Cap,Enterprise Value,Enterprise Value/Revenue,Enterprise Value/EBITDA,Date,Forward Price/Sales
SP500 Internet & Direct Marketing Retail Mean ,1116.448,78.202,23.34,5.818,12.59,25.702,1.47,2.038,211.612,63.916,24.938,5.454,3.544,11.106,0.852,2.106,13070914000.0,13.792,25.878,53.342,100032000000.0,317570000000.0,324066000000.0,5.798,28.676,2022-02-04,0.0
SP500 Internet & Direct Marketing Retail Mean ,1103.974,77.634,29.05,5.984,16.662,24.864,1.47,2.034,217.374,63.916,24.342,5.68,3.544,11.146,0.844,2.106,13316914000.0,13.968,25.606,51.608,97662000000.0,317666000000.0,323616000000.0,5.866,40.418,2022-01-28,0.0
SP500 Internet & Direct Marketing Retail Mean ,1172.898,81.306,34.372,7.08,20.49,26.62,1.47,2.034,217.374,63.916,24.342,5.544,3.544,10.046,0.844,2.106,13268913999.8,13.44,25.606,51.608,97662000000.0,345512000000.0,351464000000.0,6.806,43.064,2022-01-21,0.0
SP500 Internet & Direct Marketing Retail Mean ,1219.68,82.912,35.646,7.172,20.836,27.572,1.47,2.034,217.374,63.916,24.342,5.544,3.544,9.858,0.844,2.106,13268913999.8,13.44,25.606,51.608,97662000000.0,387512000000.0,393464000000.0,6.896,43.706,2022-01-14,0.0
SP500 Internet & Direct Marketing Retail Mean ,1227.278,82.912,35.646,7.172,20.836,28.862,1.47,2.034,217.374,63.916,24.342,5.544,3.544,9.858,0.844,2.106,13268913999.8,13.44,25.606,51.608,97662000000.0,387512000000.0,393464000000.0,6.896,43.706,2022-01-08,0.0
SP500 Internet & Direct Marketing Retail Mean ,1247.814,82.912,35.646,7.172,20.836,30.004,1.47,2.034,217.374,63.916,24.342,5.544,3.544,9.858,0.844,2.106,13268913999.8,13.44,25.606,51.608,97662000000.0,387512000000.0,393464000000.0,6.896,43.706,2022-01-01,0.0
SP500 Internet & Direct Marketing Retail,1248.27,82.912,35.646,7.172,20.836,29.8057259248513,2.28639151376434,2.034,217.374,260,24.342,5.544,9.81608008488182,9.3264793938208,0.68,2.106,13268914000,13.44,25.606,69.214,82011125000,387512000000,393464000000,6.896,43.706,2021-12-29 00:00:00,0.0
SP500 Internet & Direct Marketing Retail,1255.476,82.912,35.646,7.172,20.836,30.074,1.47,2.034,217.374,63.916,24.342,5.544,3.544,9.858,0.844,2.106,13268913999.8,13.44,25.606,51.608,97662000000,387512000000,393464000000,6.896,43.706,2021-12-23 00:00:00,0.0
SP500 Internet & Direct Marketing Retail,1195.818,82.912,35.646,7.172,20.836,28.522,1.47,2.034,217.374,63.916,24.342,5.544,3.544,9.858,0.844,2.106,13268913999.8,13.44,25.606,51.608,97662000000,387512000000,393464000000,6.896,43.706,2021-12-17 00:00:00,0.0
SP500 Internet & Direct Marketing Retail,1244.356,80.786,36.63,7.174,21.08,30.072,1.47,2.034,217.374,63.916,24.342,5.544,3.544,9.838,0.844,2.106,13268913999.8,13.44,25.606,51.608,97662000000,390850000000,396798000000,6.89,43.96,2021-12-10 00:00:00,0.0
