symbol,Price,Trailing P/E,Forward P/E,Price/Sales (ttm),Price/Book (mrq),Price/CashFlow,Quick Ratio,Current Ratio,Total Debt to Equity (mrq),Total Debt to Capital,Return on Equity,Return on Assets,Return on Invested Capital (ttm),Book Value/Market Value,Asset Turnover,Inventory Turnover (ttm),EBITDA,Operating Margin,Profit Margin,Gross Margin ttm,Revenue,Market Cap,Enterprise Value,Enterprise Value/Revenue,Enterprise Value/EBITDA,Date,Forward Price/Sales
SP500 LifeScienceTools Mean ,323.15125,34.46375,34.675,6.44875,10.39625,29.3925,1.83875,2.00375,114.13125,40.0925,47.7025,7.03625,12.5225,26.3975,0.5925,2.87625,3870333750.0,21.9725,43.405,51.505,13248750000.0,72547500000.0,80431250000.0,6.89125,21.0625,2022-02-05,0.0
SP500 LifeScienceTools Mean ,297.55375,31.29125,32.715,6.01125,12.0425,26.60875,1.83875,2.5225,131.91,40.0925,88.42625,7.505,12.5225,28.2325,0.58875,2.87625,3941113750.0,22.64625,44.25125,47.195,13222500000.0,69416250000.0,74753750000.0,6.44875,19.43,2022-01-28,0.0
SP500 LifeScienceTools Mean ,317.19375,34.75125,37.665,6.875,13.39125,29.0675,1.83875,2.5225,131.91,40.0925,88.42625,7.505,12.5225,23.88375,0.58875,2.87625,3941113750.0,22.64625,44.25125,47.195,13222500000.0,77966250000.0,83305000000.0,7.325,21.6175,2022-01-22,0.0
SP500 LifeScienceTools Mean ,332.88125,35.575,37.99,6.9225,13.4975,30.41125,1.83375,2.5225,131.91,39.96125,88.42625,7.505,10.5525,23.73375,0.58875,2.8775,3941113750.0,22.64625,44.25125,47.195,13222500000.0,78585000000.0,83923750000.0,7.37,21.84875,2022-01-14,0.0
SP500 LifeScienceTools Mean,341.70125,35.575,37.99,6.9225,13.4975,30.33625,1.83375,2.5225,131.91,39.96125,88.42625,7.505,10.5525,23.73375,0.58875,2.8775,3941113750,22.64625,44.25125,47.195,13222500000,78585000000,83923750000,7.37,21.84875,2022-01-08 00:00:00,0.0
SP500 LifeScienceTools Mean,365.98375,35.575,37.99,6.9225,13.4975,31.8225,1.83375,2.5225,131.91,39.96125,88.42625,7.50875,10.5525,23.73375,0.58875,2.8775,3942363750,22.65375,44.25125,47.195,13222500000,78585000000,83923750000,7.37,21.84875,2022-01-01 00:00:00,0.0
SP500 LifeScienceTools Mean,357.7225,35.575,37.99,6.9225,13.4975,31.1275,1.83375,2.5225,131.91,39.96125,88.42625,7.50875,10.5525,23.73375,0.58875,2.8775,3942363750,22.65375,44.25125,47.195,13222500000,78585000000,83923750000,7.37,21.84875,2021-12-23 00:00:00,0.0
SP500 LifeScienceTools Mean ,353.97125,35.575,37.99,6.9225,13.4975,30.79125,1.83375,2.5225,131.4875,40.02625,88.42625,7.46125,10.55375,23.6925,0.58875,2.8775,3934863750.0,22.53375,44.25125,47.195,13222500000.0,78585000000.0,83923750000.0,7.37,21.84875,2021-12-18,0.0
SP500 LifeScienceTools Mean ,353.885,36.6025,38.36375,6.925,13.47125,31.03125,1.8175,2.50875,132.85,40.585,87.9725,7.47,11.76,23.7375,0.59125,2.855,3932363750.0,22.59125,43.8725,46.23125,13200000000.0,77913750000.0,83287499999.875,7.3775,22.18625,2021-12-10,0.0
SP500 LifeScienceTools Mean ,346.63,35.73375,37.60625,6.815,13.19375,7.35,1.8175,0.5725,80.145,40.585,70.9875,3.28125,11.76,23.92625,0.20625,2.855,326502500.0,6.51375,5.19,47.945,1110000000.0,77287500000.0,82662499999.875,7.25875,21.73875,2021-12-03,0.0
