symbol,Price,Trailing P/E,Forward P/E,Price/Sales (ttm),Price/Book (mrq),Price/CashFlow,Quick Ratio,Current Ratio,Total Debt to Equity (mrq),Total Debt to Capital,Return on Equity,Return on Assets,Return on Invested Capital (ttm),Book Value/Market Value,Asset Turnover,Inventory Turnover (ttm),EBITDA,Operating Margin,Profit Margin,Gross Margin ttm,Revenue,Market Cap,Enterprise Value,Enterprise Value/Revenue,Enterprise Value/EBITDA,Date,Forward Price/Sales
S&P 500 Machinery Mean ,172.20125,21.309375,18.15625,2.7475,4.765625,18.580625,1.09125,1.704375,89.24625,53.21875,23.45,7.139375,7.35125,22.355,0.839375,4.880625,2893268750.0,15.83875,11.9875,34.04875,15845000000.0,36578124999.9375,43543124999.9375,3.04625,13.9525,2022-02-05,0.0
S&P 500 Machinery Mean ,173.026875,23.276875,19.296875,2.9375,5.098125,19.135,1.126875,1.95875,86.045,56.47,24.680625,7.598125,8.903125,20.79375,0.839375,4.891875,2918988750.0,16.46875,13.1775,30.60625,15623125000.0,37663749999.9375,44070000000.0,3.201875,15.009375,2022-01-28,0.0
S&P 500 Machinery Mean ,176.56375,25.774375,21.4125,3.2125,5.543125,19.569375,1.126875,1.97625,86.298125,56.47,24.4775,7.619375,8.903125,22.010625,0.8375,4.891875,2919613750.0,16.501875,13.055,30.280625,15610000000.0,40959999999.9375,47745625000.0,3.495,16.62875,2022-01-22,0.0
S&P 500 Machinery Mean ,184.99,26.078125,21.68125,3.235625,5.573125,20.52625,1.126875,1.97625,86.298125,56.47,24.4775,7.619375,8.77125,21.933125,0.8375,4.895625,2919613750.0,16.501875,13.055,30.280625,15610000000.0,40611874999.9375,47379375000.0,3.5175,16.778125,2022-01-15,0.0
S&P 500 Machinery Mean,184.504375,26.078125,21.68125,3.235625,5.573125,20.56125,1.126875,1.97625,86.298125,56.47,24.4775,7.61625,8.77125,21.933125,0.8375,4.895625,2915863750,16.495,13.055,30.280625,15610000000,40611874999.9375,47379375000,3.5175,16.778125,2022-01-08 00:00:00,0.0
S&P 500 Machinery Mean,179.6475,23.068125,19.150625,2.97,5.125625,20.39375,1.126875,1.97625,86.298125,56.47,24.4775,7.58625,8.77125,21.060625,0.833125,4.895625,2915238750,16.501875,13.038125,30.326875,15590625000,39228124999.9375,45916250000,3.23875,15.105625,2022-01-01 00:00:00,0.0
S&P 500 Machinery Mean,175.395,26.078125,21.68125,3.235625,5.573125,19.843125,1.126875,1.97625,86.298125,56.47,24.4775,7.620625,8.77125,21.933125,0.8375,4.895625,2921488750,16.50625,13.053125,30.29,15615625000,40611874999.9375,47379375000,3.5175,16.778125,2021-12-23 00:00:00,0.0
S&P 500 Machinery Mean ,180.114375,26.078125,21.68125,3.235625,5.573125,20.4075,1.126875,1.974375,86.158125,56.47,24.4775,7.633125,8.77125,21.933125,0.8375,4.895625,3006488750.0,16.5425,13.05375,30.571875,15613750000.0,40611874999.9375,47379375000.0,3.5175,16.778125,2021-12-18,0.0
S&P 500 Machinery Mean ,181.158125,25.9025,21.515,3.211875,5.5325,20.51375,1.12875,1.974375,86.158125,56.946875,24.4775,7.633125,8.59875,21.95,0.84,4.861875,3006488750.0,16.5425,13.05375,30.571875,15613750000.0,40436875000.0,47206875000.0,3.49375,16.668125,2021-12-11,0.0
S&P 500 Machinery Mean ,175.00875,24.911875,20.690625,3.090625,5.325625,10.415,1.12875,1.18375,32.651875,56.946875,9.764375,4.20125,8.59875,22.985,0.54375,4.861875,1155375000.0,8.28,5.79,27.88,7158750000.0,38379374999.9375,45148125000.0,3.3625,16.00125,2021-12-04,0.0
S&P 500 Machinery Mean ,183.1475,26.33625,21.816875,3.265,5.66875,20.759375,1.12875,1.974375,86.158125,56.936875,24.4775,7.633125,8.6,21.654375,0.84,4.861875,3006488750.0,16.5425,13.05375,30.571875,15613750000.0,40915000000.0,47688750000.0,3.538125,16.8475,2021-11-28,0.0
S&P 500 Machinery Mean ,183.0275,26.5475,21.965625,3.28375,5.679375,20.830625,1.12875,1.97875,88.951875,56.816875,24.476875,7.61375,8.6175,21.361875,0.83875,4.861875,2903988750.0,16.521875,13.00875,29.868125,15512500000.0,40723125000.0,47495624999.9375,3.568125,17.01625,2021-11-19,0.0
S&P 500 Machinery Mean ,182.350625,26.345,21.71375,3.25,5.6075,20.644375,1.134375,1.97875,88.658125,56.91375,24.476875,7.609375,8.6075,21.328125,0.83875,4.861875,2902738750.0,16.51125,13.00875,29.868125,15512500000.0,40672499999.9375,47400000000.0,3.531875,16.82,2021-11-13,0.0
S&P 500 Machinery Mean ,179.623125,23.696875,21.484375,3.234375,5.588125,19.756875,1.134375,1.9825,89.024375,54.22375,24.483125,7.59,8.966875,21.495625,0.834375,4.861875,2890863750.0,16.5,13.00125,30.005625,15411875000.0,40405624999.9375,47132500000.0,3.360625,15.704375,2021-11-06,0.0
S&P 500 Machinery Mean ,176.866875,26.7525,20.869375,3.18375,5.45875,15.58,1.130625,1.706875,90.834375,56.11875,23.08375,7.37625,8.595,22.048125,0.83375,4.861875,2896426250.0,16.528125,12.913125,30.02625,15408750000.0,39307500000.0,45959375000.0,3.4575,16.693125,2021-10-30,0.0
S&P 500 Machinery Mean ,176.445,26.641875,19.525,3.168125,5.400625,18.101875,1.12875,1.959375,91.275625,56.1975,24.2625,7.465625,8.61,22.136875,0.81875,4.861875,2845465625.0,16.420625,12.998125,30.545625,15145000000.0,38805624999.9375,45475000000.0,3.451875,16.68125,2021-10-23,0.0
S&P 500 Machinery Mean ,172.31375,25.744375,18.899375,3.065625,5.223125,17.618125,1.12875,1.92875,91.994375,56.1975,24.229375,7.435625,8.61,22.785,0.815625,4.861875,2840465625.0,16.42625,12.97375,30.674375,15122500000.0,37749374999.9375,44423749999.875,3.36375,16.259375,2021-10-15,0.0
S&P 500 Machinery Mean ,171.765,26.145625,19.179375,3.110625,5.28375,17.52,1.12875,1.92875,91.994375,56.1975,24.229375,7.435625,8.61,22.58,0.815625,4.861875,2840465625.0,16.42625,12.97375,30.674375,15122500000.0,38142500000.0,44811874999.875,3.40875,16.49125,2021-10-09,0.0
S&P 500 Machinery Mean ,166.96875,26.731875,19.64375,3.181875,5.4125,17.095,1.12875,1.92875,91.994375,56.1975,24.229375,7.435625,8.61,22.369375,0.815625,4.861875,2840465625.0,16.42625,12.97375,30.674375,15122500000.0,38973749999.9375,45643750000.0,3.484375,16.871875,2021-10-02,0.0
S&P 500 Machinery Mean ,174.594375,26.731875,19.64375,3.181875,5.4125,17.96125,1.12875,1.92875,91.994375,56.1975,24.229375,7.435625,8.61,22.369375,0.815625,4.861875,2840465625.0,16.42625,12.97375,30.674375,15122500000.0,38973749999.9375,45643750000.0,3.484375,16.871875,2021-09-25,0.0
S&P 500 Machinery Mean ,175.954375,25.425,16.390625,3.215625,4.505,18.074375,1.12875,1.92875,91.994375,56.1975,24.229375,7.435625,8.61,21.215625,0.815625,4.861875,2840465625.0,16.42625,12.97375,30.674375,15122500000.0,32543749999.9375,36201875000.0,3.51375,15.973125,2021-09-18,0.0
S&P 500 Machinery Mean ,178.235625,27.51625,21.344375,3.27,5.55875,18.309375,1.12875,1.92875,91.994375,56.1975,24.229375,7.433125,8.61,21.876875,0.815625,4.861875,2836746875.0,16.41875,12.97375,30.674375,15122500000.0,40276249999.875,46947500000.0,3.565625,17.27625,2021-09-11,0.0
S&P 500 Machinery Mean ,183.7225,28.079375,23.028125,3.340625,5.698125,18.794375,1.12875,1.92875,91.994375,56.42125,24.229375,7.43875,8.545625,21.47,0.815625,4.861875,2843621875.0,16.43625,12.97375,30.674375,15122500000.0,41158749999.875,47830000000.0,3.635625,17.611875,2021-09-04,0.0
S&P 500 Machinery Mean ,182.830625,27.97,24.69375,3.336875,5.701875,18.63,1.1325,1.925625,91.739375,56.23,24.240625,7.405,7.843125,21.6475,0.815625,4.8625,2800496875.0,16.33125,12.97375,30.66125,15122500000.0,41118750000.0,47789375000.0,3.626875,17.53875,2021-08-27,0.0
