symbol,Price,Trailing P/E,Forward P/E,Price/Sales (ttm),Price/Book (mrq),Price/CashFlow,Quick Ratio,Current Ratio,Total Debt to Equity (mrq),Total Debt to Capital,Return on Equity,Return on Assets,Return on Invested Capital (ttm),Book Value/Market Value,Asset Turnover,Inventory Turnover (ttm),EBITDA,Operating Margin,Profit Margin,Gross Margin ttm,Revenue,Market Cap,Enterprise Value,Enterprise Value/Revenue,Enterprise Value/EBITDA,Date,Forward Price/Sales
SP500 Media Mean ,41.03,18.5,18.1585714285714,1.55142857142857,2.68142857142857,5.76285714285714,1.44857142857143,1.69714285714286,91.4014285714286,45.1185714285714,17.5314285714286,5.18428571428571,7.76428571428571,46.0742857142857,0.558571428571428,8.24571428571429,6724285714.28571,15.02,9.45714285714286,38.13,26570000000.0,46421428571.4286,60657142857.1429,1.76,8.97285714285714,2022-02-05,0.0
SP500 Media Mean ,38.6214285714286,17.64,17.29,1.49,2.58142857142857,5.47142857142857,1.47428571428571,1.67428571428571,91.1942857142857,45.46,17.6171428571429,5.10714285714286,8.76,48.3642857142857,0.554285714285714,11.6485714285714,6698571428.57143,14.8371428571429,9.48857142857143,38.5442857142857,26481428571.4286,44888571428.5714,59020000000.0,1.70285714285714,8.62571428571428,2022-01-28,0.0
SP500 Media Mean ,39.8428571428571,15.4385714285714,15.7714285714286,1.19714285714286,2.26857142857143,5.77285714285714,1.47428571428571,1.7,91.5671428571428,45.46,17.7357142857143,5.08285714285714,8.76,40.4757142857143,0.552857142857143,11.6485714285714,6522857142.85714,14.7828571428571,9.56857142857143,37.8228571428571,26107142857.1429,13727142857.1429,15657142857.1429,1.34714285714286,7.67428571428571,2022-01-21,0.0
SP500 Media Mean ,41.6114285714286,17.6642857142857,17.6285714285714,1.48142857142857,2.59857142857143,6.03285714285714,1.47428571428571,1.7,91.5671428571428,45.46,17.7357142857143,5.08285714285714,8.76,46.6571428571429,0.552857142857143,11.6485714285714,6522857142.85714,14.7828571428571,9.56857142857143,37.8228571428571,26107142857.1429,45350000000,59482857142.8571,1.73285714285714,8.84857142857143,2022-01-14,0.0
SP500 Media Mean,40.7557142857143,17.6642857142857,17.6285714285714,1.48142857142857,2.59857142857143,6.06428571428571,1.47428571428571,1.7,91.5671428571428,45.46,17.7357142857143,5.08285714285714,8.76,46.6571428571429,0.552857142857143,11.6485714285714,6522857142.85714,14.7828571428571,9.56857142857143,37.8228571428571,26107142857.1429,45350000000,59482857142.8571,1.73285714285714,8.84857142857143,2022-01-07 00:00:00,0.0
SP500 Media Mean,39.9471428571429,17.6642857142857,17.6285714285714,1.48142857142857,2.59857142857143,5.98857142857143,1.47428571428571,1.7,91.5671428571428,45.46,17.7357142857143,5.08285714285714,8.76,46.6571428571429,0.552857142857143,11.6485714285714,6522857142.85714,14.7828571428571,9.56857142857143,37.8228571428571,26107142857.1429,45350000000,59482857142.8571,1.73285714285714,8.84857142857143,2022-01-01 00:00:00,0.0
SP500 Media Mean,38.8728571428571,17.6642857142857,17.6285714285714,1.48142857142857,2.59857142857143,5.82142857142857,1.47428571428571,1.7,91.5671428571428,45.46,17.7357142857143,5.08285714285714,8.76,46.6571428571429,0.552857142857143,11.6485714285714,6522857142.85714,14.7828571428571,9.56857142857143,37.8228571428571,26107142857.1429,45350000000,59482857142.8571,1.73285714285714,8.84857142857143,2021-12-23 00:00:00,0.0
SP500 Media Mean,39.0642857142857,17.6642857142857,17.6285714285714,1.48142857142857,2.59857142857143,5.81459432903546,1.6096726951078,1.7,91.5671428571428,67.8571428571429,0.177357142857143,0.0508285714285714,9.46914827972103,46.7541491766147,0.525714285714286,5.85714285714286,6522857142.85714,0.147828571428571,0.0956857142857143,40.2857142857143,24190514285.7143,45350000000,59482857142.8571,1.73285714285714,8.84857142857143,2021-12-17 00:00:00,0.0
SP500 Media Mean,38.3557142857143,17.8928571428571,17.8228571428571,1.49857142857143,2.60571428571428,5.75857142857143,1.47428571428571,1.7,91.5671428571428,45.46,17.7357142857143,5.08285714285714,8.76,46.2542857142857,0.552857142857143,11.6485714285714,6522857142.85714,14.7828571428571,9.56857142857143,37.8228571428571,26107142857.1429,47790000000,61921428571.2857,1.74428571428571,8.90285714285714,2021-12-11 00:00:00,0.0
SP500 Media Mean ,38.3557142857143,17.8928571428571,17.8228571428571,1.49857142857143,2.60571428571428,5.75857142857143,1.47428571428571,1.7,91.5671428571428,45.46,17.7357142857143,5.08285714285714,8.76,46.2542857142857,0.552857142857143,11.6485714285714,6522857142.85714,14.7828571428571,9.56857142857143,37.8228571428571,26107142857.1429,47790000000.0,61921428571.2857,1.74428571428571,8.90285714285714,2021-12-10,0.0
SP500 Media Mean ,38.1271428571429,17.3928571428571,17.3514285714286,1.45857142857143,2.51285714285714,0.801428571428571,1.47428571428571,0.142857142857143,22.2271428571429,45.46,5.76571428571429,0.722857142857143,8.76,47.5357142857143,0.0742857142857143,11.6485714285714,315714285.714286,2.01,1.39857142857143,16.35,2027142857.14286,45378571428.5714,59508571428.5714,1.69857142857143,8.62714285714286,2021-12-03,0.0
SP500 Media Mean ,39.1342857142857,17.8714285714286,17.6885714285714,1.51428571428571,2.58571428571428,5.87714285714286,1.47428571428571,1.7,91.5671428571428,45.46,17.7357142857143,5.08285714285714,8.76,45.43,0.552857142857143,11.6485714285714,6522857142.85714,14.7828571428571,9.56857142857143,37.8228571428571,26107142857.1429,47764285714.2857,61895714285.5714,1.76,8.91142857142857,2021-11-28,0.0
SP500 Media Mean ,39.7514285714286,18.6971428571429,18.46,1.57428571428571,2.68142857142857,6.01285714285714,1.47428571428571,1.7,91.5671428571428,45.46,17.7357142857143,5.08285714285714,8.76,43.5257142857143,0.552857142857143,11.6485714285714,6522857142.85714,14.7828571428571,9.56857142857143,37.8228571428571,26107142857.1429,49517142857.1429,63648571428.4286,1.82142857142857,9.25142857142857,2021-11-19,0.0
SP500 Media Mean ,40.97,18.9085714285714,18.6671428571429,1.59428571428571,2.71571428571428,6.19142857142857,1.48571428571429,1.7,91.5671428571428,45.6142857142857,17.7357142857143,5.08285714285714,8.94285714285714,42.63,0.552857142857143,11.6485714285714,6522857142.85714,14.7828571428571,9.56857142857143,37.8228571428571,26107142857.1429,49701428571.4286,63831428571.2857,1.84285714285714,9.35571428571428,2021-11-12,0.0
SP500 Media Mean ,40.3928571428572,21.8871428571429,18.4271428571429,1.60428571428571,2.67428571428571,5.99,1.47285714285714,1.71142857142857,90.5842857142857,45.5971428571429,17.0271428571429,4.91428571428571,8.95428571428571,43.4414285714286,0.544285714285714,11.6485714285714,6482857142.85714,14.4428571428572,9.13428571428571,38.3685714285714,25998571428.5714,48202857142.8571,62292857142.5714,1.81857142857143,9.81285714285714,2021-11-05,0.0
SP500 Media Mean ,40.3185714285714,22.96,19.3928571428571,1.66857142857143,2.76285714285714,5.89,1.47,1.64428571428571,92.7457142857143,45.6157142857143,18.0585714285714,5.01,8.98857142857143,41.5671428571428,0.54,11.6485714285714,6295714285.71429,14.7657142857143,9.94428571428571,39.0242857142857,25222857142.8571,50528571428.5714,64618571428.5714,1.91,9.89142857142857,2021-10-29,0.0
SP500 Media Mean ,41.9485714285714,22.8785714285714,19.5685714285714,1.69,2.84142857142857,5.12571428571429,1.47,1.5,92.8914285714286,45.5828571428572,14.7357142857143,4.24142857142857,8.96285714285714,41.9628571428571,0.541428571428571,11.6485714285714,6295714285.71429,14.76,9.97714285714286,39.0185714285714,25225714285.7143,49935714285.5714,64038571428.5714,1.90571428571429,9.90285714285714,2021-10-22,0.0
