symbol,Price,Trailing P/E,Forward P/E,Price/Sales (ttm),Price/Book (mrq),Price/CashFlow,Quick Ratio,Current Ratio,Total Debt to Equity (mrq),Total Debt to Capital,Return on Equity,Return on Assets,Return on Invested Capital (ttm),Book Value/Market Value,Asset Turnover,Inventory Turnover (ttm),EBITDA,Operating Margin,Profit Margin,Gross Margin ttm,Revenue,Market Cap,Enterprise Value,Enterprise Value/Revenue,Enterprise Value/EBITDA,Date,Forward Price/Sales
SP500 Metals and Mining Mean ,70.75,14.38,11.9066666666667,2.48,2.78666666666667,7.57666666666667,1.58333333333333,2.55666666666667,35.5966666666667,28.4766666666667,29.3766666666667,14.2466666666667,15.18,38.7233333333333,0.8,4.34333333333333,8870000000.0,30.8833333333333,18.0766666666667,42.8033333333333,23843333333.3333,45883333333.3333,47853333333.3333,2.55333333333333,6.31666666666667,2022-02-05,0.0
SP500 Metals and Mining Mean ,64.8333333333333,15.0566666666667,12.3133333333333,2.54666666666667,2.79333333333333,7.29,1.59666666666667,2.55666666666667,35.5966666666667,28.9733333333333,29.3766666666667,14.2466666666667,5.74333333333333,40.1,0.916666666666667,4.02,8870000000.0,30.8833333333333,18.0766666666667,42.8033333333333,23843333333.3333,44070000000.0,46440000000.0,2.55666666666667,6.55333333333333,2022-01-29,0.0
SP500 Metals and Mining Mean ,69.1233333333333,14.4366666666667,11.7966666666667,2.44333333333333,2.77666666666667,9.09,1.59666666666667,2.56666666666667,37.1333333333333,28.9733333333333,24.5833333333333,11.8233333333333,5.74333333333333,40.4133333333333,0.813333333333333,4.02,7753333333.33333,29.11,16.9966666666667,25.9266666666667,21590000000.0,43256666666.6667,45620000000.0,2.52,6.46333333333333,2022-01-22,0.0
SP500 Metals and Mining Mean ,72.79,14.6933333333333,12.0066666666667,2.48666666666667,2.86666666666667,9.31666666666667,1.59666666666667,2.56666666666667,37.1333333333333,28.9733333333333,24.5833333333333,11.8233333333333,5.74333333333333,38.64,0.813333333333333,4.02,7753333333.33333,29.11,16.9966666666667,25.9266666666667,21590000000.0,44483333333.3333,46846666666.6667,2.56,6.63,2022-01-14,0.0
SP500 Metals and Mining Mean,71.9333333333333,14.6933333333333,12.0066666666667,2.48666666666667,2.86666666666667,8.98,1.59666666666667,2.56666666666667,37.1333333333333,28.9733333333333,24.5833333333333,11.8233333333333,5.74333333333333,38.64,0.813333333333333,4.02,7753333333.33333,29.11,16.9966666666667,25.9266666666667,21590000000,44483333333.3333,46846666666.6667,2.56,6.63,2022-01-08 00:00:00,0.0
SP500 Metals and Mining Mean,72.3533333333333,14.6933333333333,12.0066666666667,2.48666666666667,2.86666666666667,9.16333333333333,1.59666666666667,2.56666666666667,37.1333333333333,28.9733333333333,24.5833333333333,11.8233333333333,5.74333333333333,38.64,0.813333333333333,4.02,7763333333.33333,29.11,16.9966666666667,25.9266666666667,21590000000,44483333333.3333,46846666666.6667,2.56,6.63,2022-01-01 00:00:00,0.0
SP500 Metals and Mining Mean,70.76,14.6933333333333,12.0066666666667,2.48666666666667,2.86666666666667,8.87333333333333,1.59666666666667,2.56666666666667,37.1333333333333,28.9733333333333,24.5833333333333,11.8233333333333,5.74333333333333,38.64,0.813333333333333,4.02,7763333333.33333,29.11,16.9966666666667,25.9266666666667,21590000000,44483333333.3333,46846666666.6667,2.56,6.63,2021-12-23 00:00:00,0.0
SP500 Metals and Mining Mean ,70.3933333333333,14.6933333333333,12.0066666666667,2.48666666666667,2.86666666666667,8.77,1.59666666666667,2.56666666666667,37.1333333333333,28.9733333333333,24.5833333333333,11.8233333333333,5.74333333333333,38.64,0.813333333333333,4.02,7763333333.33333,29.11,16.9966666666667,25.9266666666667,21590000000.0,44483333333.3333,46846666666.6667,2.56,6.63,2021-12-18,0.0
SP500 Metals and Mining Mean ,69.19,14.6633333333333,11.9766666666667,2.48,2.85,8.60666666666667,1.59666666666667,2.56666666666667,37.1333333333333,28.9733333333333,24.5833333333333,11.8233333333333,5.74333333333333,38.9633333333333,0.813333333333333,4.02,7763333333.33333,29.11,16.9966666666667,25.9266666666667,21590000000.0,44273333333.3333,46640000000.0,2.55666666666667,6.60666666666667,2021-12-11,0.0
SP500 Metals and Mining Mean ,65.9766666666667,14.0133333333333,11.4533333333333,2.37,2.73666666666667,5.72333333333333,1.59666666666667,1.72333333333333,23.2366666666667,28.9733333333333,10.5066666666667,5.46,5.74333333333333,40.7166666666667,0.27,4.02,5203333333.33333,21.8933333333333,11.71,35.305,11130000000.0,42443333333.3333,44810000000.0,2.45,6.33,2021-12-04,0.0
SP500 Metals and Mining Mean ,69.97,14.5833333333333,11.9666666666667,2.46333333333333,2.84333333333333,8.64,1.59666666666667,2.56666666666667,37.1333333333333,28.9733333333333,24.5833333333333,11.8233333333333,5.74333333333333,38.6266666666667,0.813333333333333,4.02,7763333333.33333,29.11,16.9966666666667,25.9266666666667,21590000000.0,44130000000.0,46496666666.6667,2.54,6.6,2021-11-29,0.0
SP500 Metals and Mining Mean ,69.22,14.8233333333333,12.2133333333333,2.50666666666667,2.86666666666667,8.65666666666667,1.59666666666667,2.56666666666667,37.1333333333333,28.9733333333333,24.5833333333333,11.8233333333333,5.74333333333333,38.7466666666667,0.813333333333333,4.02,7763333333.33333,29.11,16.9966666666667,25.9266666666667,21590000000.0,44616666666.6667,46983333333.3333,2.58333333333333,6.66,2021-11-20,0.0
SP500 Metals and Mining Mean ,71.04,15.3866666666667,14.0966666666667,2.60333333333333,2.99333333333333,8.94,1.58666666666667,2.56666666666667,37.1333333333333,28.9733333333333,24.5833333333333,11.8233333333333,5.74333333333333,37.3466666666667,0.813333333333333,4.02,7763333333.33333,29.11,16.9966666666667,25.9266666666667,21590000000.0,46463333333.3333,48830000000.0,2.68,6.90666666666667,2021-11-13,0.0
SP500 Metals and Mining Mean ,67.8833333333333,14.5433333333333,13.07,2.45666666666667,2.81333333333333,8.39666666666667,1.59333333333333,2.56666666666667,36.78,28.86,24.5833333333333,11.8166666666667,5.69333333333333,39.37,0.813333333333333,4.02,7753333333.33333,29.05,16.9966666666667,25.9266666666667,21590000000.0,43796666666.6667,46160000000.0,2.53333333333333,6.57,2021-11-06,0.0
SP500 Metals and Mining Mean ,67.47,12.7366666666667,12.61,2.44,2.76666666666667,8.15666666666667,1.66666666666667,2.56666666666667,36.5066666666667,30.6466666666667,25.8266666666667,11.99,5.87666666666667,38.0266666666667,0.816666666666667,4.02,7860000000.0,29.7266666666667,19.1066666666667,25.55,21683333333.3333,43530000000.0,45893333333.3333,2.52,6.04333333333333,2021-10-30,0.0
SP500 Metals and Mining Mean ,65.89,15.9633333333333,12.4933333333333,2.62,3.04,8.18666666666667,1.66666666666667,2.56666666666667,36.5066666666667,30.6466666666667,25.8266666666667,12.1133333333333,5.87666666666667,37.9133333333333,0.816666666666667,4.02,7923333333.33333,30.0566666666667,19.1066666666667,25.55,21683333333.3333,43890000000.0,46259999999.6667,2.71,7.31333333333333,2021-10-23,0.0
SP500 Metals and Mining Mean ,65.3766666666667,14.9733333333333,11.7233333333333,2.45666666666667,2.84333333333333,9.09,1.66666666666667,2.68666666666667,38.7066666666667,30.6466666666667,19.08,9.23333333333333,5.87666666666667,39.7266666666667,0.706666666666667,4.02,6466666666.66667,26.71,16.56,26.84,19140000000.0,41330000000.0,43700000000.0,2.56333333333333,6.94333333333333,2021-10-15,0.0
SP500 Metals and Mining Mean ,62.6266666666667,14.4133333333333,12.0266666666667,2.37666666666667,2.72,8.63,1.66666666666667,2.68666666666667,38.7066666666667,30.6466666666667,19.08,9.23333333333333,5.87666666666667,40.5633333333333,0.706666666666667,4.02,6466666666.66667,26.71,16.56,26.84,19140000000.0,39760000000.0,42123333333.3333,2.47666666666667,6.74,2021-10-09,0.0
