symbol,Price,Trailing P/E,Forward P/E,Price/Sales (ttm),Price/Book (mrq),Price/CashFlow,Quick Ratio,Current Ratio,Total Debt to Equity (mrq),Total Debt to Capital,Return on Equity,Return on Assets,Return on Invested Capital (ttm),Book Value/Market Value,Asset Turnover,Inventory Turnover (ttm),EBITDA,Operating Margin,Profit Margin,Gross Margin ttm,Revenue,Market Cap,Enterprise Value,Enterprise Value/Revenue,Enterprise Value/EBITDA,Date,Forward Price/Sales
SP500 Oil Gas & Consumable Mean ,74.107,27.475,11.9325,2.557,2.7595,6.9915,0.823,0.8695,139.297,44.502,22.019,3.7715,-8.7165,42.6115,0.8245,27.0085,8983816999.95,15.693,8.8695,32.229,49310499999.95,62974999999.95,76340000000.0,3.6,11.4765,2022-02-05,0.0
SP500 Oil Gas & Consumable Mean ,71.865,35.0145,8.9025,1.9455,2.056,9.106,0.9305,1.232,139.331,44.911,19.531,3.8155,-10.479,36.939,0.6465,24.402,7205416999.95,14.643,7.9055,29.2635,42575499999.95,51881999999.95,64000000000.0,2.774,9.4855,2022-01-28,0.0
SP500 Oil Gas & Consumable Mean ,70.0305,37.2735,10.748,2.262,2.4335,8.9525,0.935,1.232,140.187,44.8945,19.251,3.734,-10.412,48.712,0.644,22.2425,7188416999.95,14.415,7.6765,28.5135,42530499999.95,55755999999.95,69808999999.95,3.3,10.916,2022-01-21,0.0
SP500 Oil Gas & Consumable Mean ,69.919,37.0365,10.5475,2.2265,2.3975,9.3945,0.935,1.222,140.156,44.8945,19.2465,3.7325,-10.412,49.901,0.6435,22.2425,7182916999.95,14.513,7.7125,28.3635,42464999999.95,52508999999.95,66561499999.95,3.265,10.7915,2022-01-14,0.0
SP500 Oil Gas & Consumable Mean ,67.15,37.0365,10.5475,2.2265,2.3975,9.011,0.935,1.222,140.156,44.8945,19.2465,3.7325,-10.412,49.901,0.6435,22.2425,7182916999.95,14.513,7.7125,28.3635,42464999999.95,52508999999.95,66561499999.95,3.265,10.7915,2022-01-08,0.0
SP500 Oil Gas & Consumable Mean,61.263,37.0365,10.5475,2.2265,2.3975,8.2765,0.935,1.222,140.156,44.8945,19.2465,3.74,-10.412,49.901,0.6435,22.2425,7186416999.95,14.537,7.7125,28.3635,42464999999.95,52508999999.95,66561499999.95,3.265,10.7915,2022-01-01 00:00:00,0.0
SP500 Oil Gas & Consumable Mean,60.0325,37.0365,10.5475,2.2265,2.3975,8.1475,0.935,1.222,140.156,44.8945,19.2465,3.74,-10.412,49.901,0.6435,22.2425,7186416999.95,14.537,7.7125,28.3635,42464999999.95,52508999999.95,66561499999.95,3.265,10.7915,2021-12-18 00:00:00,0.0
SP500 Oil Gas & Consumable Mean,61.9205,35.0345,9.9795,2.0465,2.2565,8.6905,0.935,1.218,140.1995,44.8945,18.9235,3.583,-10.412,48.1525,0.636,22.2425,7098916999.95,14.101,7.3435,28.602,42309999999.95,49469499999.95,63197500000,3.0395,10.0375,2021-12-10 00:00:00,0.0
SP500 Oil Gas & Consumable Mean,60.7475,30.405,9.747,2.0135,2.149,0.595,0.935,0.0785,6.8465,44.8945,0.1,0.15,-10.412,50.363,0.0145,22.2425,150500000,0.7985,-0.1385,62.99,290500000,49429499999.9,63143999999.95,2.985,10.091,2021-12-03 00:00:00,0.0
SP500 Oil Gas & Consumable Mean,64.1435,37.263,10.696,2.2685,2.433,8.697,0.935,1.222,140.156,44.8945,19.2465,3.7405,-10.412,49.6455,0.643,22.2425,7187416999.95,14.594,7.7365,28.476,42442999999.95,52716999999.95,66770499999.95,3.308,10.8635,2021-11-28 00:00:00,0.0
