symbol,Price,Trailing P/E,Forward P/E,Price/Sales (ttm),Price/Book (mrq),Price/CashFlow,Quick Ratio,Current Ratio,Total Debt to Equity (mrq),Total Debt to Capital,Return on Equity,Return on Assets,Return on Invested Capital (ttm),Book Value/Market Value,Asset Turnover,Inventory Turnover (ttm),EBITDA,Operating Margin,Profit Margin,Gross Margin ttm,Revenue,Market Cap,Enterprise Value,Enterprise Value/Revenue,Enterprise Value/EBITDA,Date,Forward Price/Sales
SP500 Pharmaceuticals Mean ,119.32375,37.12625,19.13875,5.2275,9.41625,19.455,1.39,1.68625,102.91625,42.535,31.32875,6.3275,6.05,25.42125,0.5875,3.445,14136937500.0,24.68,16.96375,57.02,38380000000.0,181067500000.0,191021250000.0,5.6525,20.00625,2022-02-05,0.0
SP500 Pharmaceuticals Mean ,115.95,36.46125,18.605,5.0975,9.1525,19.62625,1.51875,1.9625,103.46625,46.605,27.48375,6.9,7.82625,27.7625,0.51875,3.1525,14318187500.0,25.20625,13.69,56.83,38227499999.875,177713750000.0,187581250000.0,5.4925,19.4575,2022-01-28,0.0
SP500 Pharmaceuticals Mean ,118.935,39.2725,20.425,5.55625,9.865,22.56,1.51875,2.13,103.46625,46.605,26.8925,7.97375,7.82625,27.85375,0.5175,3.1525,14265687500.0,25.22,13.35125,55.72625,37936249999.875,179545000000.0,189412500000.0,5.94,20.2725,2022-01-22,0.0
SP500 Pharmaceuticals Mean ,122.06125,38.92625,20.49875,5.49375,9.78125,23.2725,1.51875,2.13,103.46625,46.605,26.8925,7.97375,7.82625,28.17125,0.5175,3.1525,14265687500.0,25.22,13.35125,55.72625,37936249999.875,176165000000.0,186035000000.0,5.88,20.0675,2022-01-14,0.0
SP500 Pharmaceuticals Mean,125.0875,38.92625,20.49875,5.49375,9.78125,23.98125,1.51875,2.13,103.46625,46.605,26.8925,7.97375,7.82625,28.17125,0.5175,3.1525,14265687500,25.22,13.35125,55.72625,37936249999.875,176165000000,186035000000,5.88,20.0675,2022-01-08 00:00:00,0.0
SP500 Pharmaceuticals Mean,132.55125,38.92625,20.49875,5.49375,9.78125,25.58875,1.51875,2.13,103.46625,46.605,26.8925,7.97375,7.82625,28.17125,0.5175,3.1525,14265687500,25.22,13.35125,55.72625,37936249999.875,176165000000,186035000000,5.88,20.0675,2022-01-01 00:00:00,0.0
SP500 Pharmaceuticals Mean,129.7125,38.92625,20.49875,5.49375,9.78125,25.06625,1.51875,2.13,103.46625,46.605,26.8925,7.97375,7.82625,28.17125,0.5175,3.1525,14265687500,25.22,13.35125,55.72625,37936249999.875,176165000000,186035000000,5.88,20.0675,2021-12-23 00:00:00,0.0
SP500 Pharmaceuticals Mean ,131.01625,38.92625,20.49875,5.49375,9.78125,25.15875,1.51875,2.13,103.46625,46.605,26.8925,7.97375,7.82625,28.17125,0.5175,3.1525,14265687500.0,25.22,13.35125,55.72625,37936249999.875,176165000000.0,186035000000.0,5.88,20.0675,2021-12-18,0.0
SP500 Pharmaceuticals Mean ,122.735,38.90625,20.475,5.48125,9.75,23.8525,1.51875,2.13,103.46625,46.605,26.8925,7.97375,7.82625,28.14125,0.5175,3.1525,14265687500.0,25.22,13.35125,55.72625,37936249999.875,175821250000.0,185691250000.0,5.86625,20.04375,2021-12-10,0.0
SP500 Pharmaceuticals Mean ,121.7475,39.02125,20.46,5.47625,9.83875,10.15,1.51875,0.73,44.9725,46.605,17.5,2.95,7.82625,27.8725,0.1575,3.1525,1600000000.0,8.1875,5.94125,64.775,4422500000.0,174635000000.0,184476249999.875,5.84125,20.015,2021-12-03,0.0
SP500 Pharmaceuticals Mean ,125.47625,39.5625,20.91125,5.59125,10.0475,24.4925,1.51875,2.13,103.46625,46.605,26.8925,7.98125,7.82625,27.25125,0.5175,3.1525,14288187500.0,25.25375,13.35125,55.72625,37936249999.875,179930000000.0,189802499999.875,5.98125,20.5175,2021-11-28,0.0
SP500 Pharmaceuticals Mean ,126.6625,36.49625,19.32875,5.0075,9.3075,24.69375,1.28,2.13625,103.44625,42.315,26.92625,7.98875,7.06,21.105,0.51625,3.1525,14180687500.0,25.215,13.3975,55.915,37653749999.875,126255000000.0,135757500000.0,5.40125,18.77375,2021-11-19,0.0
SP500 Pharmaceuticals Mean ,125.4525,36.55,19.485,5.44375,9.89625,29.31875,1.18875,1.9725,103.36,42.7625,23.635,7.0275,7.1725,10.99625,0.5175,3.1525,14306612500.0,25.4,13.10875,55.76125,37931249999.875,178642500000.0,189243750000.0,5.815,18.895,2021-11-12,0.0
SP500 Pharmaceuticals Mean ,127.7675,35.6825,17.08,4.935,9.33375,29.875,0.955,1.69,104.5625,34.0575,23.2275,6.17,3.55,20.7775,0.5025,3.1525,13414612500.0,24.88625,12.51125,57.65375,36155000000.0,173624999999.875,185144999999.75,5.38375,27.225,2021-11-06,0.0
SP500 Pharmaceuticals Mean ,124.485,41.25125,21.4125,5.6425,10.74625,30.1325,1.03875,1.695,104.865,42.75625,22.52875,6.48375,6.6425,23.80375,0.4975,3.1525,13083362500.0,24.45875,12.24,58.2475,35740000000.0,171513750000.0,183389999999.875,6.07125,28.695,2021-10-30,0.0
SP500 Pharmaceuticals Mean ,121.64125,40.10375,20.74,5.46125,10.35375,29.61125,1.16875,1.67625,109.07875,46.8175,24.8775,6.42125,8.43875,26.425,0.49375,3.1525,13009612500.0,24.33625,12.39,58.57875,35611250000.0,165863750000.0,178018750000.0,5.955,27.56625,2021-10-23,0.0
SP500 Pharmaceuticals Mean ,118.6625,40.02,20.635,5.4325,10.23875,30.98125,1.16875,1.85,109.07875,46.8175,28.22875,7.5025,8.43875,26.1525,0.4925,3.1525,12929612500.0,24.325,12.43625,58.7675,35328750000.0,166603750000.0,178760000000.0,5.9175,27.57375,2021-10-15,0.0
