symbol,Price,Trailing P/E,Forward P/E,Price/Sales (ttm),Price/Book (mrq),Price/CashFlow,Quick Ratio,Current Ratio,Total Debt to Equity (mrq),Total Debt to Capital,Return on Equity,Return on Assets,Return on Invested Capital (ttm),Book Value/Market Value,Asset Turnover,Inventory Turnover (ttm),EBITDA,Operating Margin,Profit Margin,Gross Margin ttm,Revenue,Market Cap,Enterprise Value,Enterprise Value/Revenue,Enterprise Value/EBITDA,Date,Forward Price/Sales
S&P 500 Professional Services Mean ,136.358,29.522,22.562,5.8,6.798,17.752,0.88,0.88,107.388,42.04,22.862,4.858,6.466,10.326,0.804,0.0,1301770000.0,22.06,17.146,54.15,5054000000.0,24126000000.0,26298000000.0,6.328,17.304,2022-02-05,0.0
S&P 500 Professional Services Mean ,130.724,32.774,17.662,3.88,7.038,16.998,0.982,0.88,107.388,45.422,22.862,4.858,6.496,20.05,0.866,0.0,1301770000.0,22.06,17.146,54.15,5054000000.0,24274000000.0,27541999999.8,6.45,18.522,2022-01-28,0.0
S&P 500 Professional Services Mean ,134.536,50.708,24.136,6.592,6.396,23.234,1.01,1.336,108.622,46.494,20.474,7.67,6.31,15.142,0.828,0.0,1262012000.0,21.526,14.57,51.594,4948000000.0,26586000000.0,29964000000.0,7.26,19.926,2022-01-22,0.0
S&P 500 Professional Services Mean ,142.786,55.39,28.226,7.002,8.25,24.462,1.01,1.336,108.622,46.494,20.474,7.67,6.31,17.306,0.828,0.0,1262012000.0,21.526,14.57,51.594,4948000000.0,29026000000.0,32330000000.0,7.654,23.356,2022-01-15,0.0
S&P 500 Professional Services Mean,150.654,55.39,28.226,7.002,8.25,25.462,1.01,1.336,108.622,46.494,20.474,7.67,6.31,17.306,0.828,0,1262012000,21.526,14.57,51.594,4948000000,29026000000,32330000000,7.654,23.356,2022-01-08 00:00:00,0.0
S&P 500 Professional Services Mean,156.806,55.39,28.226,7.002,8.25,26.34,1.01,1.336,108.622,46.494,20.474,7.67,6.31,17.306,0.828,0,1262012000,21.526,14.57,51.594,4948000000,29026000000,32330000000,7.654,23.356,2022-01-01 00:00:00,0.0
S&P 500 Professional Services Mean,153.766,55.39,28.226,7.002,8.25,25.944,1.01,1.336,108.622,46.494,20.474,7.67,6.31,17.306,0.828,0,1262012000,21.526,14.57,51.594,4948000000,29026000000,32330000000,7.654,23.356,2021-12-23 00:00:00,0.0
S&P 500 Professional Services Mean ,156.236,55.39,28.226,7.002,8.25,26.224,1.01,1.336,108.622,46.494,20.474,7.67,6.31,17.306,0.828,0.0,1262012000.0,21.526,14.57,51.594,4948000000.0,29026000000.0,32330000000.0,7.654,23.356,2021-12-18,0.0
S&P 500 Professional Services Mean ,155.262,54.312,27.778,6.896,8.152,26.04,1.01,1.336,108.622,46.494,20.474,7.67,6.31,17.712,0.828,0.0,1262012000.0,21.526,14.57,51.594,4948000000.0,28534000000.0,31842000000.0,7.55,23.014,2021-12-11,0.0
S&P 500 Professional Services Mean ,155.482,53.582,27.496,6.834,8.052,18.546,1.01,1.076,96.954,46.494,19.06,6.798,6.31,18.294,0.772,0.0,914012000.0,16.548,11.864,49.7875,4030000000.0,27830000000.0,31136000000.0,7.38,22.536,2021-12-04,0.0
S&P 500 Professional Services Mean ,156.254,41.938,25.454,6.636,7.71,26.446,1.01,1.336,108.622,46.494,20.474,7.67,6.31,9.116,0.828,0.0,1262012000.0,21.526,14.57,51.594,4948000000.0,26912000000.0,29124000000.0,7.122,21.218,2021-11-28,0.0
S&P 500 Professional Services Mean ,156.838,55.388,28.188,6.944,8.298,26.426,1.01,1.336,108.622,46.494,20.474,7.67,6.31,17.094,0.828,0.0,1262012000.0,21.526,14.57,51.594,4948000000.0,28830000000.0,32132000000.0,7.596,23.35,2021-11-19,0.0
