symbol,Price,Trailing P/E,Forward P/E,Price/Sales (ttm),Price/Book (mrq),Price/CashFlow,Quick Ratio,Current Ratio,Total Debt to Equity (mrq),Total Debt to Capital,Return on Equity,Return on Assets,Return on Invested Capital (ttm),Book Value/Market Value,Asset Turnover,Inventory Turnover (ttm),EBITDA,Operating Margin,Profit Margin,Gross Margin ttm,Revenue,Market Cap,Enterprise Value,Enterprise Value/Revenue,Enterprise Value/EBITDA,Date,Forward Price/Sales
SP500 Regulated Electric Mean ,75.90875,22.175,18.52375,2.971875,2.133125,3.94625,0.520625,0.910625,147.2875,58.585625,13.23,3.19375,4.14625,45.54125,0.310625,14.321875,4660625000.0,21.430625,11.4975,40.671875,12742500000.0,37526250000.0,61158125000.0,4.803125,12.09875,2022-02-05,0.0
SP500 Regulated Electric Mean ,74.57875,23.015625,19.27625,2.9925,2.2475,4.321875,0.54625,0.864375,147.830625,58.8475,13.36375,3.258125,4.583125,48.92625,0.29625,12.8575,4681875000.0,21.9,11.135625,42.071875,12723125000.0,37555625000.0,62290000000.0,4.889375,12.613125,2022-01-29,0.0
SP500 Regulated Electric Mean ,75.580625,25.264375,19.599375,3.136875,2.29875,5.395625,0.54375,0.909375,148.060625,58.8475,13.2225,3.405,4.583125,48.848125,0.295,12.8575,4660000000.0,21.8625,10.738125,43.056875,12656875000.0,39532500000.0,64295625000.0,5.043125,13.345625,2022-01-22,0.0
SP500 Regulated Electric Mean,76.61875,22.845625,17.21625,2.815,2.090625,5.488125,0.54375,0.909375,148.060625,58.8475,13.2225,3.405,4.583125,40.803125,0.295,12.8425,4660000000,21.8625,10.738125,43.056875,12656875000,37176875000,60255000000,4.469375,11.855,2022-01-15 00:00:00,0.0
SP500 Regulated Electric Mean,76.515,25.264375,19.599375,3.136875,2.29875,5.428125,0.54375,0.909375,148.060625,58.8475,13.2225,3.405,4.583125,48.848125,0.295,12.8425,4660000000,21.8625,10.738125,43.056875,12656875000,39532500000,64295625000,5.043125,13.345625,2022-01-08 00:00:00,0.0
SP500 Regulated Electric Mean,77.6375,23.811875,18.46125,2.94375,2.14875,5.22625,0.54375,0.899375,147.993125,58.8475,13.2475,3.411875,4.583125,46.221875,0.295,12.8425,4657500000,21.881875,10.744375,43.154375,12648750000,35221875000,56685625000,4.704375,12.520625,2022-01-01 00:00:00,0.0
SP500 Regulated Electric Mean,76.039375,19.0675,16.22,2.2,1.843125,5.67625,0.54375,0.90375,147.836875,58.8475,13.348125,3.426875,4.583125,44.930625,0.295,12.8425,4700625000,22.08375,11.021875,43.031875,12676249999.9375,27540000000,48426875000,3.7725,10.260625,2021-12-23 00:00:00,0.0
SP500 Regulated Electric Mean,77.206875,25.264375,19.599375,3.136875,2.29875,5.196875,0.54375,0.909375,148.060625,58.8475,13.2225,3.405,4.583125,48.848125,0.295,12.8425,4660000000,21.86375,10.738125,43.056875,12656875000,39532500000,64295625000,5.043125,13.345625,2021-12-18 00:00:00,0.0
SP500 Regulated Electric Mean ,74.350625,19.54125,14.7875,2.36375,1.779375,5.018125,0.54375,0.87125,149.256875,58.8475,13.214375,3.411875,4.583125,36.209375,0.293125,12.8425,4675000000.0,22.05125,10.8325,43.36875,12566250000.0,29648750000.0,47628750000.0,3.805625,10.509375,2021-12-11,0.0
SP500 Regulated Electric Mean ,71.83875,24.306875,18.795625,3.0175,2.200625,5.88,0.54375,0.37125,71.81625,58.8475,4.34375,1.263125,4.583125,51.329375,0.0975,12.8425,2815625000.0,10.7025,6.718125,46.455,6984375000.0,37815625000.0,62578124999.9375,4.900625,12.964375,2021-12-04,0.0
SP500 Regulated Electric Mean ,73.075625,21.488125,16.72625,2.67375,1.989375,4.691875,0.54375,0.906875,148.076875,58.8475,13.264375,3.42625,4.583125,43.23625,0.294375,12.8425,4694375000.0,22.061875,10.805625,43.13375,12618750000.0,32777500000.0,53843750000.0,4.38875,11.864375,2021-11-29,0.0
