symbol,Price,Trailing P/E,Forward P/E,Price/Sales (ttm),Price/Book (mrq),Price/CashFlow,Quick Ratio,Current Ratio,Total Debt to Equity (mrq),Total Debt to Capital,Return on Equity,Return on Assets,Return on Invested Capital (ttm),Book Value/Market Value,Asset Turnover,Inventory Turnover (ttm),EBITDA,Operating Margin,Profit Margin,Gross Margin ttm,Revenue,Market Cap,Enterprise Value,Enterprise Value/Revenue,Enterprise Value/EBITDA,Date,Forward Price/Sales
SP500 Regulated Water Mean ,157.51,37.5,35.34,7.38,4.16,19.45,0.39,0.86,162.74,61.8,11.41,3.29,0.0,24.03,0.16,49.01,1940000000.0,33.57,19.55,55.13,3900000000.0,28590000000.0,39690000000.0,10.17,21.25,2022-02-05,0.0
SP500 Regulated Water Mean ,156.15,37.04,34.97,7.29,4.11,19.28,0.39,0.86,162.74,61.8,11.41,3.29,0.0,24.33,0.16,49.01,1940000000.0,33.57,19.55,55.13,3900000000.0,28240000000.0,39330000000.0,10.08,21.05,2022-01-29,0.0
SP500 Regulated Water Mean ,162.7,41.94,39.53,8.25,4.66,20.09,0.39,0.86,162.74,61.8,11.41,3.29,0.0,21.48,0.16,49.01,1940000000.0,33.57,19.55,55.13,3900000000.0,31980000000.0,43070000000.0,11.04,23.06,2022-01-22,0.0
SP500 Regulated Water Mean,168.09,41.94,39.53,8.25,4.66,20.76,0.39,0.86,162.74,61.8,11.41,3.29,0,21.48,0.16,49.01,1940000000,33.57,19.55,55.13,3900000000,31980000000,43070000000,11.04,23.06,2022-01-15 00:00:00,0.0
SP500 Regulated Water Mean,175.3,41.94,39.53,8.25,4.66,21.65,0.39,0.86,162.74,61.8,11.41,3.29,0,21.48,0.16,49.01,1940000000,33.57,19.55,55.13,3900000000,31980000000,43070000000,11.04,23.06,2022-01-08 00:00:00,0.0
SP500 Regulated Water Mean,188.03,41.94,39.53,8.25,4.66,23.22,0.39,0.86,162.74,61.8,11.41,3.29,0,21.48,0.16,49.01,1940000000,33.57,19.55,55.13,3900000000,31980000000,43070000000,11.04,23.06,2022-01-01 00:00:00,0.0
SP500 Regulated Water Mean,183.37,41.94,39.53,8.25,4.66,22.65,0.39,0.86,162.74,61.8,11.41,3.29,0,21.48,0.16,49.01,1940000000,33.57,19.55,55.13,3900000000,31980000000,43070000000,11.04,23.06,2021-12-23 00:00:00,0.0
SP500 Regulated Water Mean,182.93,41.94,39.53,8.25,4.66,22.59,0.39,0.86,162.74,61.8,11.41,3.29,0,21.48,0.16,49.01,1940000000,33.57,19.55,55.13,3900000000,31980000000,43070000000,11.04,23.06,2021-12-18 00:00:00,0.0
SP500 Regulated Water Mean ,175.82,0.0,0.0,0.0,0.0,22.47,0.39,0.92,165.79,61.8,11.5,3.36,0.0,0.0,0.16,49.01,1940000000.0,33.89,19.26,55.27,3890000000.0,0.0,0.0,0.0,0.0,2021-12-11,0.0
SP500 Regulated Water Mean ,170.37,39.95,37.17,7.86,4.44,21.04,0.39,0.86,162.74,61.8,11.41,3.29,0.0,22.55,0.16,49.01,1940000000.0,33.57,19.55,55.13,3900000000.0,30460000000.0,41550000000.0,10.65,22.25,2021-12-04,0.0
