symbol,Price,Trailing P/E,Forward P/E,Price/Sales (ttm),Price/Book (mrq),Price/CashFlow,Quick Ratio,Current Ratio,Total Debt to Equity (mrq),Total Debt to Capital,Return on Equity,Return on Assets,Return on Invested Capital (ttm),Book Value/Market Value,Asset Turnover,Inventory Turnover (ttm),EBITDA,Operating Margin,Profit Margin,Gross Margin ttm,Revenue,Market Cap,Enterprise Value,Enterprise Value/Revenue,Enterprise Value/EBITDA,Date,Forward Price/Sales
S&P 500 Road and Rail Mean ,215.148,26.374,23.136,5.732,7.68,9.604,1.058,1.506,97.436,39.43,29.524,10.748,0.0,14.116,0.818,204.972,5398000000.0,31.772,22.604,43.182,12578000000.0,73030000000.0,84538000000.0,6.434,18.098,2022-02-05,0.0
S&P 500 Road and Rail Mean ,204.398,26.254,22.328,5.658,7.554,15.32,1.114,1.388,98.852,39.332,29.356,10.544,2.064,14.732,0.802,204.364,5374000000.0,31.654,22.512,41.512,12510000000.0,70336000000.0,81744000000.0,6.234,16.838,2022-01-28,0.0
S&P 500 Road and Rail Mean ,212.784,29.158,24.578,6.284,8.246,13.0,1.322,1.096,99.25,39.936,29.244,8.922,4.356,13.496,0.844,89.97,5360000000.0,31.774,22.486,39.93,12454000000.0,74078000000.0,85530000000.0,6.878,18.504,2022-01-22,0.0
S&P 500 Road and Rail Mean ,219.288,30.038,24.764,6.36,8.372,20.354,1.322,1.474,101.618,39.936,28.288,10.286,4.356,13.384,0.812,89.97,5250000000.0,31.924,22.28,37.792,12064000000.0,74702000000.0,86116000000.0,6.952,17.308,2022-01-15,0.0
S&P 500 Road and Rail Mean,226.396,30.038,24.764,6.36,8.372,21.06,1.322,1.474,101.618,39.936,28.288,10.286,4.356,13.384,0.812,89.97,5250000000,31.924,22.28,37.792,12064000000,74702000000,86116000000,6.952,17.308,2022-01-08 00:00:00,0.0
S&P 500 Road and Rail Mean,228.318,25.054,20.536,5.022,7.358,21.268,1.322,1.474,101.618,39.936,28.288,10.286,4.356,9.442,0.812,89.97,5250000000,31.924,22.28,37.792,12064000000,60610000000,69552000000,5.428,14.334,2022-01-01 00:00:00,0.0
S&P 500 Road and Rail Mean,220.626,30.038,24.764,6.36,8.372,20.542,1.322,1.474,101.618,39.936,28.288,10.286,4.356,13.384,0.812,89.97,5250000000,31.924,22.28,37.792,12064000000,74702000000,86116000000,6.952,17.308,2021-12-23 00:00:00,0.0
S&P 500 Road and Rail Mean ,224.376,30.038,24.764,6.36,8.372,20.884,1.322,1.474,101.618,39.936,28.288,10.286,4.356,13.384,0.812,89.97,5250000000.0,31.924,22.28,37.792,12064000000.0,74702000000.0,86116000000.0,6.952,17.308,2021-12-18,0.0
S&P 500 Road and Rail Mean ,236.876666666667,61.0583333333333,16.21,4.31666666666667,5.25833333333333,21.7266666666667,1.19833333333333,1.34833333333333,99.7416666666667,41.5166666666667,23.9366666666667,9.70833333333333,5.30333333333333,8.94166666666667,0.725,76.57,4625000000.0,33.175,19.1216666666667,39.625,10535000000.0,47955000000.0,56046666666.6667,4.885,14.4716666666667,2021-12-11,0.0
S&P 500 Road and Rail Mean ,232.06,70.5933333333333,24.735,6.62166666666667,7.835,11.61,1.19833333333333,0.81,58.9183333333333,41.5166666666667,16.0566666666667,5.80166666666667,5.30333333333333,14.1316666666667,0.303333333333333,76.57,3200000000.0,18.4916666666667,13.1116666666667,44.0433333333333,6341666666.66667,64248333333.3333,74325000000.0,7.32166666666667,20.8166666666667,2021-12-04,0.0
S&P 500 Road and Rail Mean ,237.308333333333,71.8766666666667,25.42,6.71833333333333,7.995,21.6683333333333,1.19833333333333,1.34833333333333,99.7416666666667,41.5166666666667,23.9366666666667,9.70833333333333,5.30333333333333,13.8466666666667,0.725,76.57,4625000000.0,33.175,19.1216666666667,39.625,10535000000.0,64893333333.1667,74968333333.3333,7.405,21.145,2021-11-28,0.0
S&P 500 Road and Rail Mean ,234.408333333333,73.4183333333333,25.6466666666667,6.77333333333333,8.04833333333333,21.42,1.19833333333333,1.34833333333333,99.7416666666667,41.5166666666667,23.9366666666667,9.70833333333333,5.30333333333333,13.8,0.725,76.57,4625000000.0,33.175,19.1216666666667,39.625,10535000000.0,64991666666.5,75066666666.6667,7.465,21.38,2021-11-19,0.0
S&P 500 Road and Rail Mean ,234.35,73.8016666666667,25.8083333333333,6.74333333333333,7.97833333333333,21.3383333333333,0.995,1.34833333333333,99.7416666666667,41.5166666666667,23.9366666666667,9.70833333333333,5.30333333333333,13.86,0.725,76.57,4625000000.0,33.175,19.1216666666667,39.625,10535000000.0,64765000000.0,74840000000.0,7.43333333333333,21.2816666666667,2021-11-13,0.0
S&P 500 Road and Rail Mean ,236.073333333333,73.9283333333333,25.955,6.78666666666667,8.01,21.4916666666667,1.23833333333333,1.34833333333333,99.7416666666667,42.43,23.9366666666667,9.70833333333333,5.28166666666667,13.7966666666667,0.725,76.57,4625000000.0,33.175,19.1216666666667,39.625,10535000000.0,65161666666.6667,75235000000.0,7.47333333333333,21.365,2021-11-06,0.0
S&P 500 Road and Rail Mean ,235.75,73.0583333333333,25.8383333333333,6.745,7.95166666666667,12.7316666666667,1.15333333333333,1.34833333333333,97.99,42.225,23.9366666666667,9.72833333333333,5.31333333333333,13.8366666666667,0.725,76.57,4626666666.66667,33.1816666666667,19.1216666666667,39.625,10535000000.0,65298333333.3333,75371666666.6667,7.445,23.4483333333333,2021-10-30,0.0
S&P 500 Road and Rail Mean ,227.28,72.4516666666667,24.73,6.64333333333333,7.55166666666667,19.205,1.33666666666667,1.395,97.6183333333333,42.4,23.3983333333333,9.47333333333333,5.29,14.3166666666667,0.708333333333333,76.57,4561666666.66667,32.8583333333333,18.9083333333333,40.2233333333333,10421666666.6667,63239999999.8333,73083333333.3333,7.32,22.2733333333333,2021-10-23,0.0
S&P 500 Road and Rail Mean ,214.625,59.1466666666667,23.025,6.37833333333333,7.125,21.4816666666667,1.38833333333333,1.575,97.4766666666667,42.5516666666667,22.725,9.21333333333333,5.29,15.19,0.683333333333333,76.57,4428333333.33333,32.8016666666667,18.9183333333333,41.3416666666667,10083333333.3333,59251666666.5,69043333333.3333,7.1,19.8416666666667,2021-10-15,0.0
S&P 500 Road and Rail Mean ,208.846666666667,58.4083333333333,22.7616666666667,6.27333333333333,7.04,20.9383333333333,1.38833333333333,1.575,97.4766666666667,42.5516666666667,22.725,9.21333333333333,5.29,15.4616666666667,0.683333333333333,76.57,4428333333.33333,32.8016666666667,18.9183333333333,41.3416666666667,10083333333.3333,57950000000.0,67741666666.6667,6.995,19.635,2021-10-09,0.0
S&P 500 Road and Rail Mean ,198.14,57.7066666666667,22.3483333333333,6.14,6.88666666666667,19.8983333333333,1.38833333333333,1.575,97.4766666666667,42.5516666666667,22.725,9.21333333333333,5.29,15.7733333333333,0.683333333333333,76.57,4428333333.33333,32.8016666666667,18.9183333333333,41.3416666666667,10083333333.3333,56395000000.0,66186666666.6667,6.88333333333333,19.3916666666667,2021-10-02,0.0
S&P 500 Road and Rail Mean ,202.713333333333,57.7066666666667,22.3483333333333,6.14,6.88666666666667,20.3966666666667,1.38833333333333,1.575,97.4766666666667,42.5516666666667,22.725,9.21333333333333,5.29,15.7733333333333,0.683333333333333,76.57,4428333333.33333,32.8016666666667,18.9183333333333,41.3416666666667,10083333333.3333,56395000000.0,66186666666.6667,6.88333333333333,19.3916666666667,2021-09-25,0.0
S&P 500 Road and Rail Mean ,204.151666666667,58.2483333333333,22.585,6.19333333333333,6.96166666666667,20.4883333333333,1.38833333333333,1.575,97.4766666666667,42.5516666666667,22.725,9.21333333333333,5.29,15.6616666666667,0.683333333333333,76.57,4428333333.33333,32.8016666666667,18.9183333333333,41.3416666666667,10083333333.3333,56604999999.8333,66400000000.0,6.915,19.5216666666667,2021-09-18,0.0
S&P 500 Road and Rail Mean ,205.83,60.0033333333333,18.3566666666667,6.33,7.09666666666667,20.645,1.38833333333333,1.575,97.4766666666667,42.5516666666667,22.725,9.21333333333333,5.29,15.395,0.683333333333333,76.57,4428333333.33333,32.8016666666667,18.9183333333333,41.3416666666667,10083333333.3333,57991666666.5,67785000000.0,7.05,19.8966666666667,2021-09-11,0.0
S&P 500 Road and Rail Mean ,213.755,59.0383333333333,25.4716666666667,6.36166666666667,7.16833333333333,21.4516666666667,1.38833333333333,1.575,97.4766666666667,42.5516666666667,22.725,9.21333333333333,5.29,15.2083333333333,0.683333333333333,76.57,4428333333.33333,32.8016666666667,18.9183333333333,41.3416666666667,10083333333.3333,59215000000.0,69004999999.8333,7.08333333333333,19.8783333333333,2021-09-04,0.0
S&P 500 Road and Rail Mean ,211.178333333333,60.7966666666667,26.6716666666667,6.5,7.26333333333333,21.155,1.38833333333333,1.575,97.4766666666667,42.5516666666667,22.725,9.21333333333333,5.29,14.93,0.683333333333333,76.57,4428333333.33333,32.8016666666667,18.9183333333333,41.3416666666667,10083333333.3333,60428333333.0,70220000000.0,7.21166666666667,20.19,2021-08-27,0.0
S&P 500 Road and Rail Mean ,210.278333333333,60.3933333333333,26.535,6.49166666666667,7.23666666666667,21.0383333333333,1.38833333333333,1.575,97.4766666666667,42.5516666666667,22.725,9.21333333333333,5.29,14.9383333333333,0.683333333333333,76.57,4428333333.33333,32.8016666666667,18.9183333333333,41.3416666666667,10083333333.3333,60739999999.8333,70531666666.6667,7.21,20.1016666666667,2021-08-20,0.0
S&P 500 Road and Rail Mean ,212.551666666667,60.6416666666667,26.6483333333333,6.52333333333333,7.26666666666667,21.245,1.38833333333333,1.575,97.4766666666667,42.5516666666667,22.725,9.21333333333333,5.29,14.8416666666667,0.683333333333333,76.57,4428333333.33333,32.8016666666667,18.9183333333333,41.3416666666667,10083333333.3333,61240000000.0,71033333333.3333,7.23833333333333,20.1633333333333,2021-08-13,0.0
S&P 500 Road and Rail Mean ,202.578333333333,57.2033333333333,25.7,6.22166666666667,6.97666666666667,14.5883333333333,1.18166666666667,1.575,97.4766666666667,42.5516666666667,22.725,9.21333333333333,5.29,15.5616666666667,0.683333333333333,76.57,4428333333.33333,32.8016666666667,18.9183333333333,41.3416666666667,10083333333.3333,58680000000.0,68470000000.0,6.945,20.1416666666667,2021-08-07,0.0
S&P 500 Road and Rail Mean ,200.811666666667,56.1883333333333,25.64,6.17,6.93166666666667,11.9333333333333,1.31833333333333,1.575,96.5666666666667,41.565,22.725,9.235,5.31666666666667,15.77,0.683333333333333,76.57,4430000000.0,32.8216666666667,18.9183333333333,41.3416666666667,10083333333.3333,58513333333.3333,68303333333.3333,6.895,21.395,2021-07-31,0.0
S&P 500 Road and Rail Mean ,203.001666666667,58.9816666666667,26.29,6.44666666666667,7.06333333333333,17.3816666666667,1.42,1.50833333333333,94.9766666666667,41.1933333333333,21.6783333333333,8.79166666666667,5.22,15.7266666666667,0.665,76.57,4306666666.66667,32.105,18.3383333333333,42.43,9891666666.66667,59413333333.3333,69133333333.3333,7.17333333333333,21.5116666666667,2021-07-26,0.0
