symbol,Price,Price/Sales (ttm),Price/Book (mrq),Price/CashFlow,Quick Ratio,Current Ratio,Total Debt to Equity (mrq),Total Debt to Capital,Return on Equity,Return on Assets,Return on Invested Capital (ttm),Book Value/Market Value,Asset Turnover,Inventory Turnover (ttm),EBITDA,Operating Margin,Profit Margin,Gross Margin ttm,Revenue,Market Cap,Enterprise Value,Enterprise Value/Revenue,Enterprise Value/EBITDA,Trailing P/E,Forward P/E,Date,Forward Price/Sales
SP500 Software Mean ,283.903125,11.355625,89.86125,36.78875,1.185,1.336875,87.6525,43.03375,36.5825,7.599375,15.000625,6.461875,0.55875,15.678125,8109048750.0,23.56375,21.16,74.32625,19369467500.0,221466875000.0,221668125000.0,11.569375,46.899375,75.145,39.325,2022-02-05,0.0
SP500 Software Mean ,270.8525,11.60625,90.22375,35.27375,1.25375,1.32875,100.79875,43.184375,39.201875,7.58625,13.305625,7.451875,0.570625,15.678125,8092725000.0,23.438125,21.178125,74.679375,19363217500.0,212534375000.0,212700625000.0,11.709375,47.315625,74.41,39.22,2022-01-28,0.0
SP500 Software Mean ,285.00875,14.2625,93.179375,35.65875,1.25375,1.414375,100.888125,43.184375,39.124375,7.546875,13.305625,6.459375,0.565625,15.678125,7784241875.0,23.425625,21.133125,74.133125,18797592500.0,249991875000.0,248750625000.0,14.28875,58.19,81.09,42.88,2022-01-22,0.0
SP500 Software Mean ,292.668125,11.753125,89.71625,36.744375,1.29125,1.414375,100.888125,42.54625,39.124375,7.546875,14.784375,5.873125,0.575625,15.724375,7784241875.0,23.425625,21.133125,74.133125,18797592500.0,232599375000.0,231454374999.937,11.790625,43.449375,93.055,47.625,2022-01-15,0.0
SP500 Software Mean,303.578125,14.36625,93.225625,38.120625,1.29125,1.414375,100.888125,42.54625,39.124375,7.546875,14.784375,6.36125,0.575625,15.724375,7784241875,23.425625,21.133125,74.133125,18797592500,252644375000,251403124999.938,14.395,58.82875,93.055,47.625,2022-01-08 00:00:00,0.0
SP500 Software Mean,334.11875,12.5525,16.57375,41.899375,1.29125,1.42125,100.888125,42.54625,39.124375,7.521875,14.784375,6.2925,0.575,15.724375,7781741875,23.38,20.54375,74.269375,18793217500,243713125000,242370624999.938,12.564375,46.683125,65.789375,41.01625,2022-01-01 00:00:00,0.0
SP500 Software Mean,330.4225,14.031875,18.850625,41.37125,1.29125,1.414375,100.888125,42.54625,39.124375,7.546875,14.784375,6.46375,0.575625,15.724375,7784479375,23.425625,21.133125,74.133125,18797592500,251760000000,250367499999.938,14.01,58.135,102.888125,46.5475,2021-12-23 00:00:00,0.0
SP500 Software Mean ,321.37625,14.36625,93.225625,40.128125,1.284375,1.414375,100.888125,42.7225,39.124375,7.546875,14.784375,6.325,0.575625,15.724375,7784479375.0,23.425625,21.133125,74.133125,18797592500.0,252644375000.0,251403124999.938,14.395,58.82875,103.895,47.2575,2021-12-18,0.0
SP500 Software Mean ,331.37,14.254375,92.97625,43.46,1.284375,1.423125,100.945625,42.7225,39.77,7.550625,14.784375,6.308125,0.57375,15.724375,7746361250.0,23.394375,21.640625,73.235,18755092500.0,246522500000.0,245280625000.0,14.343125,57.893125,101.77125,46.72375,2021-12-11,0.0
SP500 Software Mean ,332.535625,13.4375,90.438125,15.27,1.188125,0.495,18.80625,42.20625,7.988125,2.491875,15.219375,6.368125,0.2175,15.724375,5790655625.0,7.9725,6.955625,62.7466666666667,13376250000.0,244724999999.938,243619999999.938,13.49,53.7125,99.19625,42.9175,2021-12-04,0.0
SP500 Software Mean ,338.94625,14.608125,93.56875,44.173125,1.188125,1.44125,101.181875,42.20625,59.25375,7.511875,15.219375,6.358125,0.57125,15.724375,7745578750.0,23.475,22.444375,73.00375,18622592500.0,249141875000.0,247974374999.875,14.703125,59.428125,101.383125,47.93,2021-11-29,0.0
