symbol,Price,Trailing P/E,Forward P/E,Price/Sales (ttm),Price/Book (mrq),Price/CashFlow,Quick Ratio,Current Ratio,Total Debt to Equity (mrq),Total Debt to Capital,Return on Equity,Return on Assets,Return on Invested Capital (ttm),Book Value/Market Value,Asset Turnover,Inventory Turnover (ttm),EBITDA,Operating Margin,Profit Margin,Gross Margin ttm,Revenue,Market Cap,Enterprise Value,Enterprise Value/Revenue,Enterprise Value/EBITDA,Date,Forward Price/Sales
S&P 500 Airlines Mean ,39.212,23.346,50.702,0.574,2.306,9.174,1.062,1.174,406.372,79.824,-2.162,-3.53,1.616,7.826,0.404,36.636,-1427600000.0,-13.982,-1.19,6.86,20668000000.0,11582000000.0,27538000000.0,1.17,-11.388,2022-02-05,0.0
S&P 500 Airlines Mean ,38.094,303.762,53.954,1.018,2.776,8.762,1.078,1.164,406.764,81.018,-2.88,-3.518,-5.662,15.25,0.42,35.742,-1225200000.0,-13.682,-1.45,7.606,21058000000.0,16202000000.0,31510000000.0,1.552,-7.252,2022-01-28,0.0
S&P 500 Airlines Mean ,39.326,299.798,193.728,1.052,2.744,5.072,1.13,1.196,408.186,80.826,-4.904,-4.194,-11.678,16.938,0.392,33.938,-1837600000.0,-18.054,-3.998,-6.398,19370000000.0,16418000000.0,31142000000.0,1.66,5.316,2022-01-22,0.0
S&P 500 Airlines Mean ,42.264,283.116,192.398,1.086,3.252,23.242,1.146,1.23,396.946,81.344,-8.098,-4.57,-19.13,16.154,0.382,32.138,-2283600000.0,-20.988,-5.642,-11.674,18414000000.0,16334000000.0,30598000000.0,1.71,8.114,2022-01-15,0.0
S&P 500 Airlines Mean,40.56,283.116,192.398,1.086,3.252,25.738,1.146,1.244,471.276,81.344,-10.716,-4.812,-19.13,16.154,0.366,32.138,-2671000000,-22.706,-5.884,-16.014,17314000000,16334000000,30598000000,1.71,8.114,2022-01-08 00:00:00,0.0
S&P 500 Airlines Mean,39.18,283.116,192.398,1.086,3.252,24.834,1.146,1.244,471.276,81.344,-10.716,-4.812,-19.13,16.154,0.366,32.138,-2671000000,-22.706,-5.884,-16.014,17314000000,16334000000,30598000000,1.71,8.114,2022-01-01 00:00:00,0.0
S&P 500 Airlines Mean,39.054,283.116,192.398,1.086,3.252,24.88,1.146,1.244,471.276,81.344,-10.716,-4.812,-19.13,16.154,0.366,32.138,-2671000000,-22.706,-5.884,-16.014,17314000000,16334000000,30598000000,1.71,8.114,2021-12-23 00:00:00,0.0
S&P 500 Airlines Mean,36.224,283.116,192.398,1.086,3.252,22.71,1.146,1.244,471.276,81.344,-10.716,-4.812,-19.13,16.154,0.366,32.138,-2671000000,-22.706,-5.884,-16.014,17314000000,16334000000,30598000000,1.71,8.114,2021-12-18 00:00:00,0.0
S&P 500 Airlines Mean ,39.432,283.116,192.512,1.098,3.176,24.804,1.156,1.244,471.276,81.34,-10.716,-4.76,-18.996,16.13,0.366,32.138,-2617000000.0,-22.484,-5.884,-16.014,17314000000.0,16450000000.0,30712000000.0,1.722,7.874,2021-12-11,0.0
S&P 500 Airlines Mean ,38.466,273.116,192.344,1.086,3.142,14.368,1.156,0.474,152.064,81.34,-10.342,-2.506,-18.996,18.33,0.144,32.138,-1722000000.0,-11.944,-5.884,-17.99,8866000000.0,16064000000.0,30328000000.0,1.688,7.858,2021-12-04,0.0
S&P 500 Airlines Mean ,41.102,251.434,188.078,0.684,2.796,27.984,1.156,1.146,473.73,81.34,-13.834,-5.264,-18.996,8.938,0.348,32.138,-2921000000.0,-26.744,-9.134,-16.874,16738000000.0,11500000000.0,26400000000.0,1.368,5.442,2021-11-28,0.0
S&P 500 Airlines Mean ,41.13,293.116,193.404,1.18,3.51,26.442,1.156,1.244,471.276,81.34,-10.716,-4.76,-18.996,14.262,0.366,32.138,-2617000000.0,-22.484,-5.884,-16.014,17314000000.0,17784000000.0,32048000000.0,1.806,8.748,2021-11-19,0.0
S&P 500 Airlines Mean ,43.974,309.116,193.99,1.236,3.716,28.746,1.154,1.244,471.276,81.346,-10.716,-4.76,-18.992,12.932,0.366,32.138,-2617000000.0,-22.484,-5.884,-16.014,17314000000.0,18584000000.0,32845999999.8,1.86,9.308,2021-11-13,0.0
S&P 500 Airlines Mean ,42.824,321.116,191.56,1.288,3.83,27.578,1.154,1.244,471.276,81.346,-10.716,-4.778,-18.992,11.872,0.366,32.138,-2621400000.0,-22.572,-5.884,-16.014,17314000000.0,19220000000.0,33479999999.8,1.908,27.112,2021-11-06,0.0
S&P 500 Airlines Mean ,41.03,289.116,211.32,1.184,3.422,27.036,1.066,1.252,471.276,81.464,-10.716,-5.308,-19.268,14.4,0.348,32.138,-3257400000.0,-27.682,-9.454,-17.416,16156000000.0,17526000000.0,31438000000.0,1.77,24.312,2021-10-30,0.0
