symbol,Price,Trailing P/E,Forward P/E,Price/Sales (ttm),Price/Book (mrq),Price/CashFlow,Quick Ratio,Current Ratio,Total Debt to Equity (mrq),Total Debt to Capital,Return on Equity,Return on Assets,Return on Invested Capital (ttm),Book Value/Market Value,Asset Turnover,Inventory Turnover (ttm),EBITDA,Operating Margin,Profit Margin,Gross Margin ttm,Revenue,Market Cap,Enterprise Value,Enterprise Value/Revenue,Enterprise Value/EBITDA,Date,Forward Price/Sales
"SP500 Textiles, Apparel & Luxury Goods Mean ",63.955,23.7225,18.275,1.885,5.28875,11.825,1.30375,2.00125,157.5225,52.78875,32.12875,7.5025,-1.08,27.65875,0.945,2.70625,1962597500.0,12.97125,8.595,45.5475,12037500000.0,38464999999.625,38831250000.0,2.0775,16.8925,2022-02-04,0.0
"SP500 Textiles, Apparel & Luxury Goods Mean ",62.255,23.80375,18.87125,1.8575,5.79375,11.335,1.31,2.01875,172.765,52.88125,24.625,7.34375,-1.0825,28.72875,0.9475,2.70625,1937597500.0,12.7225,7.80625,45.36625,12016250000.0,37442500000.0,38947500000.0,2.0525,21.0125,2022-01-28,0.0
"SP500 Textiles, Apparel & Luxury Goods Mean ",63.0,27.11375,21.82,2.08625,6.48375,11.3775,1.31,2.01875,172.765,52.88125,24.625,7.34375,-1.0825,24.75625,0.9475,2.70625,1937597500.0,12.7225,7.80625,45.36625,12016250000.0,38801250000.0,40305000000.0,2.28,24.345,2022-01-21,0.0
"SP500 Textiles, Apparel & Luxury Goods Mean ",66.9925,28.03625,22.89875,2.20125,6.92625,12.11875,1.31,2.01875,172.765,53.705,24.625,7.34375,-1.0025,24.355,0.9475,2.70625,1937597500.0,12.7225,7.80625,45.36625,12016250000.0,44037499999.875,45726250000.0,2.39875,24.94,2022-01-14,0.0
"SP500 Textiles, Apparel & Luxury Goods Mean ",70.00625,28.03625,22.89875,2.20125,6.92625,9.0,1.31,2.01875,172.765,53.705,24.625,7.38125,-1.0025,24.355,0.9475,2.70625,1956347500.0,12.77,7.80625,45.36625,12016250000.0,44037499999.875,45726250000.0,2.39875,24.94,2022-01-08,0.0
"SP500 Textiles, Apparel & Luxury Goods Mean ",70.17125,28.03625,22.89875,2.20125,6.92625,8.9975,1.31,2.01875,172.765,53.705,24.625,7.38125,-1.0025,24.355,0.9475,2.70625,1956347500.0,12.76875,7.80625,45.36625,12016250000.0,44037499999.875,45726250000.0,2.39875,24.94,2022-01-01,0.0
"SP500 Textiles, Apparel & Luxury Goods Mean",67.505,28.03625,22.89875,2.20125,6.92625,8.6175,1.31,2.01875,172.765,53.705,24.625,7.38125,-1.0025,24.355,0.9475,2.70625,1956347500,12.76875,7.80625,45.36625,12016250000,44037499999.875,45726250000,2.39875,24.94,2021-12-23 00:00:00,0.0
"SP500 Textiles, Apparel & Luxury Goods Mean",67.91375,28.03625,22.89875,2.20125,6.92625,12.64375,1.31,2.03375,173.255,53.705,25.045,7.465,-1.0025,24.355,0.9475,2.70625,1982597500,12.805,7.7875,45.38,12001250000,44037499999.875,45726250000,2.39875,24.94,2021-12-17 00:00:00,0.0
"SP500 Textiles, Apparel & Luxury Goods Mean",71.78125,28.0875,22.895,2.20375,6.9375,12.28875,1.31,2.03375,173.22125,53.705,25.045,7.485,-1.0025,24.15375,0.9475,2.70625,1986347500,12.8525,7.7875,45.38,12001250000,44062500000,45753750000,2.4025,25.32875,2021-12-10 00:00:00,0.0
"SP500 Textiles, Apparel & Luxury Goods Mean",70.56625,28.8875,23.21625,2.18375,6.825,0,1.31,0,0,53.705,0,0,-1.0025,24.23625,0,2.70625,0,0,0,0.0,0,43815000000,45551249999.875,2.385,25.7075,2021-12-03 00:00:00,0.0
