symbol,Price,Trailing P/E,Forward P/E,Price/Sales (ttm),Price/Book (mrq),Price/CashFlow,Quick Ratio,Current Ratio,Total Debt to Equity (mrq),Total Debt to Capital,Return on Equity,Return on Assets,Return on Invested Capital (ttm),Book Value/Market Value,Asset Turnover,Inventory Turnover (ttm),EBITDA,Operating Margin,Profit Margin,Gross Margin ttm,Revenue,Market Cap,Enterprise Value,Enterprise Value/Revenue,Enterprise Value/EBITDA,Date,Forward Price/Sales
SP500 Tobacco Mean ,77.115,27.86,13.355,4.84,0.0,7.295,0.515,0.855,0.0,137.34,182.12,18.575,49.105,-4.14,0.65,1.41,13040000000.0,43.865,19.38,57.995,28375000000.0,126765000000.0,150825000000.0,5.765,17.67,2022-02-04,0.0
SP500 Tobacco Mean ,76.295,25.43,13.01,4.745,0.0,12.78,0.435,0.87,0.0,136.625,135.6,18.735,41.58,-4.04,0.57,2.335,13100000000.0,49.445,21.205,63.095,25910000000.0,124355000000.0,149250000000.0,5.72,17.025,2022-01-28,0.0
SP500 Tobacco Mean ,76.175,22.975,11.565,4.265,0.0,12.76,0.435,0.87,0.0,136.625,135.6,18.735,41.58,-4.53,0.57,2.335,13100000000.0,49.445,21.205,63.095,25910000000.0,111505000000.0,136395000000.0,5.24,15.67,2022-01-21,0.0
SP500 Tobacco Mean ,76.205,22.975,11.565,4.265,0.0,12.765,0.435,0.87,0.0,136.625,135.6,18.735,41.58,-4.53,0.57,2.335,13100000000.0,49.445,21.205,63.095,25910000000.0,111505000000.0,136395000000.0,5.24,15.67,2022-01-14,0.0
SP500 Tobacco Mean ,73.31,22.975,11.565,4.265,0.0,12.315,0.435,0.87,0.0,136.625,135.6,18.735,41.58,-4.53,0.57,2.335,13100000000.0,49.445,21.205,63.095,25910000000.0,111505000000.0,136395000000.0,5.24,15.67,2022-01-07,0.0
SP500 Tobacco Mean ,70.755,22.975,11.565,4.265,0.0,11.875,0.435,0.87,0.0,136.625,135.6,18.735,41.58,-4.53,0.57,2.335,13100000000.0,49.445,21.205,63.095,25910000000.0,111505000000.0,136395000000.0,5.24,15.67,2022-01-01,0.0
SP500 Tobacco Mean,69.895,7.845,6.81,2.285,0,11.765,0.435,0.87,0,136.625,135.6,18.735,41.58,-3.765,0.57,2.335,13100000000,49.445,21.205,63.095,25910000000,70090000000,82395000000,2.68,5.92,2021-12-23 00:00:00,0.0
SP500 Tobacco Mean,70.865,22.975,11.565,4.265,0,11.89,0.435,0.87,0,136.625,135.6,18.735,41.58,-4.53,0.57,2.335,13100000000,49.445,21.205,63.095,25910000000,111505000000,136395000000,5.24,15.67,2021-12-17 00:00:00,0.0
SP500 Toba,67.045,22.805,11.535,4.25,0,11.245,0.435,0.87,0,136.625,135.6,18.735,41.58,-4.525,0.57,2.335,13100000000,49.445,21.205,63.095,25910000000,111240000000,136135000000,5.225,15.59,2021-12-11,0.0
SP500 Toba,65.525,21.99,11.115,4.095,0,0,0.435,0,0,136.625,0,0,41.58,-4.705,0,2.335,0,0,0,0.0,0,107105000000,132000000000,5.07,15.14,2021-12-04,0.0
SP500 Toba,67.055,22.63,11.46,4.22,0,11.225,0.435,0.87,0,136.625,135.6,18.735,41.58,-4.55,0.57,2.335,13100000000,49.445,21.205,63.095,25910000000,110565000000,135460000000,5.2,15.495,2021-11-28,0.0
SP500 Toba,67.78,22.92,11.725,4.31,0,11.325,0.435,0.87,0,136.625,135.6,18.735,41.58,-4.405,0.57,2.335,13100000000,49.445,21.205,63.095,25910000000,113275000000,138170000000,5.285,15.685,2021-11-19,0.0
SP500 Tobacc,69.95,23.34,11.84,4.38,0,11.665,0.435,0.87,0,136.625,135.6,18.735,41.58,-4.335,0.57,2.335,13100000000,49.445,21.205,63.095,25910000000,115190000000,140080000000,5.36,15.915,2021-11-12,0.0
SP500 Tobacco Mean ,69.165,23.035,11.755,4.335,0.0,11.54,0.3,0.87,0.0,128.985,135.6,18.735,39.56,-1.575,0.57,2.335,13100000000.0,49.445,21.205,63.095,25910000000.0,114105000000.0,139000000000.0,5.315,15.755,2021-11-05,0.0
SP500 Tobacco Mean ,70.275,18.355,12.325,4.615,13.65,6.7,0.3,0.86,427.895,128.985,49.725,18.035,39.56,-1.67,0.57,2.335,13145000000.0,49.465,25.33,62.87,25985000000.0,119690000000.0,145185000000.0,5.625,13.115,2021-10-29,0.0
SP500 Tobacco Mean ,72.375,18.265,12.15,4.59,13.625,7.25,0.47,0.86,427.895,128.625,49.725,18.035,37.715,-1.885,0.57,2.335,13145000000.0,49.465,25.33,62.87,25985000000.0,119025000000.0,144330000000.0,5.595,13.05,2021-10-22,0.0
SP500 Tobacco Mean ,73.76,17.925,12.08,4.505,13.225,14.43,0.47,0.95,427.895,128.625,49.725,17.95,37.715,-1.855,0.565,2.335,13020000000.0,49.525,25.46,63.56,25650000000.0,117195000000.0,142495000000.0,5.52,12.855,2021-10-15,0.0
SP500 Tobacco Mean ,71.065,17.92,12.12,4.52,13.07,13.87,0.47,0.95,427.895,128.625,49.725,17.95,37.715,-1.785,0.565,2.335,13020000000.0,49.525,25.46,63.56,25650000000.0,117685000000.0,142990000000.0,5.525,12.87,2021-10-08,0.0
SP500 Tobacco Mean ,70.155,18.86,12.73,4.755,13.81,13.665,0.47,0.95,427.895,128.625,49.725,17.95,37.715,-1.72,0.565,2.335,13020000000.0,49.525,25.46,63.56,25650000000.0,123685000000.0,148990000000.0,5.76,13.415,2021-10-01,0.0
SP500 Tobacco Mean ,75.13,18.86,12.73,4.755,13.81,14.635,0.47,0.95,427.895,128.625,49.725,17.95,37.715,-1.72,0.565,2.335,13020000000.0,49.525,25.46,63.56,25650000000.0,123685000000.0,148990000000.0,5.76,13.415,2021-09-25,0.0
SP500 Tobacco Mean ,75.81,19.025,12.875,4.8,13.81,14.735,0.47,0.95,427.895,128.625,49.725,17.95,37.715,-1.655,0.565,2.335,13020000000.0,49.525,25.46,63.56,25650000000.0,125115000000.0,150425000000.0,5.81,13.52,2021-09-18,0.0
SP500 Tobacco Mean ,76.585,19.53,13.155,4.915,14.405,14.985,0.47,0.95,427.895,128.625,49.725,17.95,37.715,-1.705,0.565,2.335,13020000000.0,49.525,25.46,63.56,25650000000.0,127710000000.0,153010000000.0,5.92,13.795,2021-09-10,0.0
SP500 Tobacco Mean ,78.34,19.73,13.335,4.97,14.45,15.275,0.47,0.95,427.895,128.625,49.725,17.95,37.715,-1.645,0.565,2.335,13020000000.0,49.525,25.46,63.56,25650000000.0,129380000000.0,154690000000.0,5.98,13.92,2021-09-03,0.0
SP500 Tobacco Mean ,75.0,18.825,13.71,4.745,13.725,14.615,0.47,0.95,427.895,128.625,49.725,17.95,37.715,-1.695,0.565,2.335,13020000000.0,49.525,25.46,63.56,25650000000.0,123600000000.0,148905000000.0,5.75,13.395,2021-08-27,0.0
SP500 Tobacco Mean ,74.83,18.855,13.735,4.755,13.745,14.55,0.47,0.95,427.895,128.625,49.725,17.95,37.715,-1.695,0.565,2.335,13020000000.0,49.525,25.46,63.56,25650000000.0,123810000000.0,149110000000.0,5.76,13.415,2021-08-20,0.0
SP500 Tobacco Mean ,74.065,18.625,13.565,4.69,13.635,14.43,0.47,0.95,427.895,128.625,49.725,17.95,37.715,-1.74,0.565,2.335,13020000000.0,49.525,25.46,63.56,25650000000.0,122155000000.0,147455000000.0,5.705,13.28,2021-08-13,0.0
SP500 Tobacco Mean ,73.475,18.445,13.455,4.655,13.405,14.285,0.59,0.95,427.895,129.12,49.725,17.95,37.835,-1.915,0.565,2.335,13020000000.0,49.525,25.46,63.56,25650000000.0,121280000000.0,146580000000.0,5.665,13.18,2021-08-06,0.0
SP500 Tobacco Mean ,74.445,19.23,13.68,4.785,15.44,14.56,0.56,0.95,427.895,131.59,49.725,18.215,38.765,-2.075,0.565,2.335,13220000000.0,50.665,25.53,63.77,25580000000.0,123125000000.0,147190000000.0,5.68,12.825,2021-07-31,0.0
SP500 Tobacco Mean ,72.115,18.79,13.405,4.68,15.035,5.235,0.56,0.99,488.96,131.59,44.54,17.16,38.765,-2.105,0.56,2.335,12820000000.0,49.35,25.25,64.405,25375000000.0,120475000000.0,144540000000.0,5.65,13.33,2021-07-24,0.0
SP500 Tobacco Mean ,73.4,19.11,13.5,4.79,15.085,13.77,0.56,0.99,488.96,131.59,44.54,17.21,38.765,-2.075,0.545,2.335,12640000000.0,49.44,25.34,65.435,24905000000.0,121335000000.0,146020000000.0,5.8,13.18,2021-07-17,0.0
SP500 Tobacco Mean ,72.4,19.07,13.405,4.78,15.1,13.57,0.56,0.99,488.96,131.59,44.54,17.21,38.765,-2.095,0.545,2.335,12640000000.0,49.44,25.34,65.435,24905000000.0,120965000000.0,145655000000.0,5.785,13.15,2021-07-09,0.0
SP500 Tobacco Mean ,73.86,19.01,13.405,4.78,14.86,13.855,0.56,0.99,488.96,131.59,44.54,17.21,38.765,-2.03,0.545,2.335,12640000000.0,49.44,25.34,65.435,24905000000.0,121125000000.0,145820000000.0,5.78,13.135,2021-07-02,0.0
SP500 Tobacco Mean ,73.23,19.125,13.475,4.8,15.005,13.735,0.56,0.99,488.96,131.59,44.54,17.21,38.765,-2.04,0.545,2.335,12640000000.0,49.44,25.34,65.435,24905000000.0,121635000000.0,146330000000.0,5.805,13.19,2021-06-25,0.0
SP500 Tobacco Mean ,73.435,19.14,13.49,4.805,15.045,13.76,0.56,0.99,488.96,131.59,44.54,17.21,38.765,-2.05,0.545,2.335,12640000000.0,49.44,25.34,65.435,24905000000.0,121695000000.0,146390000000.0,5.81,13.2,2021-06-18,0.0
SP500 Tobacco Mean ,73.845,19.52,13.585,4.865,15.925,13.915,0.56,0.99,488.96,131.59,44.54,17.21,38.765,-2.23,0.545,2.335,12640000000.0,49.44,25.34,65.435,24905000000.0,122415000000.0,147105000000.0,5.87,13.355,2021-06-11,0.0
SP500 Tobacco Mean ,73.575,19.315,13.455,4.815,15.725,13.86,0.56,0.99,488.96,131.59,44.54,17.21,38.765,-2.24,0.545,2.335,12640000000.0,49.44,25.34,65.435,24905000000.0,121255000000.0,145945000000.0,5.825,13.245,2021-06-04,0.0
SP500 Tobacco Mean ,72.94,19.24,13.4,4.795,15.63,13.735,0.56,0.99,488.96,131.59,44.54,17.21,38.765,-2.235,0.545,2.335,12640000000.0,49.44,25.34,65.435,24905000000.0,120865000000.0,145560000000.0,5.805,13.205,2021-05-28,0.0
SP500 Tobacco Mean ,73.725,19.535,13.585,4.865,15.95,13.89,0.56,0.99,488.96,131.59,44.54,17.21,38.765,-2.235,0.545,2.335,12640000000.0,49.44,25.34,65.435,24905000000.0,122480000000.0,147170000000.0,5.875,13.36,2021-05-21,0.0
SP500 Tobacco Mean ,73.835,19.555,13.61,4.87,16.02,13.91,0.56,0.99,488.96,131.59,44.54,17.21,38.765,-2.25,0.545,2.335,12640000000.0,49.44,25.34,65.435,24905000000.0,122480000000.0,147175000000.0,5.875,13.37,2021-05-14,0.0
SP500 Tobacco Mean ,73.155,18.945,13.215,4.73,15.36,13.78,0.56,0.99,488.96,131.59,44.54,17.21,38.765,-2.255,0.545,2.335,12640000000.0,49.44,25.34,65.435,24905000000.0,119115000000.0,143805000000.0,5.73,13.045,2021-05-07,0.0
SP500 Tobacco Mean ,70.845,18.29,13.01,4.625,15.2,13.26,0.41,0.985,496.98,131.66,47.78,17.54,38.85,-2.25,0.545,2.335,12630000000.0,49.145,25.56,65.185,24985000000.0,117255000000.0,142270000000.0,5.64,13.14,2021-04-30,0.0
SP500 Tobacco Mean ,70.255,19.385,13.615,4.85,17.065,5.135,0.56,0.985,496.98,133.355,47.78,17.54,37.72,-2.815,0.545,2.335,12630000000.0,49.145,25.56,65.185,24985000000.0,121845000000.0,146850000000.0,5.875,14.2,2021-04-23,0.0
SP500 Tobacco Mean ,71.72,19.55,13.295,4.765,16.795,12.995,0.56,0.945,496.98,133.355,47.78,15.855,37.72,-2.94,0.54,2.335,12280000000.0,48.255,24.755,65.685,24765000000.0,118650000000.0,143045000000.0,5.77,13.725,2021-04-16,0.0
SP500 Tobacco Mean ,70.46,19.16,12.96,4.665,16.695,12.79,0.56,0.945,496.98,133.355,47.78,15.855,37.72,-3.08,0.54,2.335,12280000000.0,48.255,24.755,65.685,24765000000.0,116015000000.0,140410000000.0,5.68,13.505,2021-04-09,0.0
SP500 Tobacco Mean ,69.95,19.71,13.35,4.805,17.12,12.735,0.56,0.945,496.98,133.355,47.78,15.855,37.72,-2.97,0.54,2.335,12280000000.0,48.255,24.755,65.685,24765000000.0,119510000000.0,143905000000.0,5.815,13.83,2021-04-02,0.0
SP500 Tobacco Mean ,69.44,19.055,12.895,4.645,16.535,12.62,0.56,0.945,496.98,133.355,47.78,15.855,37.72,-3.07,0.54,1.3,12280000000.0,48.255,24.755,65.685,24765000000.0,115505000000.0,139900000000.0,5.65,13.45,2021-03-26,0.0
SP500 Tobacco Mean ,69.965,62.275,12.04,4.31,12.385,12.715,0.56,0.945,496.98,133.355,47.78,15.855,37.72,-2.7,0.54,1.3,12280000000.0,48.255,24.755,65.685,24765000000.0,108330000000.0,133025000000.0,5.345,17.61,2021-03-19,0.0
