symbol,Price,Trailing P/E,Forward P/E,Price/Sales (ttm),Price/Book (mrq),Price/CashFlow,Quick Ratio,Current Ratio,Total Debt to Equity (mrq),Total Debt to Capital,Return on Equity,Return on Assets,Return on Invested Capital (ttm),Book Value/Market Value,Asset Turnover,Inventory Turnover (ttm),EBITDA,Operating Margin,Profit Margin,Gross Margin ttm,Revenue,Market Cap,Enterprise Value,Enterprise Value/Revenue,Enterprise Value/EBITDA,Date,Forward Price/Sales
S&P 500 Trading Companies and Distribution Mean ,296.13,27.0833333333333,22.3233333333333,3.32,9.63,25.47,1.23333333333333,2.54666666666667,108.066666666667,43.7633333333333,36.91,13.6733333333333,9.61,13.86,1.36,16.6,1936666666.66667,18.6666666666667,12.5566666666667,40.8433333333333,9583333333.33333,27576666666.6667,31843333333.3333,3.76333333333333,16.5066666666667,2022-02-05,0.0
S&P 500 Trading Companies and Distribution Mean ,285.403333333333,26.8866666666667,21.74,3.25,9.36,23.5533333333333,1.23333333333333,2.53333333333333,102.79,45.5633333333333,34.2566666666667,13.3033333333333,8.83,13.8433333333333,1.34,17.7633333333333,1900000000.0,18.52,12.34,39.9766666666667,9443333333.33333,26296666666.6667,30583333333.3333,3.61666666666667,15.85,2022-01-28,0.0
S&P 500 Trading Companies and Distribution Mean ,284.746666666667,30.66,24.6566666666667,3.74,10.5066666666667,24.1233333333333,1.28,2.52333333333333,110.696666666667,46.4566666666667,33.7966666666667,13.0533333333333,8.83,12.2366666666667,1.36333333333333,17.7666666666667,1826666666.66667,18.1333333333333,11.93,38.3133333333333,9276666666.66667,29503333333.3333,33776666666.6667,4.16666666666667,18.0733333333333,2022-01-22,0.0
S&P 500 Trading Companies and Distribution Mean ,301.71,30.66,24.6566666666667,3.74,10.5066666666667,23.0866666666667,1.28,2.52,110.67,46.4566666666667,33.26,12.8133333333333,8.83,12.2366666666667,1.35,17.7666666666667,1813333333.33333,18.12,11.8833333333333,37.5633333333333,9220000000.0,29503333333.3333,33776666666.6667,4.16666666666667,18.0733333333333,2022-01-15,0.0
S&P 500 Trading Companies and Distribution Mean,302.396666666667,30.66,24.6566666666667,3.74,10.5066666666667,23.3433333333333,1.28,2.52,110.67,46.4566666666667,33.26,12.8133333333333,8.83,12.2366666666667,1.35,17.7666666666667,1813333333.33333,18.12,11.8833333333333,37.5633333333333,9220000000,29503333333.3333,33776666666.6667,4.16666666666667,18.0733333333333,2022-01-08 00:00:00,0.0
S&P 500 Trading Companies and Distribution Mean,303.453333333333,30.66,24.6566666666667,3.74,10.5066666666667,23.8033333333333,1.28,2.52,110.67,46.4566666666667,33.26,12.8133333333333,8.83,12.2366666666667,1.35,17.7666666666667,1813333333.33333,18.12,11.8833333333333,37.5633333333333,9220000000,29503333333.3333,33776666666.6667,4.16666666666667,18.0733333333333,2022-01-01 00:00:00,0.0
S&P 500 Trading Companies and Distribution Mean,295.626666666667,30.66,24.6566666666667,3.74,10.5066666666667,23.13,1.28,2.52,110.67,46.4566666666667,33.26,12.8133333333333,8.83,12.2366666666667,1.35,17.7666666666667,1813333333.33333,18.12,11.8833333333333,37.5633333333333,9220000000,29503333333.3333,33776666666.6667,4.16666666666667,18.0733333333333,2021-12-23 00:00:00,0.0
S&P 500 Trading Companies and Distribution Mean ,303.086666666667,30.66,24.6566666666667,3.74,10.5066666666667,23.6566666666667,1.28,2.52,110.67,46.4566666666667,33.26,12.8133333333333,8.83,12.2366666666667,1.35,17.7666666666667,1813333333.33333,18.12,11.8833333333333,37.5633333333333,9220000000.0,29503333333.3333,33776666666.6667,4.16666666666667,18.0733333333333,2021-12-18,0.0
S&P 500 Trading Companies and Distribution Mean ,307.63,30.0333333333333,24.0633333333333,3.65666666666667,10.3,23.5766666666667,1.28,2.52,110.67,46.4566666666667,33.26,12.8133333333333,8.83,12.4166666666667,1.35,17.7666666666667,1813333333.33333,18.12,11.8833333333333,37.5633333333333,9220000000.0,28930000000.0,33200000000.0,4.08333333333333,17.6966666666667,2021-12-11,0.0
S&P 500 Trading Companies and Distribution Mean ,295.696666666667,28.5966666666667,22.88,3.48666666666667,9.77666666666667,10.3233333333333,1.28,1.12666666666667,103.72,46.4566666666667,23.12,6.91333333333333,8.83,12.83,0.846666666666667,17.7666666666667,1363333333.33333,11.3833333333333,6.8,34.34,7273333333.33333,27713333333.3333,31983333333.3333,3.93,16.9266666666667,2021-12-04,0.0
S&P 500 Trading Companies and Distribution Mean ,311.073333333333,30.23,24.12,3.68666666666667,10.2733333333333,23.2266666666667,1.28,2.52,110.67,46.4566666666667,33.26,12.8133333333333,8.83,11.92,1.35,17.7666666666667,1813333333.33333,18.12,11.8833333333333,37.5633333333333,9220000000.0,29286666666.6667,33556666666.6667,4.11,17.6233333333333,2021-11-28,0.0
S&P 500 Trading Companies and Distribution Mean ,307.08,20.8833333333333,23.9766666666667,3.68,10.1566666666667,23.0366666666667,1.28,2.52,110.67,46.4566666666667,33.26,12.8133333333333,8.83,11.9033333333333,1.35,17.7666666666667,1813333333.33333,18.12,11.8833333333333,37.5633333333333,9220000000.0,29163333333.3333,33436666666.6667,3.39666666666667,17.51,2021-11-19,0.0
S&P 500 Trading Companies and Distribution Mean ,308.786666666667,29.77,23.77,3.63333333333333,10.0733333333333,22.7366666666667,1.28,2.52,110.67,46.4566666666667,33.26,12.8133333333333,8.83,11.9333333333333,1.35,17.7666666666667,1813333333.33333,18.12,11.8833333333333,37.5633333333333,9220000000.0,28923333333.3333,33190000000.0,4.06,17.2933333333333,2021-11-13,0.0
S&P 500 Trading Companies and Distribution Mean ,307.57,29.5033333333333,23.5,3.60666666666667,9.94,22.5,1.28666666666667,2.52,110.67,46.9,33.26,12.8133333333333,8.82666666666667,11.4833333333333,1.35,17.7666666666667,1813333333.33333,18.12,11.8833333333333,37.5633333333333,9220000000.0,28746666666.6667,33013333333.3333,4.03666666666667,17.07,2021-11-06,0.0
S&P 500 Trading Companies and Distribution Mean ,284.706666666667,28.5,22.5033333333333,3.44666666666667,9.30666666666667,20.3166666666667,1.28666666666667,2.51,109.09,46.9,33.0333333333333,12.7533333333333,8.82666666666667,12.1766666666667,1.33,17.7666666666667,1840000000.0,18.4666666666667,11.8,37.8833333333333,9103333333.33333,27213333333.0,31409999999.6667,3.87333333333333,16.4533333333333,2021-10-30,0.0
S&P 500 Trading Companies and Distribution Mean ,286.433333333333,29.4366666666667,22.1066666666667,3.43666666666667,9.28333333333333,20.6033333333333,1.28666666666667,2.52666666666667,115.79,46.9,32.1366666666667,12.6366666666667,8.82666666666667,12.53,1.32,17.7666666666667,1793333333.33333,18.2866666666667,11.24,38.4266666666667,8966666666.66667,26686666666.6667,30903333333.0,3.88,16.3933333333333,2021-10-23,0.0
S&P 500 Trading Companies and Distribution Mean ,278.45,28.3833333333333,21.48,3.30666666666667,8.94,20.2466666666667,1.31333333333333,2.52666666666667,115.79,47.3766666666667,32.1366666666667,12.6366666666667,8.82666666666667,12.84,1.32,17.7666666666667,1793333333.33333,18.2866666666667,11.24,38.4266666666667,8966666666.66667,25743333333.3333,29963333333.3333,3.75333333333333,15.8066666666667,2021-10-15,0.0
S&P 500 Trading Companies and Distribution Mean ,273.796666666667,28.2666666666667,21.0,3.29333333333333,8.84666666666667,18.2166666666667,1.31333333333333,2.52,116.563333333333,47.3766666666667,32.2133333333333,12.55,8.82666666666667,12.8433333333333,1.30666666666667,17.7666666666667,1783333333.33333,18.2866666666667,11.2366666666667,38.7866666666667,8920000000.0,25406666666.6667,29613333333.3333,3.74333333333333,15.6233333333333,2021-10-09,0.0
S&P 500 Trading Companies and Distribution Mean ,265.2,28.26,21.06,3.30333333333333,8.87333333333333,17.67,1.31333333333333,2.52,116.563333333333,47.3766666666667,32.2133333333333,12.55,8.82666666666667,12.99,1.30666666666667,17.7666666666667,1783333333.33333,18.2866666666667,11.2366666666667,38.7866666666667,8920000000.0,25373333333.3333,29580000000.0,3.75,15.7366666666667,2021-10-02,0.0
S&P 500 Trading Companies and Distribution Mean ,270.843333333333,28.26,21.06,3.30333333333333,8.87333333333333,18.2633333333333,1.31333333333333,2.52,116.563333333333,47.3766666666667,32.2133333333333,12.55,8.82666666666667,12.99,1.30666666666667,17.7666666666667,1783333333.33333,18.2866666666667,11.2366666666667,38.7866666666667,8920000000.0,25373333333.3333,29580000000.0,3.75,15.7366666666667,2021-09-25,0.0
